business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tabrez Medical store Barna,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",N/A,N/A,5.0,,"Q6QP+428, Sirsiya, Bihar 848213",848206,25.7877759,86.2350689,ChIJGRsnjIf97TkR75Ku_Lw-NEQ,https://www.google.com/maps/place/?q=place_id:ChIJGRsnjIf97TkR75Ku_Lw-NEQ,part_397,2026-09-20 20:39:05
MANAV MEDICAL SHOP BIPIN CHOWK BHAIRSO,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",N/A,N/A,3.7,,"R63G+35C, Barna, Bihar 848206",848206,25.802676599999998,86.2253798,ChIJsc-TNbD97TkRkAUu3q_gVGI,https://www.google.com/maps/place/?q=place_id:ChIJsc-TNbD97TkRkAUu3q_gVGI,part_397,2026-09-20 20:39:05
Virat Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 88737 68900,N/A,,,"02 Rajghat, Road, near Tin Mukhi, Kundal, Samastipur, Bihar 848206",848206,25.7764775,86.22254009999999,ChIJEeJTOpb97TkRx_BVo0g1Ew0,https://www.google.com/maps/place/?q=place_id:ChIJEeJTOpb97TkRx_BVo0g1Ew0,part_397,2026-09-20 20:39:05
Mehdi Hasan Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 91531 00791,N/A,4.5,,"02 Barra, Road, near Jama Masjid, Barna, Samastipur, Bihar 848213",848206,25.7884305,86.2349316,ChIJUxSOMqH97TkRmodYTYdc78s,https://www.google.com/maps/place/?q=place_id:ChIJUxSOMqH97TkRmodYTYdc78s,part_397,2026-09-20 20:39:05
Gupta Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 60007 35642,N/A,,,"Shop No 08, Bishnupur Keothar, near Shashikant Communication, Singhia II, Kabilashi, Bihar 848206",848206,25.8052463,86.2090552,ChIJk-FpQODj7TkR6N8QgTxZJAA,https://www.google.com/maps/place/?q=place_id:ChIJk-FpQODj7TkR6N8QgTxZJAA,part_397,2026-09-20 20:39:05
Prashant Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 91288 09912,N/A,,,"01 Bhairso, Tairso Road, near Tin Mukhi, Manaitha, Bihar 848209",848206,25.8061814,86.2252498,ChIJa-0b1Ojj7TkRnlgOYX1iylQ,https://www.google.com/maps/place/?q=place_id:ChIJa-0b1Ojj7TkRnlgOYX1iylQ,part_397,2026-09-20 20:39:05
Chandrika Medical Shop,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 91996 75523,N/A,,,"Karhi, Bihar 848206",848206,25.8126137,86.203937,ChIJj89TrMPj7TkRUgXLZ5bbVn0,https://www.google.com/maps/place/?q=place_id:ChIJj89TrMPj7TkRUgXLZ5bbVn0,part_397,2026-09-20 20:39:05
Sonali Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 99319 56495,N/A,,,"Bataspur, Nimi, Bihar 848206",848206,25.794126799999997,86.2199414,ChIJTdT-eZb97TkRsjp9d4UUjy4,https://www.google.com/maps/place/?q=place_id:ChIJTdT-eZb97TkRsjp9d4UUjy4,part_397,2026-09-20 20:39:05
Diksha Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 76314 61409,N/A,,,"SH 54, near by Raja Ji Mandir, Phulhara, Basatpur, Bihar 848208",Phulhara,25.792549299999997,86.13814479999999,ChIJ9RRo6mP77TkRSyYaG6YYSmw,https://www.google.com/maps/place/?q=place_id:ChIJ9RRo6mP77TkRSyYaG6YYSmw,part_397,2026-09-20 20:39:05
Gulsava Praween,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 80023 81091,N/A,5.0,,"01 Batshpur, Road, near Masjid, Barna, Samastipur, Bihar 848206",848206,25.786679099999997,86.2186747,ChIJEQKS8sj97TkRwqlD67KioPE,https://www.google.com/maps/place/?q=place_id:ChIJEQKS8sj97TkRwqlD67KioPE,part_397,2026-09-20 20:39:05
Dilip Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 73198 10094,N/A,,,"Shop No.5, SH 54, Kale, near by Middle School, Chandarpur, Bihar 848206",848206,25.772632599999998,86.1622239,ChIJC4PLWGf77TkRztKeMQAHogw,https://www.google.com/maps/place/?q=place_id:ChIJC4PLWGf77TkRztKeMQAHogw,part_397,2026-09-20 20:39:05
Krishna Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 81028 91485,N/A,5.0,,"SH 54, near by Middle School, Jagarnathpur, Basatpur, Bihar 848208",848206,25.7896362,86.1360306,ChIJCwfvaQ377TkR4Yl7yBnjmjY,https://www.google.com/maps/place/?q=place_id:ChIJCwfvaQ377TkR4Yl7yBnjmjY,part_397,2026-09-20 20:39:05
Pramod Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 85418 54130,N/A,,,"Shop No. 6, SH 54, Kale, near by Hanuman Mandir, Chandarpur, Bihar 848206",848206,25.7702395,86.1648434,ChIJk3vSJwn77TkRUfkFpIY_E3g,https://www.google.com/maps/place/?q=place_id:ChIJk3vSJwn77TkRUfkFpIY_E3g,part_397,2026-09-20 20:39:05
singh medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 88732 02060,N/A,,,"shop no 06, neat, Kareh River Brg, Kundal, Belaun, Bihar 848206",848206,25.7768709,86.22378619999999,ChIJYxRDEDD97TkRT3ziqRJ6eDY,https://www.google.com/maps/place/?q=place_id:ChIJYxRDEDD97TkRT3ziqRJ6eDY,part_397,2026-09-20 20:39:05
Kiran Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 95465 89404,N/A,,,"Shop No.5, SH 88, near by Middle School, Bhagaut, Kurman, Bihar 848206",848206,25.7577459,86.2286633,ChIJGY8lp0f97TkRR4XoTdj3CMI,https://www.google.com/maps/place/?q=place_id:ChIJGY8lp0f97TkRR4XoTdj3CMI,part_397,2026-09-20 20:39:05
Ramjanki Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 99735 73613,N/A,,,"04, Madhaipur Road, near Chaudhary Kirana, Patsa, Aura, Bihar 848206",Patsa,25.7725983,86.177415,ChIJeVyPChP97TkRjNE4KF2fArw,https://www.google.com/maps/place/?q=place_id:ChIJeVyPChP97TkRjNE4KF2fArw,part_397,2026-09-20 20:39:05
Mishra Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 99398 29856,N/A,,,"SH 54, near by Middle School, Phulhara, Balbhadarpur, Bihar 848208",848206,25.7866236,86.1336061,ChIJaU_g51T77TkRxaRhiR4bUXQ,https://www.google.com/maps/place/?q=place_id:ChIJaU_g51T77TkRxaRhiR4bUXQ,part_397,2026-09-20 20:39:05
Ayush Poddar,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",N/A,N/A,5.0,2.0,"Q4QP+QMR, Phulhara, Hasanpur, Bihar 848208",848206,25.789492199999998,86.1366582,ChIJI1ERRQD77TkR5LAQYWGhGZk,https://www.google.com/maps/place/?q=place_id:ChIJI1ERRQD77TkR5LAQYWGhGZk,part_397,2026-09-20 20:39:06
Keshri Medical stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 82988 00030,N/A,4.1,49.0,"Kapra Patti Rd, Ward Number 21, Naya Bazar, Saharsa, Bihar 852201","Ward Number 21, Naya Bazar",25.8753195,86.5918418,ChIJJ07yuJE97jkRFFON3nT8UJ0,https://www.google.com/maps/place/?q=place_id:ChIJJ07yuJE97jkRFFON3nT8UJ0,part_397,2026-09-20 20:39:06
Jan Aushadhi Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,848206,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Barra BO, Bhatwan BO, Bishanpur Keothar BO",+91 85520 03639,N/A,4.8,4.0,"R5R6+F6M, Vill, Singhia II, Bihar 848209",Vill,25.841203999999998,86.16054749999999,ChIJ_QBNl47k7TkRrobPxXK-YwU,https://www.google.com/maps/place/?q=place_id:ChIJ_QBNl47k7TkRrobPxXK-YwU,part_397,2026-09-20 20:39:06
