business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ANKIT SAHANI INCOME TAX MAN,Bar and Pub,Bar,Bar,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,4.0,1.0,"PHMM+QPX, Mahisaur, Bihar 844505",848504,25.7344942,85.5843735,ChIJn8PdRQB57TkRnVLVG50NXVo,https://www.google.com/maps/place/?q=place_id:ChIJn8PdRQB57TkRnVLVG50NXVo,part_398,2026-09-20 20:18:50,693
PDS SHOP SHARMA JI,Bar and Pub,Pub,Pub,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,2.0,"MH6F+2X9, Dhrampur Bande, Ashrafpur Supaul, Bihar 848504",848504,25.6600376,85.5749895,ChIJ3QAcfQB_7TkR__1vWF4wlgg,https://www.google.com/maps/place/?q=place_id:ChIJ3QAcfQB_7TkR__1vWF4wlgg,part_398,2026-09-20 20:18:50,694
Ankit Kumar Singh,Bar and Pub,Bar,Bar,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,1.0,"GMX6+HW4, Bishanpur Ber, Bihar 848501",848504,25.5488875,85.6623281,ChIJXxNhFgB_8jkRZPi2k0pMEAE,https://www.google.com/maps/place/?q=place_id:ChIJXxNhFgB_8jkRZPi2k0pMEAE,part_398,2026-09-20 20:18:50,695
Ajay Singh Rajput,Bar and Pub,Bar,Bar,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,,,"MM29+RMV, Darwa, Bihar 848505",848504,25.6521056,85.6691726,ChIJn-l2dgCB7TkRy2CNcERm0jw,https://www.google.com/maps/place/?q=place_id:ChIJn-l2dgCB7TkRy2CNcERm0jw,part_398,2026-09-20 20:18:50,696
Ravikant yadav,Bar and Pub,Bar,Bar,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,1.0,"PJF3+X4P, Mahipura, Bihar 844505",848504,25.724972299999997,85.6028178,ChIJN8cjNwCD7TkRRFX-Jp3BOx0,https://www.google.com/maps/place/?q=place_id:ChIJN8cjNwCD7TkRRFX-Jp3BOx0,part_398,2026-09-20 20:18:50,697
बाबा चौक,Bar and Pub,Bar,Bar,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,1.0,"JGQJ+Q4M, Jagarnathpur, Bihar 844501",848504,25.639463799999998,85.53029529999999,ChIJb3XwUdZ_7TkR6WtZfpbGvW4,https://www.google.com/maps/place/?q=place_id:ChIJb3XwUdZ_7TkR6WtZfpbGvW4,part_398,2026-09-20 20:18:50,698
Sunil,Bar and Pub,Bar,Bar,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,1.0,"PHFX+X47, Chak Shahwali, Mahipura, Bihar 844505",848504,25.7249107,85.5978033,ChIJyWKmQcJ57TkRZVKrZ8CtFAY,https://www.google.com/maps/place/?q=place_id:ChIJyWKmQcJ57TkRZVKrZ8CtFAY,part_398,2026-09-20 20:18:50,699
chunnu tari centre,Bar and Pub,Bar,Bar,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,2.0,"JGVF+PGW, Bhatgaon Urf Fatehpur Bhagwan, Bihar 844501",848504,25.6443525,85.5238198,ChIJE8LVdlx_7TkRv94bZIcsmbE,https://www.google.com/maps/place/?q=place_id:ChIJE8LVdlx_7TkRv94bZIcsmbE,part_398,2026-09-20 20:18:50,700
Sachin fast food,Bar and Pub,Bar,Bar,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,1.0,"PHMC+G7X, Dih Buchauli, Bihar 844505",848504,25.7338569,85.5707444,ChIJkzMgEgB57TkRaTGpJdQALbg,https://www.google.com/maps/place/?q=place_id:ChIJkzMgEgB57TkRaTGpJdQALbg,part_398,2026-09-20 20:18:50,701
Santosh Prakash,Bar and Pub,Bar,Bar,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,4.0,2.0,"JHJW+2R6, Madudabad - Patori Rd, Hasanpur, Bihar 848504",848504,25.6300352,85.5970056,ChIJuSV25xB_7TkRq5QIKd_uPNo,https://www.google.com/maps/place/?q=place_id:ChIJuSV25xB_7TkRq5QIKd_uPNo,part_398,2026-09-20 20:18:50,702
