business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Red Chief Exclusive Store - Station Road,Footwear and Shoe Store,Shoe store,"Shoe store, Boot store, Clothing store",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 8071 820 403,https://stores.redchief.in/red-chief/samastipur/Station-Road/red-chief-exclusive-store-in-Station-Road-samastipur--bE30Ei/home,5.0,1488.0,"Ward No 20, Station Rd, nearby Millat Academy, Gudari Bazar, Samastipur, Bihar 848101",Gudari Bazar,25.8613105,85.78511309999999,ChIJafJkDnaR7TkR-QLedgE7b28,https://www.google.com/maps/place/?q=place_id:ChIJafJkDnaR7TkR-QLedgE7b28,part_398,2026-09-20 20:18:52,876
Shambhavi Shoe Park,Footwear and Shoe Store,Shoe store,Shoe store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 96435 45930,N/A,4.6,7.0,"JHPQ+286, Tara Dhamaun, Bihar 848504",848504,25.6350283,85.5882719,ChIJLSemwLN_7TkRWaLyk6LQU5I,https://www.google.com/maps/place/?q=place_id:ChIJLSemwLN_7TkRWaLyk6LQU5I,part_398,2026-09-20 20:18:52,877
RKG Shoe & Bag House,Footwear and Shoe Store,Shoe store,Shoe store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 90657 30811,N/A,4.6,16.0,"Sarhad-Bindgama Chowk Rd, Mohanpur, Bihar 848506",848504,25.5645936,85.61521979999999,ChIJG1P0HnB_8jkRc8plWJi3SHY,https://www.google.com/maps/place/?q=place_id:ChIJG1P0HnB_8jkRc8plWJi3SHY,part_398,2026-09-20 20:18:52,878
Apna Boot House,Footwear and Shoe Store,Shoe store,Shoe store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 91423 60288,N/A,4.2,20.0,"VQ8G+53F, SH 49, near Milan Vivah Bhawan, Proffessor Colony, Kashipur, Samastipur, Bihar 848101","Proffessor Colony, Kashipur",25.865445899999997,85.7751581,ChIJJzIh2LyQ7TkRQ50M_MXgIBI,https://www.google.com/maps/place/?q=place_id:ChIJJzIh2LyQ7TkRQ50M_MXgIBI,part_398,2026-09-20 20:18:52,879
DK Footwear,Footwear and Shoe Store,Shoe store,Shoe store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,1.0,"ashok market, SH93, Hasanpur Juned, Bihar 844506",848504,25.5824929,85.5373718,ChIJlWVrLwCB8jkRbPUfUY-09t4,https://www.google.com/maps/place/?q=place_id:ChIJlWVrLwCB8jkRbPUfUY-09t4,part_398,2026-09-20 20:18:52,880
Liberty Shandar Shoes,Footwear and Shoe Store,Shoe store,"Shoe store, Footwear wholesaler",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 99551 33679,https://dizitalcard.in/shandar-shoes/,4.4,16.0,"Marwari Bazar, near SBI Building, Bangali Tola, Samastipur, Bihar 848101",Bangali Tola,25.861055099999998,85.7869415,ChIJgf9N5JCQ7TkRTeRwJIpNj7o,https://www.google.com/maps/place/?q=place_id:ChIJgf9N5JCQ7TkRTeRwJIpNj7o,part_398,2026-09-20 20:18:52,881
CHARAN PADUKA,Footwear and Shoe Store,Shoe store,Shoe store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 97711 11150,N/A,4.7,147.0,"Sanjay Market, Mangalsah Chowk, Dalsinghsarai, Bihar 848114",848504,25.6666821,85.8360972,ChIJlYOWwG6J7TkRR7zUgBuWE68,https://www.google.com/maps/place/?q=place_id:ChIJlYOWwG6J7TkRR7zUgBuWE68,part_398,2026-09-20 20:18:52,882
Baba Redimade Store & Shoes House,Footwear and Shoe Store,Shoe store,Shoe store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 82074 14597,N/A,5.0,6.0,"1, Chaita Kalishthan, Bihar 848132",848504,25.7704243,85.8762911,ChIJ3cIvmqiN7TkRy8khIkIYskg,https://www.google.com/maps/place/?q=place_id:ChIJ3cIvmqiN7TkRy8khIkIYskg,part_398,2026-09-20 20:18:52,883
New Sardar Shoe,Footwear and Shoe Store,Shoe store,Shoe store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 94312 82168,N/A,3.5,2.0,"01, Old Post Office Rd, Gudari Bazar, Samastipur, Bihar 848101",Gudari Bazar,25.8646185,85.7819591,ChIJCcme9DeR7TkRB2AJ0l6sjks,https://www.google.com/maps/place/?q=place_id:ChIJCcme9DeR7TkRB2AJ0l6sjks,part_398,2026-09-20 20:18:52,884
ahad raja footwear,Footwear and Shoe Store,Shoe store,Shoe store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 77398 16184,N/A,,,"no shop number nh 322, Bihar 848505",848504,25.7155883,85.62521989999999,ChIJEQFapDyD7TkRBIkGr5OD7Fc,https://www.google.com/maps/place/?q=place_id:ChIJEQFapDyD7TkRBIkGr5OD7Fc,part_398,2026-09-20 20:18:52,885
