business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vinay Bhai Swapan Store - Cosmetics Wholesaler and Beauty Product Supplier,Cosmetics Wholesaler,Cosmetics wholesaler,"Cosmetics wholesaler, Beauty product supplier, Beauty Products Wholesaler, Beauty supply store, Cosmetics store, Health and beauty shop",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 79790 74003,https://jsdl.in/DT-474LS1F,4.9,206.0,"Shiv mandir Ln, opp. Churi Market, Dariyapur Gola, Salimpur Ahra, Kadamkuan, Patna, Bihar 800007","Dariyapur Gola, Salimpur Ahra, Kadamkuan",25.6141297,85.1523516,ChIJ0S6pK3hZ7TkR2y7W3LKfvFM,https://www.google.com/maps/place/?q=place_id:ChIJ0S6pK3hZ7TkR2y7W3LKfvFM,part_398,2026-09-20 20:19:08
Cosmetics Plaza,Cosmetics Wholesaler,Gift shop,Gift shop,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 96610 31999,N/A,4.0,4.0,"Chawk, Mathurapur, Samastipur, Bihar 848102","Chawk, Mathurapur",25.867823899999998,85.78647769999999,ChIJT5voKZeR7TkRGJfRqQm0qYk,https://www.google.com/maps/place/?q=place_id:ChIJT5voKZeR7TkRGJfRqQm0qYk,part_398,2026-09-20 20:19:08
Swapan Store - Cosmetics Wholesaler and Parlour Product Supplier,Cosmetics Wholesaler,Cosmetics wholesaler,"Cosmetics wholesaler, Beauty product supplier, Beauty Products Wholesaler, Beauty supply store, Cosmetics store, Wholesaler",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 98520 66447,N/A,4.2,243.0,"Chudi Gali, Churi Market, Machhua Toli, Patna, Bihar 800003","Churi Market, Machhua Toli",25.6125203,85.1520256,ChIJ7444n_ZY7TkRdkOAwx5_CW4,https://www.google.com/maps/place/?q=place_id:ChIJ7444n_ZY7TkRdkOAwx5_CW4,part_398,2026-09-20 20:19:08
Shree shagun shringaar,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 70045 13173,N/A,5.0,6.0,"TAJPUR ROAD, Musrigharari, Dagarua, Bihar 848103",848504,25.806496799999998,85.7351697,ChIJg5KAuCqb7TkRGTrhHJwBUcs,https://www.google.com/maps/place/?q=place_id:ChIJg5KAuCqb7TkRGTrhHJwBUcs,part_398,2026-09-20 20:19:08
New beauty world cosmetic shop,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,,,"JHMR+HPQ Kavi chauk, Patori, Hasanpur, Bihar 848504",848504,25.6339714,85.5918513,ChIJoV2JC9h_7TkRDgqwFZWp5hI,https://www.google.com/maps/place/?q=place_id:ChIJoV2JC9h_7TkRDgqwFZWp5hI,part_398,2026-09-20 20:19:08
Vivek cosmetic wholesale,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,,,"JJF4+GRH, Sultanpur Chhaurahi, Bihar 848504",848504,25.6238031,85.6070963,ChIJH2ilYQCB7TkRiSccNsvyIRI,https://www.google.com/maps/place/?q=place_id:ChIJH2ilYQCB7TkRiSccNsvyIRI,part_398,2026-09-20 20:19:08
Shagun Shringar,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,4.6,,"Ward 25, RamBabu Chawk, Ward No - 17, Gudari Bazar, Samastipur, Bihar 848101","Ward No-17, Gudari Bazar",25.862047399999998,85.78393319999999,ChIJHTEORyiR7TkRMbHw55oRrbI,https://www.google.com/maps/place/?q=place_id:ChIJHTEORyiR7TkRMbHw55oRrbI,part_398,2026-09-20 20:19:09
Vishnu collection,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 99558 78083,N/A,5.0,,"Dalsinghsarai, Bihar 848114",848504,25.6727062,85.83619279999999,ChIJd4PbGRyJ7TkRru5QdxyoE-s,https://www.google.com/maps/place/?q=place_id:ChIJd4PbGRyJ7TkRru5QdxyoE-s,part_398,2026-09-20 20:19:09
Katyan Enterprises,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 87574 52981,N/A,5.0,,"Chamdoria Dhal, Hajiganj, Patna, Bihar 800008",Hajiganj,25.5956679,85.2333463,ChIJVVMzmq9f7TkRicxq1T735bs,https://www.google.com/maps/place/?q=place_id:ChIJVVMzmq9f7TkRicxq1T735bs,part_398,2026-09-20 20:19:09
DARPAN LADIES CORNER,Cosmetics Wholesaler,General store,General store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 77618 75093,N/A,5.0,,"Basant Market, Marwari Bajar, Marwadi Bazar, Gudari Bazar, Samastipur, Bihar 848101","Marwadi Bazar, Gudari Bazar",25.8617928,85.78668549999999,ChIJpdt3v02R7TkRhOQdc-E71p0,https://www.google.com/maps/place/?q=place_id:ChIJpdt3v02R7TkRhOQdc-E71p0,part_398,2026-09-20 20:19:09
Priyanka Cosmetic and Gift Corner,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 79036 10747,N/A,5.0,,"PV33+P98, Bulaki Pur, Bihar 848114",848504,25.704152,85.8534162,ChIJs7_6XwCN7TkRM3DtVIVMLH4,https://www.google.com/maps/place/?q=place_id:ChIJs7_6XwCN7TkRM3DtVIVMLH4,part_398,2026-09-20 20:19:09
"RAVI GENERAL STORE, jandaha",Cosmetics Wholesaler,Cosmetics store,"Cosmetics store, Beauty products vending machine, Gift shop, Luggage store, Toy store, Wholesaler, Yarn store",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 72091 69034,N/A,5.0,,"Samastipur - Hazrat Jandaha Rd, Hazrat Jandaha, Bihar 844505",848504,25.709482299999998,85.5367045,ChIJf5FmnAx57TkRr9Rtw8UCWA0,https://www.google.com/maps/place/?q=place_id:ChIJf5FmnAx57TkRr9Rtw8UCWA0,part_398,2026-09-20 20:19:09
Niraj cosmetic store,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,4.3,,"Q22H+R7F, Rosera, Bihar 848210",848504,25.752059499999998,86.0281631,ChIJl3xxEp7x7TkRqZqVAJ9ZVlI,https://www.google.com/maps/place/?q=place_id:ChIJl3xxEp7x7TkRqZqVAJ9ZVlI,part_398,2026-09-20 20:19:09
Muskan traders,Cosmetics Wholesaler,Cosmetics wholesaler,"Cosmetics wholesaler, Beauty product supplier, Beauty Products Wholesaler, Beauty supply store, Cosmetics store",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 79035 54829,N/A,4.8,,"1st Floor, Sitaram Market, RK Ave, Churi Market, Kadamkuan, Patna, Bihar 800003","Churi Market, Kadamkuan",25.6124922,85.15175529999999,ChIJFw815RZZ7TkR4uPtVmjFPp8,https://www.google.com/maps/place/?q=place_id:ChIJFw815RZZ7TkR4uPtVmjFPp8,part_398,2026-09-20 20:19:10
RAKESH ENTERPRISES,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 93348 21335,N/A,5.0,,"2ND FLOOR, JAMUNADAS MARKET, opposite to Bajaj Plaza, Patna City, MACHHARHATTA, Bihar 800008","Patna City, MACHHARHATTA",25.5995864,85.22502659999999,ChIJW9QKSdtf7TkR-haTPTZC9Ww,https://www.google.com/maps/place/?q=place_id:ChIJW9QKSdtf7TkR-haTPTZC9Ww,part_398,2026-09-20 20:19:10
