business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bablu Kumar Yadav,Bar and Pub,Bar,Bar,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",+91 82945 74918,N/A,,,"HJ77+29C, Bingama, Baghra, Bihar 848506",Bingama,25.5625619,85.6133898,ChIJI_CqGAB_8jkR9cOJrlvgqNo,https://www.google.com/maps/place/?q=place_id:ChIJI_CqGAB_8jkR9cOJrlvgqNo,part_398,2026-09-20 20:20:19
BJP guest house,Bar and Pub,Bar,Bar,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,,,"HHP2+53G, Chandpur, Bihar 844506",848506,25.5854324,85.55019329999999,ChIJEfuZNwCB8jkRI5xg7QbXnQo,https://www.google.com/maps/place/?q=place_id:ChIJEfuZNwCB8jkRI5xg7QbXnQo,part_398,2026-09-20 20:20:19
Guddu house Madhapur,Bar and Pub,Bar,Bar,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,,,"HHVV+GV2, Madhupur Sarai, Bihar 848506",848506,25.593761699999998,85.5946503,ChIJpYt6TgCB8jkR8u8BpYXpow8,https://www.google.com/maps/place/?q=place_id:ChIJpYt6TgCB8jkR8u8BpYXpow8,part_398,2026-09-20 20:20:19
Baba ka dukan,Bar and Pub,Bar,Bar,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,5.0,1.0,"Kashipur, Samastipur, Bihar 848101",Kashipur,25.8616927,85.7767641,ChIJzfhOQjSR7TkRYqciGgLSgl0,https://www.google.com/maps/place/?q=place_id:ChIJzfhOQjSR7TkRYqciGgLSgl0,part_398,2026-09-20 20:20:19
M.B.J hotel dhava Bar,Bar and Pub,Bar,Bar,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,3.7,9.0,"5C7M+XH7, Patiyasha, Bihar 843103",848506,26.165115,85.43509499999999,ChIJE8ZV6AAb7TkRUvTWdfLYIDs,https://www.google.com/maps/place/?q=place_id:ChIJE8ZV6AAb7TkRUvTWdfLYIDs,part_398,2026-09-20 20:20:19
Manind bar,Bar and Pub,Bar,Bar,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,3.1,7.0,"848G+RM4, NH 27, Bakhari, Bihar 845426",848506,26.317016799999998,85.1267136,ChIJ5761yxcn7TkROIl5hf_AwIY,https://www.google.com/maps/place/?q=place_id:ChIJ5761yxcn7TkROIl5hf_AwIY,part_398,2026-09-20 20:20:21
Vipat manjhi PDS,Bar and Pub,Pub,Pub,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,4.4,8.0,"R63R+2HG, Unnamed Road, Manaitha, Bihar 848213",848506,25.802574999999997,86.2414524,ChIJXxGw2qv97TkRTmaHQiUv920,https://www.google.com/maps/place/?q=place_id:ChIJXxGw2qv97TkRTmaHQiUv920,part_398,2026-09-20 20:20:21
Pub G,Bar and Pub,Bar,Bar,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,5.0,2.0,"P7R7+3PP, Bairgania, Bihar 845304",848506,26.7402107,85.2643432,ChIJf1dlM7W_7DkRMeBWALd_zFE,https://www.google.com/maps/place/?q=place_id:ChIJf1dlM7W_7DkRMeBWALd_zFE,part_398,2026-09-20 20:20:21
Raashid Bar,Bar and Pub,Bar,Bar,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,4.1,20.0,"6PP3+FG7, Fakharpur Panchayat, Bihar 804401",848506,25.2361559,84.7037852,ChIJJyyUYydHjTkRuoIZbgC7j7c,https://www.google.com/maps/place/?q=place_id:ChIJJyyUYydHjTkRuoIZbgC7j7c,part_398,2026-09-20 20:20:21
Singraila chour,Bar and Pub,Pub,Pub,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,4.3,6.0,"J6M3+X7P, Kumharson, Bihar 848204",848506,25.6349625,86.2032031,ChIJRcH9lL__7TkRZmxkjvRVwEw,https://www.google.com/maps/place/?q=place_id:ChIJRcH9lL__7TkRZmxkjvRVwEw,part_398,2026-09-20 20:20:21
Amarjeet sahani nearby,Bar and Pub,Cider bar,Cider bar,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,4.8,8.0,"WXQ7+HV5, Rahthauli, Bihar 848117",848506,25.9388762,85.96472969999999,ChIJ454oSYPr7TkRFH7pMrFXR1o,https://www.google.com/maps/place/?q=place_id:ChIJ454oSYPr7TkRFH7pMrFXR1o,part_398,2026-09-20 20:20:21
SMD ENTERPRISES SAMASTIPUR,Bar and Pub,Shopping mall,Shopping mall,848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",+91 62095 79234,https://api1.vyaparapp.in/store/smdenterprisessamastipur,4.7,,"Ward Number 47, Nagar Nigam, Dariyapur Laguniya, Laguniya Raghukanth, Samastipur, Bihar 848101",848506,25.8053353,85.7788003,ChIJ4Y7wmgaR7TkRWgf4JdqFRtQ,https://www.google.com/maps/place/?q=place_id:ChIJ4Y7wmgaR7TkRWgf4JdqFRtQ,part_398,2026-09-20 20:20:22
"Shiv Pipe (Sunil ji ki dukan) - Best, Oldest and Trustworthy shop for pipes, pipe fittings, sanitary ware and motor pumps",Bar and Pub,Electric motor store,"Electric motor store, Pipes Wholesaler",848506,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Dharnipatti BO, Dumri Bindgama BO, Hardaspur Diara BO",N/A,N/A,3.9,,"Ghat, ghat road, Magardahi, Samastipur, Bihar 848101",Magardahi,25.8649126,85.78443829999999,ChIJp2pfVL6Q7TkRvoSFkVyHxbU,https://www.google.com/maps/place/?q=place_id:ChIJp2pfVL6Q7TkRvoSFkVyHxbU,part_398,2026-09-20 20:20:22
