business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
National Cycle Store 2.0,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 95708 53565,N/A,4.9,58.0,"Kailash Motel Har Har Mahadev Chowk, NH 31, Kaushal Colony, Kapasiya, Begusarai, Bihar 851101","Kaushal Colony, Kapasiya",25.4204799,86.11878349999999,ChIJWQmHNgAb8jkRnOBfTbwQ-Uo,https://www.google.com/maps/place/?q=place_id:ChIJWQmHNgAb8jkRnOBfTbwQ-Uo,part_398,2026-09-20 20:21:15
Parnami Unique Cycle Store,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 89360 52879,N/A,4.5,29.0,"Pranami Unique Cycle store, Main Rd, near bandhan Bank collegiate school, Vasant Vihar, Makhsaspur, Begusarai, Bihar 851101",Vasant Vihar,25.4170601,86.12972959999999,ChIJQ6riAtQa8jkRWaJKjeyj3gg,https://www.google.com/maps/place/?q=place_id:ChIJQ6riAtQa8jkRWaJKjeyj3gg,part_398,2026-09-20 20:21:15
Cycle repair center,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",N/A,N/A,2.0,3.0,"C4C9+J7V, Kapasiya, Begusarai, Bihar 851117",Kapasiya,25.422005499999997,86.11798809999999,ChIJ5bI72eIb8jkRo1yHDdlAD4M,https://www.google.com/maps/place/?q=place_id:ChIJ5bI72eIb8jkRo1yHDdlAD4M,part_398,2026-09-20 20:21:15
National Cycle Store,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 95708 53565,N/A,4.1,29.0,"Kachahari Rd, near V-mart, Vishnupur, Sarvodaya Nagar, Begusarai, Bihar 851101","Vishnupur, Sarvodaya Nagar",25.421327899999998,86.13579299999999,ChIJxXjGxyob8jkRE_Wgt933lEs,https://www.google.com/maps/place/?q=place_id:ChIJxXjGxyob8jkRE_Wgt933lEs,part_398,2026-09-20 20:21:15
Sri Gupta Trading & Gupta Cycle Store,Bicycle Shop and Repair,Weighing Scale Supplier,Weighing Scale Supplier,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 90315 83706,N/A,4.9,20.0,"Main Rd, Nirala Nagar, Begusarai, Bihar 851101",Nirala Nagar,25.4167922,86.12683299999999,ChIJtZzLMCob8jkRpvCGslDSK9A,https://www.google.com/maps/place/?q=place_id:ChIJtZzLMCob8jkRpvCGslDSK9A,part_398,2026-09-20 20:21:15
Raj cycle Store,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 93049 73580,N/A,5.0,1.0,"Ambedkar chowk, Vasant Vihar, Begusarai, Bihar 851101",Vasant Vihar,25.4166797,86.1293638,ChIJHzvy-0cb8jkRlCa2d9fdv6A,https://www.google.com/maps/place/?q=place_id:ChIJHzvy-0cb8jkRlCa2d9fdv6A,part_398,2026-09-20 20:21:15
Adhunik Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Hardware store",851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 84094 04646,N/A,1.0,1.0,"Jama, Bishnu Chauk, Masjid Rd, Vasant Vihar, Bihar 851101",Vasant Vihar,25.4181906,86.1269983,ChIJj43ktNMa8jkRor3bTjkdRA4,https://www.google.com/maps/place/?q=place_id:ChIJj43ktNMa8jkRor3bTjkdRA4,part_398,2026-09-20 20:21:15
Road Master Cycles,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 96434 04343,https://roadmasterindia.com/,4.1,7.0,"Vishwanath Nagar Road, Vasant Vihar, Begusarai, Bihar 851101",Vasant Vihar,25.4186239,86.1274388,ChIJzfkJttMa8jkR6fWWy1siX8I,https://www.google.com/maps/place/?q=place_id:ChIJzfkJttMa8jkR6fWWy1siX8I,part_398,2026-09-20 20:21:15
Rahman Cycle Co,Bicycle Shop and Repair,Auto parts store,Auto parts store,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 78348 82948,N/A,4.7,3.0,"Shop No, Permeswari Market, 15, NH 31, in front of Amardeep Hall, Vasant Vihar, Begusarai, Bihar 851101",Vasant Vihar,25.420288799999998,86.12069559999999,ChIJw_CbiLYF8jkRNH6WUE78rck,https://www.google.com/maps/place/?q=place_id:ChIJw_CbiLYF8jkRNH6WUE78rck,part_398,2026-09-20 20:21:15
Malhotra Cycle Shop,Bicycle Shop and Repair,Garage,Garage,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 94726 43433,N/A,5.0,2.0,"Begusarai, Panhas, Bihar 851218",851101,25.4322849,86.1386691,ChIJmYNg9REF8jkR711YgKQ28GQ,https://www.google.com/maps/place/?q=place_id:ChIJmYNg9REF8jkR711YgKQ28GQ,part_398,2026-09-20 20:21:15
Narayan Cycle Shop,Bicycle Shop and Repair,Electronics repair shop,Electronics repair shop,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 76549 17813,N/A,,,"Milan Chowk, Suhird Nagar, Bagha, Milan Chouk, Begusarai, Bihar 851218","Suhird Nagar, Bagha",25.4301002,86.13062649999999,ChIJm-KN8FYF8jkRhpOFt6FF6F0,https://www.google.com/maps/place/?q=place_id:ChIJm-KN8FYF8jkRhpOFt6FF6F0,part_398,2026-09-20 20:21:15
Jay Maa Bhawani Cycle Store,Bicycle Shop and Repair,Repair service,Repair service,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 85788 36316,N/A,5.0,3.0,"fatak, Thakuri Chak, Barauni, Bihar 851112",fatak,25.4724149,86.029375,ChIJQx16ZxUP8jkRfZ6JQWJQuY0,https://www.google.com/maps/place/?q=place_id:ChIJQx16ZxUP8jkRfZ6JQWJQuY0,part_398,2026-09-20 20:21:16
Alam cycle toys,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 70917 36915,N/A,4.4,5.0,"Laruara, Bihar 851131",851101,25.460350299999998,86.1267178,ChIJb5e6pvkF8jkRc1BzrfACv80,https://www.google.com/maps/place/?q=place_id:ChIJb5e6pvkF8jkRc1BzrfACv80,part_398,2026-09-20 20:21:16
Vivek cycle store,Bicycle Shop and Repair,Store,Store,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 96087 81927,N/A,5.0,4.0,"near kalustha, Cheria Bariarpur, Rudarpur Mehda, Bihar 851132",851101,25.5842983,86.0906595,ChIJR5WKdlkJ8jkRb3DKNXaqSNY,https://www.google.com/maps/place/?q=place_id:ChIJR5WKdlkJ8jkRb3DKNXaqSNY,part_398,2026-09-20 20:21:16
