business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Abs Fitness Zone,Fitness Chains,Health spa,Health spa,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 91226 80010,http://absfitnesszone.top/,4.9,,"Abs Fitness Zone, Milan Chowk, Baghi, Begusarai, Bihar 851218",851101,25.4302574,86.12922809999999,ChIJn1AYCbkF8jkRYahVns2CGA8,https://www.google.com/maps/place/?q=place_id:ChIJn1AYCbkF8jkRYahVns2CGA8,part_398,2026-09-20 20:21:13
A_Fitlife gym,Fitness Chains,Gym,Gym,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 99710 68750,https://youtube.com/channel/UCxCGkhGK0wS9XHicveOjy6A,4.4,,"Ratanpur Rd, near police station, Ratanpur, Begusarai, Bihar 851101",Ratanpur,25.410262,86.1310006,ChIJE8gh5Q4b8jkRsQSGaslU73Q,https://www.google.com/maps/place/?q=place_id:ChIJE8gh5Q4b8jkRsQSGaslU73Q,part_398,2026-09-20 20:21:13
The Body Wizards Gym,Fitness Chains,Gym,Gym,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 70045 19385,N/A,4.7,,"Bharat Gas Agency, In Front Of, Ratanpur, Begusarai, Bihar 851101",Ratanpur,25.409576899999998,86.1261445,ChIJK_n_5M8a8jkRPHvnoKaR_4g,https://www.google.com/maps/place/?q=place_id:ChIJK_n_5M8a8jkRPHvnoKaR_4g,part_398,2026-09-20 20:21:13
RB Fitness,Fitness Chains,Gym,Gym,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 79090 94099,N/A,4.7,,"Ulao Pokhar Rd, Ulao, Begusarai, Bihar 851134",Ulao,25.4158589,86.0960525,ChIJJZykf-Mb8jkRjFKI4z2AgcU,https://www.google.com/maps/place/?q=place_id:ChIJJZykf-Mb8jkRjFKI4z2AgcU,part_398,2026-09-20 20:21:13
Hulk gym,Fitness Chains,Gym,Gym,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 93417 67026,N/A,5.0,,"Singhaul Dih, Begusarai, Bihar 851134",Singhaul Dih,25.4350688,86.1000591,ChIJC22WIPQF8jkRNt0e6wf5gqY,https://www.google.com/maps/place/?q=place_id:ChIJC22WIPQF8jkRNt0e6wf5gqY,part_398,2026-09-20 20:21:13
Tiger Gym And Fitness centre,Fitness Chains,Gym,Gym,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 88513 51605,N/A,4.6,,"FWQR+HP5, Teghra, Bihar 851133",851101,25.4888922,85.9418559,ChIJzUpJx6EN8jkRPHrj-u0yTLs,https://www.google.com/maps/place/?q=place_id:ChIJzUpJx6EN8jkRPHrj-u0yTLs,part_398,2026-09-20 20:21:13
NEW FITNESS CLUB,Fitness Chains,Gym,Gym,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",N/A,N/A,4.4,,"FX9Q+597, Rajendra Rd, near Post Office Gate, Shokhara, Barauni, Bihar 851112",Shokhara,25.4679085,85.98842909999999,ChIJAUfjOOoN8jkR-3_j9s-qRR0,https://www.google.com/maps/place/?q=place_id:ChIJAUfjOOoN8jkR-3_j9s-qRR0,part_398,2026-09-20 20:21:13
Begusarai Karate Academy,Fitness Chains,Karate club,Karate club,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 79924 83953,N/A,4.7,,"Nauranga, Main Rd, Begusarai, Bihar 851101",Nirala Nagar,25.4170026,86.1263551,ChIJR2pMBZgb8jkRmG8x2DIZpxk,https://www.google.com/maps/place/?q=place_id:ChIJR2pMBZgb8jkRmG8x2DIZpxk,part_398,2026-09-20 20:21:13
Bharat Sports,Fitness Chains,Sports Equipment Rental Agency,Sports Equipment Rental Agency,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 88091 91833,N/A,4.3,,"Rajendra Rd, near bandhan bank, Barauni, Bihar 851112",851101,25.4664805,85.9882658,ChIJ1aOU9w4N8jkR3drRO3G5vUg,https://www.google.com/maps/place/?q=place_id:ChIJ1aOU9w4N8jkR3drRO3G5vUg,part_398,2026-09-20 20:21:15
Eden Sports,Fitness Chains,Wholesaler,Wholesaler,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 92949 15927,N/A,,,"Kachahari Rd, near hdfc bank, Vasant Vihar, Begusarai, Bihar 851129",Vasant Vihar,25.418116299999998,86.12713529999999,ChIJPdqOqlsb8jkRlPqQrg6g3XY,https://www.google.com/maps/place/?q=place_id:ChIJPdqOqlsb8jkRlPqQrg6g3XY,part_398,2026-09-20 20:21:15
