business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mufti,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 79 4746 8179,https://stores.muftijeans.in/mufti-men-s-clothes-shop-kali-asthan-road-begusarai-480567/Home?utm_source=locator&utm_medium=googleplaces,4.9,293.0,"WARD NO.40, GROUND & FIRST FLOOR, opposite TANISHQ SHOWROOM, near KALI ASTHAN MANDIR, Bishanpur, Begusarai, Bihar 851101",Bishanpur,25.413349999999998,86.13947,ChIJZ-h_shUb8jkRJijSGCRjy8o,https://www.google.com/maps/place/?q=place_id:ChIJZ-h_shUb8jkRJijSGCRjy8o,part_398,2026-09-20 20:21:06
Blackberrys,Mens Wear Showroom,Clothing store,Clothing store,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 88791 24631,https://stores.blackberrys.com/blackberrys-gangotri-gange-complex-begusarai-6716882566643712/Home?utm_source=locator&utm_medium=googleplaces,5.0,766.0,"Ground Floor, Gangotri Gange Complex Har Har Mahadev Chowk, Begusarai, Bihar 851117","Vishwanath Nagar, Pipra",25.419234,86.1192725,ChIJG9qEip4b8jkRSbXmtp0xewc,https://www.google.com/maps/place/?q=place_id:ChIJG9qEip4b8jkRSbXmtp0xewc,part_398,2026-09-20 20:21:06
Manyavar,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Designer Clothing Store, Clothing Accessories Store, Wedding store",851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 80 3700 2423,https://www.manyavar.com/en-in/store-india/bihar/begusarai/manyavar-har-har-mahadev-chowk-VFPLSSEB,4.9,293.0,"Har Har Mahadev Chowk, Ground Floor, Gange Gangotri Complex, Begusarai, Bihar 851101",Pipra,25.4195447,86.119514,ChIJSSbeOh0b8jkRvzI1QSyY-XM,https://www.google.com/maps/place/?q=place_id:ChIJSSbeOh0b8jkRvzI1QSyY-XM,part_398,2026-09-20 20:21:06
Manyavar & Mohey,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Bridal shop, Designer Clothing Store, Clothing store, Women's clothing store",851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 90310 41848,https://www.manyavar.com/en-in/store-india/bihar/begusarai/manyavar-and-mohey-kaliashthan-road-begusarai-VFPLTSBS,4.9,440.0,"The Saaj Dakbanglow Road, Kaliashthan Road, near The Bombay Fashion, Begusarai, Bihar 851101",Bishanpur,25.4128766,86.14116279999999,ChIJ_TBW9yEb8jkRn0LLFjry9_Q,https://www.google.com/maps/place/?q=place_id:ChIJ_TBW9yEb8jkRn0LLFjry9_Q,part_398,2026-09-20 20:21:06
Van Heusen - Begusarai,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Jeans shop, Designer Clothing Store, Dress store, Clothing Accessories Store, Formal Clothing Store, T-shirt store, Tuxedo shop, Youth clothing store",851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 62908 21150,https://vanheusenindia.abfrl.in/,4.5,17.0,"Dak Bunglow Rd, near Mithaas Vatika, Chitragupta Nagar, Begusarai, Bihar 851101",Chitragupta Nagar,25.413309599999998,86.1406858,ChIJEXEXIy8b8jkRi-3dSFpfSLI,https://www.google.com/maps/place/?q=place_id:ChIJEXEXIy8b8jkRi-3dSFpfSLI,part_398,2026-09-20 20:21:06
Louis Philippe,Mens Wear Showroom,Clothing store,Clothing store,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 90310 41843,N/A,4.7,77.0,"KALIASTHAN ROAD, near THE BOMBAY FASHION, Chitragupta Nagar, Begusarai, Bihar 851101",Chitragupta Nagar,25.4131941,86.1405722,ChIJGZ1z5mob8jkRIZCEX0QDcjQ,https://www.google.com/maps/place/?q=place_id:ChIJGZ1z5mob8jkRIZCEX0QDcjQ,part_398,2026-09-20 20:21:06
Riyaasat,Mens Wear Showroom,Men's clothing store,Men's clothing store,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",N/A,N/A,5.0,20.0,"Kotak mahindra bank, Dak Bunglow Rd, near Kali Asthan, Bishanpur, Begusarai, Bihar 851101",Bishanpur,25.412981799999997,86.14075079999999,ChIJ8VFC2Bkb8jkRDbMA-D6l6ug,https://www.google.com/maps/place/?q=place_id:ChIJ8VFC2Bkb8jkRDbMA-D6l6ug,part_398,2026-09-20 20:21:06
ROYAL STYLE,Mens Wear Showroom,Men's clothing store,Men's clothing store,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 62055 51455,N/A,5.0,1.0,"GD College Rd, near MALI TVS AGENCY, opposite HDFC ATM, MEERGANJ, Begusarai, Barauni IOC Twp, Bihar 851101",MEERGANJ,25.4186031,86.1225262,ChIJNZzLdHob8jkR3PLxdZ9D3cc,https://www.google.com/maps/place/?q=place_id:ChIJNZzLdHob8jkR3PLxdZ9D3cc,part_398,2026-09-20 20:21:06
COBB Exclusive Showroom Begusarai,Mens Wear Showroom,Men's clothing store,Men's clothing store,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",N/A,https://cobbitaly.com/,5.0,6.0,"Hira lal chowk, Main Rd, Sarvodaya Nagar, Begusarai, Bihar 851101",Sarvodaya Nagar,25.4148584,86.13395799999999,ChIJHypjET0b8jkRQgm9YUAQ6bQ,https://www.google.com/maps/place/?q=place_id:ChIJHypjET0b8jkRQgm9YUAQ6bQ,part_398,2026-09-20 20:21:06
Jockey Exclusive Store,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Baby clothing store, Children's clothing store, Lingerie store, Clothing store, Sportswear store, Underwear store, Women's clothing store",851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 6243 452 381,https://stores.jockey.in/jockey-exclusive-store-bishanpur-begusarai-39288/home?utm_source=GBP,4.8,58.0,"Ward No 39, Eshwari Complex, Dak Bunglow Rd, opposite Omar Girls Middle School, near Sri Krishna Mahila College, Bishanpur, Begusarai, Mohan Eghu, Bihar 851101",Bishanpur,25.41285,86.14465,ChIJzdbR6Dsb8jkRnYJ4h2YVH3A,https://www.google.com/maps/place/?q=place_id:ChIJzdbR6Dsb8jkRnYJ4h2YVH3A,part_398,2026-09-20 20:21:06
