business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Udaan Cricket Academy Begusarai,Sports Academy and Turf Ground,Sports club,Sports club,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 62020 26634,N/A,4.4,9.0,"NH 31, near Udaan international school, Keshawe, Begusarai, Bihar 851101",851101,25.4321085,86.0857915,ChIJBaunWiwF8jkRd8_Yyi-c9n4,https://www.google.com/maps/place/?q=place_id:ChIJBaunWiwF8jkRd8_Yyi-c9n4,part_398,2026-09-20 20:21:29
EVEREST CRICKET ACADEMY,Sports Academy and Turf Ground,Sports club,Sports club,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",N/A,N/A,4.7,18.0,"C4G6+HQF, behind Sun Flower School, Kapasiya, Begusarai, Bihar 851117",Kapasiya,25.4264343,86.1119365,ChIJTyl7OQAF8jkR1FXH_tz-qtE,https://www.google.com/maps/place/?q=place_id:ChIJTyl7OQAF8jkR1FXH_tz-qtE,part_398,2026-09-20 20:21:29
Ashoka cricket academy.,Sports Academy and Turf Ground,Sports club,Sports club,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 79797 05667,N/A,3.9,23.0,"Near, Ulao, Bihar 851134","NT Nagar, Ulao",25.4156008,86.0886366,ChIJ-9tO5agR8jkRYNyqPwXkGfA,https://www.google.com/maps/place/?q=place_id:ChIJ-9tO5agR8jkRYNyqPwXkGfA,part_398,2026-09-20 20:21:29
Gandhi Stadium,Sports Academy and Turf Ground,Sports complex,"Sports complex, Stadium",851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",N/A,N/A,4.1,421.0,"Gandhi Stadium, Vishnupur, Chitragupta Nagar, Begusarai, Bihar 851101","Vishnupur, Chitragupta Nagar",25.4161687,86.1367882,ChIJh6iFnSkb8jkRhgrAJ0zH0eI,https://www.google.com/maps/place/?q=place_id:ChIJh6iFnSkb8jkRhgrAJ0zH0eI,part_398,2026-09-20 20:21:29
Cricket Play Ground,Sports Academy and Turf Ground,Playground,Playground,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",N/A,N/A,5.0,2.0,"C4M6+524, Begusarai, Bihar 851117",851101,25.4328826,86.11008079999999,ChIJRVX3eosF8jkR2s2PItUoPKQ,https://www.google.com/maps/place/?q=place_id:ChIJRVX3eosF8jkR2s2PItUoPKQ,part_398,2026-09-20 20:21:29
Nagdah Cricket ground,Sports Academy and Turf Ground,Playground,Playground,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",N/A,N/A,4.0,1.0,"ward no 10, Nagdah, Begusarai, Bihar 851117",Nagdah,25.427489299999998,86.11321679999999,ChIJnf4NE7sF8jkRNzqKxQGbkoc,https://www.google.com/maps/place/?q=place_id:ChIJnf4NE7sF8jkRNzqKxQGbkoc,part_398,2026-09-20 20:21:29
Target physical defence academy,Sports Academy and Turf Ground,Playground,Playground,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 74978 01762,N/A,4.5,2.0,"J2FG+XVW, Begusarai - Rosera Rd, Sakrauli, Basahi, Bihar 848202",851101,25.6249887,86.0272102,ChIJLzWKXwD37TkRdvlC-vMS1ts,https://www.google.com/maps/place/?q=place_id:ChIJLzWKXwD37TkRdvlC-vMS1ts,part_398,2026-09-20 20:21:29
RRSDCE PLAYGROUND 1,Sports Academy and Turf Ground,Playground,Playground,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",N/A,N/A,3.3,3.0,"C4G3+RP3, Singhaul Dih, Begusarai, Bihar 851134",Singhaul Dih,25.426572999999998,86.1034822,ChIJ11Jn_SoF8jkRBDY1G4HoNe4,https://www.google.com/maps/place/?q=place_id:ChIJ11Jn_SoF8jkRBDY1G4HoNe4,part_398,2026-09-20 20:21:29
Pakthaul Cricket Graund Atif,Sports Academy and Turf Ground,Cricket ground,Cricket ground,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 88772 16548,N/A,4.1,43.0,"Dahiya, Pakthaul, Kirtaul, Bihar 851112",Dahiya,25.5100907,86.0287374,ChIJqbCWca8O8jkRBcO1DBUP5os,https://www.google.com/maps/place/?q=place_id:ChIJqbCWca8O8jkRBcO1DBUP5os,part_398,2026-09-20 20:21:29
Roy Cricket Academy,Sports Academy and Turf Ground,Playground,Playground,851101,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"BEGUSARAI ZILA PARISHAD S.O, Begusarai HO, Begusarai Court SO",+91 91101 06059,N/A,4.9,8.0,"Salauna Rd, Bakhri, Salauna, Bihar 848201",851101,25.608736,86.2602945,ChIJXflgOhr_8TkRc0X93WXOiSU,https://www.google.com/maps/place/?q=place_id:ChIJXflgOhr_8TkRc0X93WXOiSU,part_398,2026-09-20 20:21:29
