business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dikshant coaching center pahsara Navtoliya,Tuition Center,Education center,Education center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",N/A,N/A,5.0,,"H539+M3H, Pahsara West, Bihar 851127",851127,25.5541913,86.1677366,ChIJLzNAAzAH8jkRpcwSaP_pXg4,https://www.google.com/maps/place/?q=place_id:ChIJLzNAAzAH8jkRpcwSaP_pXg4,part_398,2026-09-20 20:29:33
Gyan Bindu Coaching Centre,Tuition Center,Education center,Education center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",N/A,N/A,3.7,,"G5F5+RPR, Begusarai, Tekanpura, Bihar 851127",851127,25.524623599999998,86.159251,ChIJSQgNDQAH8jkR74gfdK4Bf0I,https://www.google.com/maps/place/?q=place_id:ChIJSQgNDQAH8jkR74gfdK4Bf0I,part_398,2026-09-20 20:29:33
TGS ACADEMY Manjhaul,Tuition Center,Coaching Center,Coaching Center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",+91 97093 70175,N/A,5.0,,"Manjhaul-3, Bihar 851127",851127,25.5598542,86.1292422,ChIJWzeJjscH8jkR5_z4hJaN2v0,https://www.google.com/maps/place/?q=place_id:ChIJWzeJjscH8jkR5_z4hJaN2v0,part_398,2026-09-20 20:29:33
Gyandayini Coaching centre,Tuition Center,Coaching Center,Coaching Center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",+91 76313 62622,N/A,4.5,,"Main Market, Chatti Road, Manjhaul-3, Bihar 851127",851127,25.557869699999998,86.1271241,ChIJpVwzNFcH8jkRWR5zzaPnsZc,https://www.google.com/maps/place/?q=place_id:ChIJpVwzNFcH8jkRWR5zzaPnsZc,part_398,2026-09-20 20:29:33
IDEAL EDUCATIONAL CENTRE for class 5 to 10 All subjects BSEB/CBSE,Tuition Center,Coaching Center,Coaching Center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",N/A,N/A,,,"chowk, near Hanuman mandir 851131, Rajaura, BEGUSARAI, Bihar 851131",851127,25.471440599999998,86.1488693,ChIJC0wATr0F8jkR1tOFOk_k2B0,https://www.google.com/maps/place/?q=place_id:ChIJC0wATr0F8jkR1tOFOk_k2B0,part_398,2026-09-20 20:29:33
Nution high school coaching center,Tuition Center,Education center,Education center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",N/A,N/A,,,"H46H+2QF, Manjhaul-3, Bihar 851127",851127,25.560062499999997,86.1294375,ChIJhQxTnxEH8jkRnYH7WR-WApA,https://www.google.com/maps/place/?q=place_id:ChIJhQxTnxEH8jkRnYH7WR-WApA,part_398,2026-09-20 20:29:33
galaxy science coaching,Tuition Center,Education center,Education center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",N/A,N/A,4.2,,"H46H+4V2, Manjhaul-3, Bihar 851127",851127,25.5602578,86.1296266,ChIJE502BhIH8jkR3P1T8wyXkEw,https://www.google.com/maps/place/?q=place_id:ChIJE502BhIH8jkR3P1T8wyXkEw,part_398,2026-09-20 20:29:33
बालवीर ट्रेनिंग सेंटर balveer training centre,Tuition Center,Coaching Center,Coaching Center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",+91 91020 89644,https://www.facebook.com/kundan.joshawa?mibextid=ZbWKwL,5.0,,"हजारी टोला, Birpur, Gobind Rampur, Bihar 851127",851127,25.517322999999998,86.0840568,ChIJxeBljxMH8jkRfYpP1JfWgYM,https://www.google.com/maps/place/?q=place_id:ChIJxeBljxMH8jkRfYpP1JfWgYM,part_398,2026-09-20 20:29:33
"FUTURE BRIGHT COACHING CENTRE, ABBUPUR CHHATAUNA",Tuition Center,Education center,Education center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",N/A,N/A,4.5,,"G5CG+MW, Abbupur, Bihar 851130",851127,25.5216875,86.1773125,ChIJo__IYgAB8jkRVicWY7janiE,https://www.google.com/maps/place/?q=place_id:ChIJo__IYgAB8jkRVicWY7janiE,part_398,2026-09-20 20:29:33
"विद्यार्थी फाउंडेशन, परबंदा",Tuition Center,Education center,"Education center, Coaching Center",851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",+91 76317 61951,N/A,4.6,,"Birpur - Barhara - Chilhai Ghat Rd, Dahiya, Gobind Rampur, Pipra Dodraj, Bihar 851127",Dahiya,25.5065201,86.05453829999999,ChIJZf5xdBoP8jkRR-8dg60Bwlc,https://www.google.com/maps/place/?q=place_id:ChIJZf5xdBoP8jkRR-8dg60Bwlc,part_398,2026-09-20 20:29:33
THE MOTION COACHING CENTER,Tuition Center,Education center,Education center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",N/A,N/A,4.0,,"F497+2FP, Kari Chak, Bihar 851218",851127,25.467588199999998,86.1137148,ChIJU4hvrXMF8jkRbPxb5ZGa038,https://www.google.com/maps/place/?q=place_id:ChIJU4hvrXMF8jkRbPxb5ZGa038,part_398,2026-09-20 20:29:33
Aadarsh Coaching Centre,Tuition Center,Coaching Center,Coaching Center,851127,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Manjhaul SO, Birpur BO, Dafarpur BO",N/A,N/A,,,"SH-55, Mohan Pur, Begusarai, Bihar 851110",851127,25.510565099999997,86.1318247,ChIJu4hz9FkF8jkRYLNpgAcMiGk,https://www.google.com/maps/place/?q=place_id:ChIJu4hz9FkF8jkRYLNpgAcMiGk,part_398,2026-09-20 20:29:33
