business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SKILL TECH COMPUTER INSTITUTE,Computer Training Institute,Education center,"Education center, Computer Hardware Company, Computer repair service, Computer service, Computer software store, Computer training school, Special education school",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 85678 19029,N/A,4.8,161.0,"Ram Rahim Road, Purani Bazar Rd, Madhepura, Bihar 852113",852114,25.929434,86.79317499999999,ChIJnfkG3MU27jkRdu2qACHLcs0,https://www.google.com/maps/place/?q=place_id:ChIJnfkG3MU27jkRdu2qACHLcs0,part_399,2026-09-20 20:19:17,2952
S&S COMPUTER,Computer Training Institute,Training center,"Training center, Education center",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.7,80.0,"Rahamanganj ward no 13, near by Bihar Gun House, Madhepura, Bihar 852113",852114,25.921050599999997,86.79443839999999,ChIJm7A7jmU37jkRW-CWJS6DKbE,https://www.google.com/maps/place/?q=place_id:ChIJm7A7jmU37jkRW-CWJS6DKbE,part_399,2026-09-20 20:19:17,2953
ABHAY COMPUTER INSTITUTE,Computer Training Institute,Education center,Education center,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 86778 58544,https://www.abhaycomputerinstitute.in/,4.9,117.0,"Gol Bazar Murliganj Near Shree ram mandir Ward no :- 07, Murliganj, Bihar 852122",852114,25.898422999999998,86.9920068,ChIJuQLmuMXP7zkRmofYyz1puD0,https://www.google.com/maps/place/?q=place_id:ChIJuQLmuMXP7zkRmofYyz1puD0,part_399,2026-09-20 20:19:17,2954
MODERN DELHI INFOTECH,Computer Training Institute,Educational institution,Educational institution,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 75469 95935,N/A,4.9,92.0,"SBI Rd, near Pradhi Yadav hospital, Madhepura, Bihar 852113",852114,25.9156123,86.788617,ChIJq_tIG9I37jkR-fHZ3JVvRhk,https://www.google.com/maps/place/?q=place_id:ChIJq_tIG9I37jkR-fHZ3JVvRhk,part_399,2026-09-20 20:19:17,2955
Tarun India Institute,Computer Training Institute,Institute of technology,Institute of technology,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 97094 83986,https://tarunindia.in/,4.8,22.0,"Ward Number 13, Main Rd, opposite police station, Madhepura, Bihar 852113",852114,25.9208583,86.7917677,ChIJj0JCKdA27jkRLs2MBIewpSM,https://www.google.com/maps/place/?q=place_id:ChIJj0JCKdA27jkRLs2MBIewpSM,part_399,2026-09-20 20:19:17,2956
Alpha plus computer madhepura,Computer Training Institute,Education center,Education center,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 96616 55151,https://alpha-plus.co.in/,5.0,1.0,"XVJ3+5VG, Maheshuwa, Bihar 852128",852114,25.9804826,86.8547291,ChIJOz6CMus17jkRk3GOFgCCEUk,https://www.google.com/maps/place/?q=place_id:ChIJOz6CMus17jkRk3GOFgCCEUk,part_399,2026-09-20 20:19:17,2957
Global Institute of Information Technology and Samajic Seva Sansthan,Computer Training Institute,Education center,Education center,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 99397 38000,http://giitsss.com/,4.3,32.0,"Gautam Infotech Education Pvt.Ltd. NH 107, Bihar 852113",852114,25.915902,86.7932927,ChIJHcWmv8027jkRAtOyj0utn7E,https://www.google.com/maps/place/?q=place_id:ChIJHcWmv8027jkRAtOyj0utn7E,part_399,2026-09-20 20:19:17,2958
"Sarvottam Coaching Centre Nehalpatti, Manikpur (Madhepura)852113 & Sarvottam Computer Education",Computer Training Institute,Education center,Education center,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 76672 72010,https://sarvottamcoaching2020-collab.github.io/Sarvottamcoaching.github.io/,4.2,14.0,"Unnamed Road, Manikpur, Bihar 852113",852114,25.9043563,86.8249341,ChIJo2HFV0Qz7jkRkdF4UTOfLHg,https://www.google.com/maps/place/?q=place_id:ChIJo2HFV0Qz7jkRkdF4UTOfLHg,part_399,2026-09-20 20:19:17,2959
GAUTAM INFOTECH EDUCATION PVT. LTD. Branch Office,Computer Training Institute,Educational institution,Educational institution,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 94728 51100,http://www.giitsss.com/,4.7,74.0,"Madhepura West By Pass Rd, in front of hero show room, Madhepura, Bihar 852113",852114,25.9157595,86.793371,ChIJG8cmvDA37jkRNwADg-1V8xM,https://www.google.com/maps/place/?q=place_id:ChIJG8cmvDA37jkRNwADg-1V8xM,part_399,2026-09-20 20:19:17,2960
Computer institute belari,Computer Training Institute,Education center,Education center,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,3.0,2.0,"XW84+FR3, Belari, Bihar 852114",852114,25.966149899999998,86.9070069,ChIJx32vbADL7zkRmbHDS15P6Z0,https://www.google.com/maps/place/?q=place_id:ChIJx32vbADL7zkRmbHDS15P6Z0,part_399,2026-09-20 20:19:17,2961
