business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dp yadav tengraha temple,Housekeeping Services,House cleaning service,House cleaning service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"2WC7+96, Basantpur, Bihar 852128",852114,26.0208764,86.9131127,ChIJyZ84cwC17zkRN-SI_kte4Ao,https://www.google.com/maps/place/?q=place_id:ChIJyZ84cwC17zkRN-SI_kte4Ao,part_399,2026-09-20 20:19:22,3576
"Aayansh Cleaning Services-Sofa Cleaning,Home/House/Room/Office Deep Cleaning, Pest Control Service & Termite Control Services",Housekeeping Services,Cleaning Services,"Cleaning Services, Pest control service",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 78081 15680,https://www.aayanshpestcontrol.in/cleaning-service/,4.9,,"House in, Roshan Kumar, behind Chutkulanad, Sanjay Nagar, Chiriyatand, Lohia Nagar, Patna, Bihar 800020","Sanjay Nagar, Chiriyatand, Lohia Nagar",25.5912161,85.1446457,ChIJiRRA8FdZ7TkRSqmSJbl7jtI,https://www.google.com/maps/place/?q=place_id:ChIJiRRA8FdZ7TkRSqmSJbl7jtI,part_399,2026-09-20 20:19:22,3577
Cleaning Hero,Housekeeping Services,Cleaning Services,Cleaning Services,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 90311 16900,https://cleaninghero.in/,4.9,,"Chandradhari Museum, Station Rd, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1529445,85.9071402,ChIJRYUpqEa57TkRPiYywVU8Cgo,https://www.google.com/maps/place/?q=place_id:ChIJRYUpqEa57TkRPiYywVU8Cgo,part_399,2026-09-20 20:19:22,3578
Cleanin cleaning services,Housekeeping Services,Cleaning Services,Cleaning Services,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 70505 38638,https://www.cleanin.in/,4.8,,"9XP4+RWG, Barh - Mokama - Barahia Rd, Aunta, Bihar 803303",852114,25.387071,85.9573204,ChIJP19RHAAT8jkRy22lvE4T7qY,https://www.google.com/maps/place/?q=place_id:ChIJP19RHAAT8jkRy22lvE4T7qY,part_399,2026-09-20 20:19:22,3579
Surendra baniya house,Housekeeping Services,House cleaning service,House cleaning service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,,"ward no-07, no-07, Navtol rd, Parwa, Bihar 852122",852114,25.9075958,86.91789519999999,ChIJrUcfN-TN7zkRjn5I1vIwFyY,https://www.google.com/maps/place/?q=place_id:ChIJrUcfN-TN7zkRjn5I1vIwFyY,part_399,2026-09-20 20:19:22,3580
Lucky soni,Housekeeping Services,House cleaning service,House cleaning service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"WQFV+JV3, chhok, Madhepura, Bihar 852113",chhok,25.924002299999998,86.7946728,ChIJ3cn5DwA37jkRaLtIty-wK4w,https://www.google.com/maps/place/?q=place_id:ChIJ3cn5DwA37jkRaLtIty-wK4w,part_399,2026-09-20 20:19:22,3581
Vikash Kumar,Housekeeping Services,House cleaning service,House cleaning service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,,"XVRG+2VX, Raibhir, Bihar 852128",852114,25.9901034,86.8772298,ChIJw3BjLAA17jkRzkhZHHeNJTI,https://www.google.com/maps/place/?q=place_id:ChIJw3BjLAA17jkRzkhZHHeNJTI,part_399,2026-09-20 20:19:22,3582
ANIL KUMAR YADAV,Housekeeping Services,House cleaning service,House cleaning service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,3.0,,"2VVJ+2H6, Bihar 852132",852114,26.0425416,86.88137669999999,ChIJEbLy-L5L7jkRDACWcRjivkQ,https://www.google.com/maps/place/?q=place_id:ChIJEbLy-L5L7jkRDACWcRjivkQ,part_399,2026-09-20 20:19:22,3583
Pramod House (Pramod kumar),Housekeeping Services,House cleaning service,House cleaning service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"p/o-gahumani, p/s, At-ekdahara, Singheshwar, Bihar 852113",852114,25.9356767,86.83283899999999,ChIJOeM4fBE17jkRaykeonW2ON4,https://www.google.com/maps/place/?q=place_id:ChIJOeM4fBE17jkRaykeonW2ON4,part_399,2026-09-20 20:19:22,3584
Sanoj paswan,Housekeeping Services,House cleaning service,House cleaning service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,,"XRVP+QJ4, Patori, Singheshwar, Bihar 852128",852114,25.9943927,86.8365657,ChIJWUddeQA17jkR2BVP5uGc4As,https://www.google.com/maps/place/?q=place_id:ChIJWUddeQA17jkR2BVP5uGc4As,part_399,2026-09-20 20:19:22,3585
