business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Alive devil's dance academy,Music and Dance Academy,Dance club,Dance club,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 77818 41281,N/A,4.8,13.0,"Vidyapuri, Ward No 18, Madhepura, Bihar 852113",Ward No 18,25.9135201,86.7876848,ChIJDz-r74w37jkRyDxFhUCC7t0,https://www.google.com/maps/place/?q=place_id:ChIJDz-r74w37jkRyDxFhUCC7t0,part_399,2026-09-20 20:19:17,2993
D4D THE SCHOOL OF ART,Music and Dance Academy,Art school,Art school,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 73210 17812,https://youtube.com/channel/UCjHwYG_mH-sgx3BfOlH7pwQ,4.8,38.0,"muhalla, ward, Mandir, no-17, near Thakurbari - Laxmipur Muhalla Road, Lakshmipur, Madhepura, Bihar 852113",852114,25.917346,86.79083399999999,ChIJ19rxRrw37jkRakYkQTGiXlw,https://www.google.com/maps/place/?q=place_id:ChIJ19rxRrw37jkRakYkQTGiXlw,part_399,2026-09-20 20:19:17,2994
Nritya-shala Dance Academy,Music and Dance Academy,Dance school,Dance school,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"karpuri Chowk, main marcket road, near peter england showroom, Madhepura, Bihar 852113",852114,25.909043699999998,86.78579739999999,ChIJVTGLiAwx7jkRIJJyFt2v-C4,https://www.google.com/maps/place/?q=place_id:ChIJVTGLiAwx7jkRIJJyFt2v-C4,part_399,2026-09-20 20:19:17,2995
Mafiys Dance Academy,Music and Dance Academy,Night club,Night club,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 76319 90025,N/A,4.0,2.0,"VXXW+773, Murliganj, Bihar 852122",852114,25.898132,86.99566,ChIJFzQgiLvO7zkRMC35tM6Lv1M,https://www.google.com/maps/place/?q=place_id:ChIJFzQgiLvO7zkRMC35tM6Lv1M,part_399,2026-09-20 20:19:17,2996
Step Up Fitness Dance Academy,Music and Dance Academy,Dance club,Dance club,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"WQHW+85V, College Chowk, Madhepura, Bihar 852113",852114,25.928362999999997,86.795417,ChIJB5c5CgA37jkRTxBSgrV-H8Q,https://www.google.com/maps/place/?q=place_id:ChIJB5c5CgA37jkRTxBSgrV-H8Q,part_399,2026-09-20 20:19:17,2997
Dance class,Music and Dance Academy,Dance school,Dance school,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.0,1.0,"INFRONT OF PRADHI YADAV HOSPITAL, SBI Rd, RB Nagar, Madhepura, Bihar 852113",RB Nagar,25.915939599999998,86.7914062,ChIJ7y1fdK837jkRuzTJ-b3wqoU,https://www.google.com/maps/place/?q=place_id:ChIJ7y1fdK837jkRuzTJ-b3wqoU,part_399,2026-09-20 20:19:17,2998
Struggler Dance Academy,Music and Dance Academy,Hip Hop Dance Class,Hip Hop Dance Class,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 88773 58737,N/A,4.9,,"Professor's Colony, gangjala ,,,2nd Branch - D.B.Road, gali, near, Welcome St, Saharsa, Bihar 852201",Police Line,25.8878265,86.59398619999999,ChIJvXVi-Vo97jkRrSe8YmXQ__0,https://www.google.com/maps/place/?q=place_id:ChIJvXVi-Vo97jkRrSe8YmXQ__0,part_399,2026-09-20 20:19:17,2999
DANCIYANA DANCE ACADEMY,Music and Dance Academy,Dance school,Dance school,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 82878 89893,N/A,5.0,,"NAGARPALIKA CHOWK, Gangjala Chowk Dhala, opposite GOLDEN PLAZA, Sant Nagar, Saharsa, Bihar 852201",Sant Nagar,25.883481999999997,86.5972929,ChIJ92OCh_M97jkRBZHcCSYE5ak,https://www.google.com/maps/place/?q=place_id:ChIJ92OCh_M97jkRBZHcCSYE5ak,part_399,2026-09-20 20:19:17,3000
"Music Lounge | Best Music, Art and Dance Academy in Qatar",Music and Dance Academy,Dance school,"Dance school, Art school, Music school, Event planner, Guitar instructor, Piano instructor, School, Vocal Instructor",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,https://musicloungeqatar.com/,4.6,,"Al Erbayyat, Doha, Qatar",852114,25.2359229,51.5040231,ChIJH-Bca_XLRT4R3a1VsZwRDYA,https://www.google.com/maps/place/?q=place_id:ChIJH-Bca_XLRT4R3a1VsZwRDYA,part_399,2026-09-20 20:19:17,3001
Deshi Groove Dance Studio,Music and Dance Academy,Hip Hop Dance Class,Hip Hop Dance Class,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 73679 23705,N/A,5.0,,"Bus Stand, near Killer Showroom, Bihariganj, Barhya, Bihar 852101",852114,25.7309897,86.98611989999999,ChIJG3CCvMXR7zkRZLxdcgX3MKo,https://www.google.com/maps/place/?q=place_id:ChIJG3CCvMXR7zkRZLxdcgX3MKo,part_399,2026-09-20 20:19:17,3002
