business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ananya Packers and Movers,Packers and Movers,Packaging company,Packaging company,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 94716 16507,https://ananyapackersmovers.com/,4.8,,"Ground floor, Jyotish path, New, Bypass Rd, West Ramkrishna Nagar, Ramkrishan Nagar, Patna, Bihar 800020","West Ramkrishna Nagar, Ramkrishan Nagar",25.584226299999997,85.13759929999999,ChIJ_4LaHPhZ7TkRt_dwDRqOuA8,https://www.google.com/maps/place/?q=place_id:ChIJ_4LaHPhZ7TkRt_dwDRqOuA8,part_399,2026-09-20 20:19:06,1723
No.1 Packers N Movers,Packers and Movers,Transportation service,"Transportation service, Logistics service, Moving and storage service, Packaging company",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 93045 99485,https://no1packersandmovers.com/packers-and-movers-in-khagaria/,4.5,,"Village- Hardaschak, Tola- Hardaschak, Panch- Sansarpur Block, district, Khagaria, Bihar 851205",852114,25.510012099999997,86.4942439,ChIJR5viQ7_l8TkREpn_C3bgmJY,https://www.google.com/maps/place/?q=place_id:ChIJR5viQ7_l8TkREpn_C3bgmJY,part_399,2026-09-20 20:19:06,1724
South Packers And Movers,Packers and Movers,Transportation service,"Transportation service, Packaging company",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 95706 04411,https://southpackersmover.com/,4.9,,"House No 72, Office No. 05, New Bigrahpur, Near Bhawani Hotel, Yadav Chowk, Kuwar Babulane, Old, Mithapur Rd, Patna, Bihar 800001","Mithapur Farm Area, Mithapur",25.5927853,85.1359815,ChIJbeh1K89Z7TkRX5eiDjsyyEE,https://www.google.com/maps/place/?q=place_id:ChIJbeh1K89Z7TkRX5eiDjsyyEE,part_399,2026-09-20 20:19:06,1725
A One Logistics Packers & Movers,Packers and Movers,Packaging company,"Packaging company, Logistics service",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 95085 09984,N/A,5.0,,"Fashion Bazar KB Lal Road, Kb Lal Raod, Nathnagar, Bhagalpur, Bihar 812006",Nathnagar,25.2399871,86.9341359,ChIJj-_sHflL8DkRVE1nON5JAZs,https://www.google.com/maps/place/?q=place_id:ChIJj-_sHflL8DkRVE1nON5JAZs,part_399,2026-09-20 20:19:06,1726
Make my Shift Packers and Movers Pvt Ltd,Packers and Movers,Packaging company,Packaging company,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 72095 32593,https://www.makemyshift.in/,4.9,,"Dr. B. P. Singh, C/O, Swami Vivekanand Rd, near Lord Buddha Educational, Rani Chandrabati hata, Adampur, Bhagalpur, Bihar 812001","Rani Chandrabati hata, Adampur",25.2553371,86.98548369999999,ChIJZZNtdp438DkRLpywybNsRhU,https://www.google.com/maps/place/?q=place_id:ChIJZZNtdp438DkRLpywybNsRhU,part_399,2026-09-20 20:19:06,1727
HM RED ROSE PACKERS & MOVERS PVT LTD,Packers and Movers,Packaging company,Packaging company,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 88777 77793,https://www.redrosepackers.com/,4.8,,"Satyam complex, Radha Rani Sinha Rd, near navyug school, Adampur, Bhagalpur, Bihar 812001",Adampur,25.2516586,86.98352969999999,ChIJ4XZDG8ZJ8DkRrHTJ6zflCag,https://www.google.com/maps/place/?q=place_id:ChIJ4XZDG8ZJ8DkRrHTJ6zflCag,part_399,2026-09-20 20:19:06,1728
Make Our Shift Packers and Movers Pvt Ltd,Packers and Movers,Packaging company,"Packaging company, Moving service, Storage facility, Transportation service",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 93344 25172,http://www.makeourshift.com/,4.9,,"Bala ji dharm kanta complex, Airport port road, near passport office, Ranipur, Darbhanga, Basdeopur, Bihar 846005",Ranipur,26.1816504,85.9007137,ChIJ_fGcZIe37TkR89oBCJfEchQ,https://www.google.com/maps/place/?q=place_id:ChIJ_fGcZIe37TkR89oBCJfEchQ,part_399,2026-09-20 20:19:06,1729
Ankit India Packers & Movers - Best Packers And Movers In Patna,Packers and Movers,Packaging company,"Packaging company, Moving service, Transportation service",852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 77397 67773,https://ankitindiapackersmovers.com/,4.9,281.0,"Ram Lakhan Path, Bypass, Ashok Nagar, Kankarbagh, Patna, Bihar 800020","West Ashok Nagar, Ram Lakhan Path, Ashok Nagar, Kankarbagh",25.584444599999998,85.14474709999999,ChIJjw5oZOdZ7TkRrCYt_aC-QDc,https://www.google.com/maps/place/?q=place_id:ChIJjw5oZOdZ7TkRrCYt_aC-QDc,part_399,2026-09-20 20:19:44,5195
SH Packers & Movers,Packers and Movers,Packaging company,Packaging company,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 94300 90834,https://shpackersmovers.com/,4.9,133.0,"Metro Pillar No. 88, Ramanand Yadav, Bigrahapur Bypass Road, Mithapur, Patna, Bihar 800001",Mithapur,25.6445767,85.1931828,ChIJ____r3dY7TkR6sJCjY1G5io,https://www.google.com/maps/place/?q=place_id:ChIJ____r3dY7TkR6sJCjY1G5io,part_399,2026-09-20 20:19:44,5196
Ritu Cargo Packers And Movers.,Packers and Movers,Transportation service,"Transportation service, Delivery service, Logistics service, Moving service, Packaging company, Trucking company, Vehicle Shipping Agent",852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 95258 85050,https://www.ritucargopackers.com/,4.9,17.0,"Samudayeek Bhawan, New, Dhalai Rd, Bigrahpur, Mithapur, Patna, Bihar 800001","Bigrahpur, Mithapur",25.5875442,85.1348091,ChIJ-TVuw2BZ7TkR8WqKPduP3k0,https://www.google.com/maps/place/?q=place_id:ChIJ-TVuw2BZ7TkR8WqKPduP3k0,part_399,2026-09-20 20:19:44,5197
