business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Pet shop in madhepura,Pet Food and Pet Supplies,Pet store,Pet store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 70047 56492,N/A,3.8,,"ward no 22, Old Kanti Factory Road, Bhirkhi, Madhepura, Bihar 852113",852114,25.9095923,86.7768499,ChIJbxRwmkox7jkRKbz-Y8BYjCA,https://www.google.com/maps/place/?q=place_id:ChIJbxRwmkox7jkRKbz-Y8BYjCA,part_399,2026-09-20 20:18:53,316
BIO AQUA PET WORLD,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Aquarium shop, Dog breeder, Fishery, Fishing pond, Goldfish store, Pet store, Aquatic center, Pond fish supplier, Pond supply store",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 93044 69582,N/A,4.3,,"Bhirkhi Ward No 21, Saharsa Rd, near Commerce College, Madhepura, Tuniahi Uttarwari, Bihar 852113",852114,25.911577299999998,86.7682907,ChIJs9ayK7M37jkRCMmTyHYX-Xo,https://www.google.com/maps/place/?q=place_id:ChIJs9ayK7M37jkRCMmTyHYX-Xo,part_399,2026-09-20 20:18:53,317
Sonu&brother's pet care market,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Delivery service, Dog breeder, Dog trainer, Veterinarian, Veterinary pharmacy",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 95705 39532,https://sites.google.com/view/sonubrotherpetsshop/home,4.5,,"Bumpher chowk Gautam Nagar ganjala Ward Number 15, near junior dps school Between panchwati, and, Koshi Chowk Rd, Saharsa, Bihar 852201",Rajwanshi Nagar,25.8876191,86.5972796,ChIJuWzNxMA97jkRnlT4k8_np9o,https://www.google.com/maps/place/?q=place_id:ChIJuWzNxMA97jkRnlT4k8_np9o,part_399,2026-09-20 20:18:53,318
JUGGI PET SHOP & CLINIC,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Pet funeral service, Pet store",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 93860 43300,N/A,4.8,157.0,"Prasant sadan, Jail Rd, Khagaria, Parmanpur, Bihar 851205",852114,25.5075596,86.4910373,ChIJyTjlatvl8TkRSVfJjc8mDgA,https://www.google.com/maps/place/?q=place_id:ChIJyTjlatvl8TkRSVfJjc8mDgA,part_399,2026-09-20 20:18:54,319
PET LIFE CARE & SHOP,Pet Food and Pet Supplies,Pet store,Pet store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 87945 29632,N/A,5.0,125.0,"Bhagat Singh Chowk, Bihar 811201","Shah Family, Dilawer Pur",25.3744138,86.471358,ChIJHfFvnSzv8TkRKa90rSjEh2g,https://www.google.com/maps/place/?q=place_id:ChIJHfFvnSzv8TkRKa90rSjEh2g,part_399,2026-09-20 20:18:54,320
MAX PETS PLAZA,Pet Food and Pet Supplies,Pet store,Pet store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 91222 92817,N/A,5.0,1.0,"chowk, near ujjivan bank, Makandpur, Naugachhia, Bihar 853204",852114,25.3873768,87.0979967,ChIJ64JfKvo78DkRV6CkvhobXW4,https://www.google.com/maps/place/?q=place_id:ChIJ64JfKvo78DkRV6CkvhobXW4,part_399,2026-09-20 20:18:54,321
Baba Brothers Dog Food Shop,Pet Food and Pet Supplies,Pet store,Pet store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.9,23.0,"South Ramna Road, near Hari Jee Ka Hata, Hari Jee Ka Hata, Nawada, Arrah, Bihar 802301","Hari Jee Ka Hata, Nawada",25.5593841,84.66270689999999,ChIJu90rBoZfjTkRJmKtIDURjUs,https://www.google.com/maps/place/?q=place_id:ChIJu90rBoZfjTkRJmKtIDURjUs,part_399,2026-09-20 20:18:54,322
Diamond Pet Shop Tilkamanjhi,Pet Food and Pet Supplies,Pet store,Pet store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 88508 18130,N/A,4.6,173.0,"Sitla Asthan Rd, Tulsinagar Colony, Bank Colony, Tulasinagar Colony, Bhagalpur, Bihar 812001","Tulsinagar Colony, Bank Colony, Tulasinagar Colony",25.2529351,87.00189139999999,ChIJ_5vUAz9J8DkRu-uacxvR7_I,https://www.google.com/maps/place/?q=place_id:ChIJ_5vUAz9J8DkRu-uacxvR7_I,part_399,2026-09-20 20:18:54,323
Pets Lover,Pet Food and Pet Supplies,Pet store,Pet store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 70043 99602,N/A,4.8,30.0,"6XXC+F75, Sarai, Bhagalpur, Bihar 812002",Sarai,25.2486306,86.9707303,ChIJn0kN6QhK8DkRXrkWVUKxAx4,https://www.google.com/maps/place/?q=place_id:ChIJn0kN6QhK8DkRXrkWVUKxAx4,part_399,2026-09-20 20:18:54,324
Avinash Pets Point,Pet Food and Pet Supplies,Pet store,Pet store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 91356 19313,https://www.instagram.com/invites/contact/?i=1uz750p3dzxg0&utm_content=nvrf73a,4.8,52.0,"Gaytri Mandir, near Rashika 99 Mall, Daulatpur, Jamalpur, Bihar 811214",Daulatpur,25.3286484,86.4918275,ChIJX7nXeT_t8TkRG8-R-Dc5v9Q,https://www.google.com/maps/place/?q=place_id:ChIJX7nXeT_t8TkRG8-R-Dc5v9Q,part_399,2026-09-20 20:18:54,325
