business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Akash Sanitary, hardware and tiles, Marvel",Sanitaryware and Bathroom Fittings,Hardware store,Hardware store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 99552 92786,N/A,4.6,18.0,"Hussun Chowk, Ward No. 22, Bihar 852131",852114,26.1107612,86.5904929,ChIJ5RpI1RFC7jkRPY7yunFDAuI,https://www.google.com/maps/place/?q=place_id:ChIJ5RpI1RFC7jkRPY7yunFDAuI,part_399,2026-09-20 20:19:07,1815
Rubi Traders,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store, Granite supplier, Marble supplier, Pipe supplier",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 97715 43333,N/A,5.0,34.0,"Maharaja Agrasen Road, near Samta Bhawan, SBI Gali, Forbesganj, Matiari, Bihar 854318",SBI Gali,26.3065234,87.26341579999999,ChIJxQT3I1yf7zkRXwtfY1kaHt0,https://www.google.com/maps/place/?q=place_id:ChIJxQT3I1yf7zkRXwtfY1kaHt0,part_399,2026-09-20 20:19:07,1816
Dhanlaxmi Enterprises Tiles Grenite Marbal water tank,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store, Hardware store, Kitchen supply store, Marble supplier, Rainwater tank supplier",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.8,25.0,"Birpur - Madhepura - Bihpur Rd, Raghopur, Bihar 852111",852114,26.2986091,86.8354823,ChIJh8XY9g5U7jkRI_LFA8eYjrA,https://www.google.com/maps/place/?q=place_id:ChIJh8XY9g5U7jkRI_LFA8eYjrA,part_399,2026-09-20 20:19:07,1817
Jaquar - Mohar Lal Arya & Co,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Construction machine dealer, Hardware store, Pipes Wholesaler, Sanitation service, Tile store",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 70044 81991,N/A,4.8,90.0,"R.N, Shaw Road, opposite Petrol Pump, Bhatta Bazar, Navratan Hatta, Purnia, Bihar 854301","Bhatta Bazar, Navratan Hatta",25.7713044,87.4734993,ChIJ_UJD2HH57zkRhdqQInjGQzc,https://www.google.com/maps/place/?q=place_id:ChIJ_UJD2HH57zkRhdqQInjGQzc,part_399,2026-09-20 20:19:07,1818
PATLIPUTRA BATH & FITTINGS,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Ceramics wholesaler, Interior construction contractor, Modular home builder, Modular home dealer, Paint store, Plywood supplier",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 87893 68904,N/A,4.8,57.0,"Bailey Rd, near Ramjaipal Road, beside CHAMPARAN MEAT HOUSE, Rupaspur, IAS Colony, Patna, Bihar 801503","Rupaspur, IAS Colony",25.6110158,85.0569223,ChIJmUXC4H5X7TkRUet99lDphEw,https://www.google.com/maps/place/?q=place_id:ChIJmUXC4H5X7TkRUet99lDphEw,part_399,2026-09-20 20:19:07,1819
Sanitary Emporium,Sanitaryware and Bathroom Fittings,Hardware store,Hardware store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 94310 80921,N/A,5.0,33.0,"VHFR+RC9 Mahavir Chowk, 852201, Bangaon Rd, near Hanuman Temple, Ward number 20, Naya Bazar, Saharsa, Bihar 852201","Ward number 20, Naya Bazar",25.874686699999998,86.5910602,ChIJyeLqjOQ97jkRBUyI2eJ-W44,https://www.google.com/maps/place/?q=place_id:ChIJyeLqjOQ97jkRBUyI2eJ-W44,part_399,2026-09-20 20:19:07,1820
M/S Shah Sanitary And Tiles,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Store, Electric motor store, Electrical supply store, Electrical products wholesaler, Paint store, Pipes Wholesaler, Tile contractor",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 97080 58117,http://www.shahsanitary.com/,5.0,58.0,"thana choke, Gopalbaad bus stand road, Near:, Barbigha, Bihar 811101",Near:,25.218953199999998,85.73893009999999,ChIJXzSiQ2Nd8jkRcVZqYwBp_L4,https://www.google.com/maps/place/?q=place_id:ChIJXzSiQ2Nd8jkRcVZqYwBp_L4,part_399,2026-09-20 20:19:07,1821
Shubham Marble and sanitaryware ( jaiswal traders),Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store, Door shop, Granite supplier, Paint store",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 70612 34623,https://marblehub4.wixsite.com/shubhammarbles,5.0,41.0,"Shivnarayanpur mathurapur, Kahalgaon, Bihar 813222",852114,25.2972459,87.3338601,ChIJ38q3dooT8DkRZ8Ik2q9V-TY,https://www.google.com/maps/place/?q=place_id:ChIJ38q3dooT8DkRZ8Ik2q9V-TY,part_399,2026-09-20 20:19:07,1822
Jaquar Authorized Dealer - Ak Enterprises,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Granite supplier, Kitchen furniture store, Kitchen remodeler, Marble supplier, Pipe supplier, Plumber, Tile store, Water Pump Supplier, Window supplier",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 80 3701 4016,https://dealers.jaquar.com/jaquar/sanitaryware-store-in-madhubani/sanitaryware-store-in-professors-colony/jaquar-authorised-dealer-ak-enterprises-in-professors-colony-madhubani--81d34065-1160-4de7-812c-dc680016dcac/home,4.9,1201.0,"Ground Floor, Mahila College Rd, beside ML Academy School, Madhubani, Bihar 847211",852114,26.3512208,86.0728982,ChIJs5tfADnN7TkRln2Kzp8b-xY,https://www.google.com/maps/place/?q=place_id:ChIJs5tfADnN7TkRln2Kzp8b-xY,part_399,2026-09-20 20:19:07,1823
Richa Marbles,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 98352 43277,N/A,4.4,48.0,"MG Path, nearby Head Post Office, Adampur, Bhagalpur, Bihar 812001",Adampur,25.2504438,86.9865442,ChIJqyg8mXxJ8DkRnrgK6brKApU,https://www.google.com/maps/place/?q=place_id:ChIJqyg8mXxJ8DkRnrgK6brKApU,part_399,2026-09-20 20:19:07,1824
