business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hindustan electrical,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"chowk, Madhepura road, Baijnathpur, Saharsa, Bihar 852221",852114,25.8915498,86.65626619999999,ChIJUaN56mg97jkRgadgcEJ9lmo,https://www.google.com/maps/place/?q=place_id:ChIJUaN56mg97jkRgadgcEJ9lmo,part_399,2026-09-20 20:19:24
Vinay motor rewinding,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 70614 54158,N/A,4.8,,"Vinay motor, rewind, Jibachh Pur, Bihar 852125",852114,26.3154969,87.0429758,ChIJz5nBOyip7zkR_vEBwxhfDHE,https://www.google.com/maps/place/?q=place_id:ChIJz5nBOyip7zkR_vEBwxhfDHE,part_399,2026-09-20 20:19:24
Motor winding shop,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,,"PGF8+357, Khajuri, Mudakar, Bihar 805126",852114,24.7226628,85.5154325,ChIJM_swf8QF8zkR6bWRIpovaN0,https://www.google.com/maps/place/?q=place_id:ChIJM_swf8QF8zkR6bWRIpovaN0,part_399,2026-09-20 20:19:24
Mahalakshmi Electricals Motor Repairing & Rewinding,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,,"THANA, Main Rd Kanti, Bihar 843109",852114,26.204415299999997,85.2976561,ChIJqwgH6XgZ7TkRsFfzhxRp7Fs,https://www.google.com/maps/place/?q=place_id:ChIJqwgH6XgZ7TkRsFfzhxRp7Fs,part_399,2026-09-20 20:19:24
Kabir Electric Motor repairing work,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 95254 24224,N/A,5.0,,"SH 56, Sonki, Bihar 846009",852114,26.126955199999998,86.009911,ChIJsVHeKQ3H7TkRWbM97zH63jA,https://www.google.com/maps/place/?q=place_id:ChIJsVHeKQ3H7TkRWbM97zH63jA,part_399,2026-09-20 20:19:24
Maa Electric,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 80131 01819,N/A,4.7,,"Nardiganj, Pararia, Bihar 805109",852114,24.942031399999998,85.4365023,ChIJr65q9aPl8jkRkwHhyKHnXsc,https://www.google.com/maps/place/?q=place_id:ChIJr65q9aPl8jkRkwHhyKHnXsc,part_399,2026-09-20 20:19:24
VISHNU ELECTRIC WORKS,Motor Rewinding and Pump Repair,Electric motor repair shop,"Electric motor repair shop, Service establishment",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 73522 93404,N/A,5.0,,"VISHNU ELECTRIC WORKS, 852114, India",852114,25.226647999999997,85.51347849999999,ChIJeUyCHFuN8jkR3Etnxwj2X2s,https://www.google.com/maps/place/?q=place_id:ChIJeUyCHFuN8jkR3Etnxwj2X2s,part_399,2026-09-20 20:19:24
Rahul Motor Pump Repairing Center Bangalitola,Motor Rewinding and Pump Repair,Electronics store,Electronics store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 99556 56947,N/A,5.0,,"2WQ3+29X, Amarpur, Bihar 813101",852114,25.037621899999998,86.903493,ChIJsTHDospS8DkRA1FcFIeHPJ4,https://www.google.com/maps/place/?q=place_id:ChIJsTHDospS8DkRA1FcFIeHPJ4,part_399,2026-09-20 20:19:24
अरुणोदय एलेक्ट्रॉनिक वर्क्स शॉप,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,,"X25M+J6X, Nawada-Sikandara-Lakhisarai Rd, Sikandra, Bihar 811315",852114,24.9591048,86.033098,ChIJ5XzP77gx8jkRKt2jEgZnkQE,https://www.google.com/maps/place/?q=place_id:ChIJ5XzP77gx8jkRKt2jEgZnkQE,part_399,2026-09-20 20:19:24
सिद्धी विनायक फैन हॉस्पीटल,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,,"Mahalpar, Bihar Sharif, Bihar 803101",Mahalpar,25.191354099999998,85.5282885,ChIJjZABIgD18jkRz0FGBZR2l9k,https://www.google.com/maps/place/?q=place_id:ChIJjZABIgD18jkRz0FGBZR2l9k,part_399,2026-09-20 20:19:24
Motor winding dukaan kanti,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 70707 06263,http://www.sandhyaelectricalkanti.in/,4.7,6.0,"NITESH motar mistri Sandhya electrical Laln dhawa ke baglme me, Kanti, near chhinmastika Mandir, pur, Bihar 843109",852114,26.214134899999998,85.29069109999999,ChIJaU73NyMZ7TkRHDj3PmVMTGo,https://www.google.com/maps/place/?q=place_id:ChIJaU73NyMZ7TkRHDj3PmVMTGo,part_399,2026-09-20 20:19:25
