business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jain Annpurna Caterers & Event Organisers,Caterer and Event Planner,Event planner,"Event planner, Caterer, Service establishment",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 90348 96663,https://www.facebook.com/JainAnnpurnaCaterersAndEventOrganisers,5.0,24.0,"Jain Annpurna Caterers & Event Organisers, 852121, India",852121,30.4543486,77.462508,ChIJK6gL_6a3DzkR51fzYwW3a1A,https://www.google.com/maps/place/?q=place_id:ChIJK6gL_6a3DzkR51fzYwW3a1A,part_399,2026-09-20 20:21:10
Shubhakaryam Catering & Event Planning Services,Caterer and Event Planner,Event planner,"Event planner, Caterer, Service establishment",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 99593 88388,https://shubhakaryam.com/,5.0,16.0,"Shubhakaryam Catering & Event Planning Services, 852121, India",852121,17.4123487,78.4080456,ChIJz5_0k21snW8R3W79r_Cmgmc,https://www.google.com/maps/place/?q=place_id:ChIJz5_0k21snW8R3W79r_Cmgmc,part_399,2026-09-20 20:21:10
CATERDEC - Catering Experts.,Caterer and Event Planner,Caterer,"Caterer, Service establishment, Event planner, Wedding planner",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 63940 81256,N/A,4.9,14.0,"CATERDEC - Catering Experts., 852121, India",852121,27.235568599999997,80.0486116,ChIJbexZwZlBnDkRgkvV9NyOR3k,https://www.google.com/maps/place/?q=place_id:ChIJbexZwZlBnDkRgkvV9NyOR3k,part_399,2026-09-20 20:21:10
A.P. Caterers & Decorators,Caterer and Event Planner,Caterer,"Caterer, Service establishment, Wedding planner",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 97180 56103,N/A,4.9,110.0,"A.P. Caterers & Decorators, 852121, India",852121,21.0680074,82.7525294,ChIJ26AIXl3vDDkR0haaqEnhvwY,https://www.google.com/maps/place/?q=place_id:ChIJ26AIXl3vDDkR0haaqEnhvwY,part_399,2026-09-20 20:21:11
Svr events and Caterings,Caterer and Event Planner,Event planner,"Event planner, Service establishment",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",N/A,N/A,4.8,79.0,"Svr events and Caterings, 852121, India",852121,18.4198999,84.0446219,ChIJ_aJqMW1HPDoRO8hfDB061sQ,https://www.google.com/maps/place/?q=place_id:ChIJ_aJqMW1HPDoRO8hfDB061sQ,part_399,2026-09-20 20:21:11
Gyan caterer,Caterer and Event Planner,Caterer,"Caterer, Service establishment",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 98351 48172,N/A,5.0,34.0,"Gyan caterer, 852121, India",852121,23.6596552,85.6460858,ChIJKY_DKMO2_YAR3II0sC3y1Tc,https://www.google.com/maps/place/?q=place_id:ChIJKY_DKMO2_YAR3II0sC3y1Tc,part_399,2026-09-20 20:21:11
Flavour Art Caterers,Caterer and Event Planner,Caterer,"Caterer, Event planner",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",N/A,https://flavourartcaterers.in/,4.7,16.0,"near Kumhar Toli Road, Kishore Ganj, Kumhartoli, Ranchi, Jharkhand 834001","Kishore Ganj, Kumhartoli",23.373880699999997,85.30582849999999,ChIJYZU9IvUBCWURYu1BY0cekCQ,https://www.google.com/maps/place/?q=place_id:ChIJYZU9IvUBCWURYu1BY0cekCQ,part_399,2026-09-20 20:21:11
ROSHNI CATERING,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Event management company, Event planner, Restaurant supply store",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 62995 65328,https://roshni-catering.grexa.site/,5.0,,"Vijay Nagar, Rukanpura, Patna, Bihar 800014","Vijay Nagar, Rukanpura",25.6120602,85.0667364,ChIJF8dibwBX7TkR1tk-9AR2Jog,https://www.google.com/maps/place/?q=place_id:ChIJF8dibwBX7TkR1tk-9AR2Jog,part_399,2026-09-20 20:21:12
Maa Food Plaza & Caterers,Caterer and Event Planner,Caterer,"Caterer, Fast food restaurant, Restaurant",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 72503 66254,N/A,4.9,,"4, Shop No.-4, Commercial Complex, 14, Bailey Rd, Ved Nagar, Rukanpura, Jalalpur, Patna, Bihar 800014","Ved Nagar, Rukanpura",25.6081397,85.0663979,ChIJdbl1TfxX7TkR0Se3SVFzAxM,https://www.google.com/maps/place/?q=place_id:ChIJdbl1TfxX7TkR0Se3SVFzAxM,part_399,2026-09-20 20:21:12
Om Event Planner & Catering Services,Caterer and Event Planner,Event planner,"Event planner, Service establishment",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",N/A,https://omeventplanner.in/,4.8,,"Om Event Planner & Catering Services, 852121, India",852121,26.4243566,80.3275349,ChIJG27JHom5OKcRjCpiqVy-KNQ,https://www.google.com/maps/place/?q=place_id:ChIJG27JHom5OKcRjCpiqVy-KNQ,part_399,2026-09-20 20:21:12
Deluxe Fine Catering & Event Management Services,Caterer and Event Planner,Event management company,"Event management company, Caterer",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 98119 87831,http://www.deluxecateringservices.com/,4.7,,"house 11, Rd Number 81, West Punjabi Bagh, Punjabi Bagh, New Delhi, Delhi, 110026","West Punjabi Bagh, Punjabi Bagh",28.6653894,77.1260616,ChIJQ9s05aEDDTkRUwXJafIQwR8,https://www.google.com/maps/place/?q=place_id:ChIJQ9s05aEDDTkRUwXJafIQwR8,part_399,2026-09-20 20:21:12
Dream Party Organiser,Caterer and Event Planner,Caterer,"Caterer, Service establishment, Party planner, Wedding service",852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 81780 81417,N/A,5.0,,"Dream Party Organiser, 852121, India",852121,28.7332175,77.12019529999999,ChIJEboL2scBDTkRUbwWjZCiFHw,https://www.google.com/maps/place/?q=place_id:ChIJEboL2scBDTkRUbwWjZCiFHw,part_399,2026-09-20 20:21:12
