business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
FUTURE CAR WORLD,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 94328 69040,http://www.futurecarworld.com/,,,"6M7M+VG4, Supaul - Bhapitiyahi Rd, Kishanpur West, Shivpuri, Bihar 852138",852125,26.2146492,86.6838377,ChIJtU9aMYlb7jkRy1rgpBFbhmI,https://www.google.com/maps/place/?q=place_id:ChIJtU9aMYlb7jkRy1rgpBFbhmI,part_399,2026-09-20 20:23:50
"TATA.CARS Showroom - Kosi Autotract, Simrahi",Car Showroom and Used Car Dealer,Car dealer,"Car dealer, Auto Accessories Store, Electric motor vehicle dealer",852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 96190 79750,https://dealer-locator.cars.tatamotors.com/tata-cars-showroom-kosi-autotract-simrahi-car-dealer-simrahi-supaul-373904/Home?utm_source=locator&utm_medium=googleplaces,4.4,,"Ground Floor, NH 57, near Sakshi Tata Motors, Simrahi Bazar, Simarahi, Bihar 852111",852125,26.3105102,86.8603406,ChIJVVVVlWtU7jkRjFiLhzVFONI,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlWtU7jkRjFiLhzVFONI,part_399,2026-09-20 20:23:50
S N MOTORS PIAGGIO SHOWROOM,Car Showroom and Used Car Dealer,Car dealer,"Car dealer, Auto market",852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 94700 00087,N/A,4.2,,"State Highway 66, Parsrma - Singheshwar Rd, Supaul, Bihar 852131",852125,26.117449099999998,86.6112287,ChIJdaXvhDdC7jkRegYWH0eSin8,https://www.google.com/maps/place/?q=place_id:ChIJdaXvhDdC7jkRegYWH0eSin8,part_399,2026-09-20 20:23:50
Maa Laxmi car bazar,Car Showroom and Used Car Dealer,Car dealer,Car dealer,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,5.0,,"4WG3+582, 327, National Highway, Triveniganj, Daparkha, Bihar 852139",Triveniganj,26.1254416,86.9033122,ChIJ4-sOHACz7zkRkaI1Oa9lxJg,https://www.google.com/maps/place/?q=place_id:ChIJ4-sOHACz7zkRkaI1Oa9lxJg,part_399,2026-09-20 20:23:50
"Maruti Suzuki ARENA (GS Motors, Supaul, Kishanpur Road)",Car Showroom and Used Car Dealer,Car dealer,"Car dealer, Auto body shop, Electric motor vehicle dealer",852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 80 3726 7234,https://www.arenaofsisaunisupaul.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.4,,"Sisauni, Road, Kishanpur West, Bihar 852134",852125,26.1581299,86.6357882,ChIJYRGUiXJD7jkR4VvFVUKv8sk,https://www.google.com/maps/place/?q=place_id:ChIJYRGUiXJD7jkR4VvFVUKv8sk,part_399,2026-09-20 20:23:50
"Asma Hyundai, Supaul",Car Showroom and Used Car Dealer,Hyundai dealer,Hyundai dealer,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 72808 43003,https://asma.hyundaimotor.in/contact-us,4.1,,"4JF6+R7F, Pipra Rd, Supaul, Bihar 852131",852125,26.1241405,86.6106406,ChIJabDQYtBD7jkRfYkyAfTe_vM,https://www.google.com/maps/place/?q=place_id:ChIJabDQYtBD7jkRfYkyAfTe_vM,part_399,2026-09-20 20:23:50
Richa Enterprises,Car Showroom and Used Car Dealer,Motor vehicle dealer,Motor vehicle dealer,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,3.2,,"4JC2+27H, Lohiya Nagar, Supaul, Bihar 852131",Lohiya Nagar,26.120071,86.6007269,ChIJ4fzmp2pC7jkRcdurmFs2Mns,https://www.google.com/maps/place/?q=place_id:ChIJ4fzmp2pC7jkRcdurmFs2Mns,part_399,2026-09-20 20:23:50
"TATA.CARS Showroom - Kosi Cars, Supaul",Car Showroom and Used Car Dealer,Car dealer,"Car dealer, Auto Accessories Store, Electric motor vehicle dealer",852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 96191 74307,https://dealer-locator.cars.tatamotors.com/tata-cars-showroom-kosi-cars-supaul-car-dealer-sukhmarpur-supaul-537958/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"NH 76, Kishanpur Road, Sukhmarpur, Bihar 852134",Sukhmarpur,26.135568,86.618156,ChIJz2KCMgBD7jkRcrI2he2W5qg,https://www.google.com/maps/place/?q=place_id:ChIJz2KCMgBD7jkRcrI2he2W5qg,part_399,2026-09-20 20:23:50
Bharat Bricks,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 91995 87025,N/A,,,"01 simrahi NH 57, Araria, Bihar 852111",852125,26.312049599999998,86.84619359999999,ChIJw9OVkmxV7jkRCp9ypXsDO84,https://www.google.com/maps/place/?q=place_id:ChIJw9OVkmxV7jkRCp9ypXsDO84,part_399,2026-09-20 20:23:50
Khan Automobile,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 93415 83477,N/A,5.0,,"Pupri - Madhubani Rd, opposite Aman Auto Agency, SH52, Pupri, Bihar 843320",SH52,26.4666323,85.70540659999999,ChIJeXhbSQBR7DkRK9vkoF3-upY,https://www.google.com/maps/place/?q=place_id:ChIJeXhbSQBR7DkRK9vkoF3-upY,part_399,2026-09-20 20:23:52
