business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kriti Stationary and Online Center Supaul,Document Writer and Stamp Vendor,Education center,Education center,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,4.0,,"4JJ4+985 Hostal in side, BSS College Rd, Supaul, Bihar 852131",852125,26.1308783,86.60585859999999,ChIJi0OPDgBD7jkRT5Wf_kQ0xVI,https://www.google.com/maps/place/?q=place_id:ChIJi0OPDgBD7jkRT5Wf_kQ0xVI,part_399,2026-09-20 20:24:09
TINKU .. E - STAMP PAPER CENTER,Document Writer and Stamp Vendor,Stamp shop,Stamp shop,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 94351 36492,N/A,5.0,,"D.C. Office Building, near Tinsukia Bar Association or, Borguri, Tinsukia, Assam 786126",Borguri,27.501716899999998,95.3305524,ChIJa8g6okFrPzcRq-jWut-lg-4,https://www.google.com/maps/place/?q=place_id:ChIJa8g6okFrPzcRq-jWut-lg-4,part_399,2026-09-20 20:24:09
E-Stamp Collection Centre SILCHAR,Document Writer and Stamp Vendor,Stamp shop,Stamp shop,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 60032 73259,N/A,5.0,,"near Bakharshah mukam, Madhurbond, Kanakpur part ii, Silchar, Assam 788001",Madhurbond,24.8303142,92.8039701,ChIJJzJ3ENpLTjcRt02LV47aqw0,https://www.google.com/maps/place/?q=place_id:ChIJJzJ3ENpLTjcRt02LV47aqw0,part_399,2026-09-20 20:24:09
Das'Stamp,Document Writer and Stamp Vendor,Stamp shop,Stamp shop,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 81457 12668,N/A,4.3,,"S.B.I Gali, Birpara, West Bengal 735204",852125,26.7113862,89.1397104,ChIJ5fo__n2-4zkRtR_QIp84gvU,https://www.google.com/maps/place/?q=place_id:ChIJ5fo__n2-4zkRtR_QIp84gvU,part_399,2026-09-20 20:24:09
Gaurav Pustak And Copy Centre,Document Writer and Stamp Vendor,Book store,Book store,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,3.8,,"Supaul, Bihar 852131",852125,26.122519,86.60202439999999,ChIJi8PmSEBC7jkRUr3S6ywi8ew,https://www.google.com/maps/place/?q=place_id:ChIJi8PmSEBC7jkRUr3S6ywi8ew,part_399,2026-09-20 20:24:09
Stamp Vendor & Document Writer,Document Writer and Stamp Vendor,Stamp shop,Stamp shop,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,4.8,4.0,"36C6+JPP, SH63, Nayarambalam, Kochi, Keralam 682509",Nayarambalam,10.0715975,76.2118413,ChIJ04nhxNcRCDsR3Vfmbi-KYNs,https://www.google.com/maps/place/?q=place_id:ChIJ04nhxNcRCDsR3Vfmbi-KYNs,part_399,2026-09-20 20:24:10
Ojaswee stamp and Design Home,Document Writer and Stamp Vendor,Stamp shop,"Stamp shop, Service establishment",852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,,,"Ojaswee stamp and Design Home, 852125, India",852125,26.4482124,87.2718072,ChIJGeC7TgNfo40R1LCHQfrE_ys,https://www.google.com/maps/place/?q=place_id:ChIJGeC7TgNfo40R1LCHQfrE_ys,part_399,2026-09-20 20:24:10
E STAMP VENDOR,Document Writer and Stamp Vendor,Print shop,Print shop,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 95312 81440,N/A,2.0,1.0,"Central Bank of India, Inside the Belsor Sub-Registrar Office Compound Landmark, near Belsor, Assam 781304",852125,26.3813909,91.3542379,ChIJVfukrDYtWjcRgS64ESK29AQ,https://www.google.com/maps/place/?q=place_id:ChIJVfukrDYtWjcRgS64ESK29AQ,part_399,2026-09-20 20:24:10
E Stamp Paper,Document Writer and Stamp Vendor,State government office,State government office,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 3672 355 473,https://www.shcilestamp.com/,4.8,6.0,"Paniram, Bora Path, Laokhowa Rd, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.3571769,92.68185539999999,ChIJOxmBGCMnRTcRDNVVnm6VF8w,https://www.google.com/maps/place/?q=place_id:ChIJOxmBGCMnRTcRDNVVnm6VF8w,part_399,2026-09-20 20:24:10
Manoj Shukla Stamppaper And Court Fees Seller,Document Writer and Stamp Vendor,Corporate office,Corporate office,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 98392 66891,N/A,3.3,4.0,"Indradeep Complex, Faizabad Rd, Sanjay Gandhi Puram, Lucknow, Uttar Pradesh 226016",Sanjay Gandhi Puram,26.8700364,80.971645,ChIJgRbHi0T9mzkROfzhLdWVB3I,https://www.google.com/maps/place/?q=place_id:ChIJgRbHi0T9mzkROfzhLdWVB3I,part_399,2026-09-20 20:24:11
