business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Santosh hair spa,Spa,Hair extension technician,Hair extension technician,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,5.0,3.0,"Mahaddipur, Bihar 852137",852125,26.2802234,87.0398876,ChIJMWE3cQCv7zkRh2tCBQ6MnaY,https://www.google.com/maps/place/?q=place_id:ChIJMWE3cQCv7zkRh2tCBQ6MnaY,part_399,2026-09-20 20:23:59
Imamuddin Mans Parlour,Spa,Massage spa,Massage spa,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 91552 00303,N/A,3.7,3.0,"Ward No 12, Mahadipur Shop No, 01, Chhatapur Road, near of Masjid, Araria, Bihar 852137",852125,26.2775979,87.0313492,ChIJjVziFCqv7zkRQgBNdLwkY0A,https://www.google.com/maps/place/?q=place_id:ChIJjVziFCqv7zkRQgBNdLwkY0A,part_399,2026-09-20 20:23:59
Mitti Spa & Salon,Spa,Spa,"Spa, Day spa, Massage spa, Massage therapist",852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 80 6548 8797,https://www.mittispa.in/,4.9,156.0,"Darbhanga Road, New Zero Mile, Chowk, Muzaffarpur, Bihar 842001","New Zero Mile, Chowk",26.1494274,85.3915608,ChIJu6TrVgoR7TkRdXX6cI7_GBY,https://www.google.com/maps/place/?q=place_id:ChIJu6TrVgoR7TkRdXX6cI7_GBY,part_399,2026-09-20 20:23:59
Navraj Medical Agency,Spa,Health spa,Health spa,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 70048 10145,N/A,5.0,1.0,"Karjain, Bihar 852215",852125,26.382511899999997,86.88490829999999,ChIJ1y4JmeNV7jkRNz_rYGpif3E,https://www.google.com/maps/place/?q=place_id:ChIJ1y4JmeNV7jkRNz_rYGpif3E,part_399,2026-09-20 20:23:59
Jan Arogy Healthcare Private Limited,Spa,Health spa,Health spa,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 74880 96181,N/A,,,"Simrahi Ward 08, Bihar 852111",852125,26.3166434,86.8497472,ChIJEQ-B6JdV7jkRk1L73DCB0e0,https://www.google.com/maps/place/?q=place_id:ChIJEQ-B6JdV7jkRk1L73DCB0e0,part_399,2026-09-20 20:23:59
Riyansh Medical Holl,Spa,Health spa,Health spa,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 79708 92661,N/A,,,"Ward No 12, Mirjawa Triveniganj Modi Pokhar, Mirjawa, Bihar 852139",852125,26.170191499999998,86.9190828,ChIJseE3ub6z7zkRzpEMABOKr8Q,https://www.google.com/maps/place/?q=place_id:ChIJseE3ub6z7zkRzpEMABOKr8Q,part_399,2026-09-20 20:23:59
Shine Spa & Salon,Spa,Spa and health club,"Spa and health club, Day spa, Foot massage parlor, Health spa, Lymph drainage therapist, Massage spa, Massage therapist, Spa garden, Sports massage therapist, Thai massage therapist",852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 92418 38505,https://shinespasalon.in/,3.3,29.0,"Dilli road, Aerodrome Darbhanga, bypass, Darbhanga, Basdeopur, Bihar 846007","Aerodrome Darbhanga, bypass",26.187405899999998,85.9094408,ChIJ7ZreWVW37TkRpNkzt7Ge-ns,https://www.google.com/maps/place/?q=place_id:ChIJ7ZreWVW37TkRpNkzt7Ge-ns,part_399,2026-09-20 20:23:59
Royal Aditya,Spa,Health spa,"Health spa, Service establishment",852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,http://www.business.com/,1.0,1.0,"Royal Aditya, 852125, India",852125,26.1286101,86.4360174,ChIJd6hKSI1D7jkRh1qIX-tgvIQ,https://www.google.com/maps/place/?q=place_id:ChIJd6hKSI1D7jkRh1qIX-tgvIQ,part_399,2026-09-20 20:23:59
Sia Spa & Salon,Spa,Spa,Spa,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,3.9,7.0,"Dharni dhar road, Mogalpura, Laheriasarai, Darbhanga, Bihar 846003","Mogalpura, Laheriasarai",26.1217869,85.89832539999999,ChIJrTQg-ny57TkRPyfITuVg924,https://www.google.com/maps/place/?q=place_id:ChIJrTQg-ny57TkRPyfITuVg924,part_399,2026-09-20 20:23:59
Deepak Kumar,Spa,Health spa,Health spa,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,,,"shreebalajeehomoeo, Shankar Chowk, Sukhanagar Rd, Sukhanagar, Pratapganj, Bihar 852125",Sukhanagar,26.2943224,86.9599748,ChIJPWHQWRKr7zkRXRL-tYB-S6o,https://www.google.com/maps/place/?q=place_id:ChIJPWHQWRKr7zkRXRL-tYB-S6o,part_399,2026-09-20 20:23:59
Anshu medical,Spa,Health spa,Health spa,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 89107 99403,N/A,5.0,1.0,"06, saharsa, Bihar 852111",852125,26.2991745,86.8367408,ChIJUxxBV7tV7jkRCzj2LbIYNnc,https://www.google.com/maps/place/?q=place_id:ChIJUxxBV7tV7jkRCzj2LbIYNnc,part_399,2026-09-20 20:23:59
Golden Door Spa & Saloon,Spa,Massage spa,Massage spa,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 95111 12906,https://goldendoorspa.in/,4.8,622.0,"Ground floor, P.R Building, Gorakhpur Rd, near SSBL Inter College, Kailashpuri, Deoria, Uttar Pradesh 274806",Kailashpuri,26.5075097,83.7775157,ChIJU4UAgZzFkzkRMnCcqIGiqWQ,https://www.google.com/maps/place/?q=place_id:ChIJU4UAgZzFkzkRMnCcqIGiqWQ,part_399,2026-09-20 20:23:59
