business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Primary Health Center,Wellness Center,Hospital,Hospital,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,,,"7XGC+QX5, Tekuna, Bihar 852125",852125,26.276875,86.97249099999999,ChIJq19-tHut7zkRQbJ7iYyIvkE,https://www.google.com/maps/place/?q=place_id:ChIJq19-tHut7zkRQbJ7iYyIvkE,part_399,2026-09-20 20:24:01
MEGA AYURVEDIC KENDRA- TRIBANIGUNJ,Wellness Center,Health consultant,Health consultant,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 92638 44406,https://www.imcbusiness.com/,,,"Triveniganj - Pratapganj Rd, near Referral Hospital, Triveniganj, Orlaha, Bihar 852139",852125,26.195647299999997,86.93005529999999,ChIJs47ypQmz7zkR2kQlvD51HT8,https://www.google.com/maps/place/?q=place_id:ChIJs47ypQmz7zkR2kQlvD51HT8,part_399,2026-09-20 20:24:01
MAHTO MEDICAL HALL,Wellness Center,Medical Center,Medical Center,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,5.0,3.0,"MAIN ROAD, near SHANKAR CHOWK, Pratapganj, Bihar 852125",852125,26.2901608,86.9666397,ChIJZfiPvcCt7zkR7QSObaZ2AuQ,https://www.google.com/maps/place/?q=place_id:ChIJZfiPvcCt7zkR7QSObaZ2AuQ,part_399,2026-09-20 20:24:01
"Dr.M.K.Singh,(SKY HEALTH CENTER)",Wellness Center,Medical clinic,Medical clinic,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,3.0,2.0,"PURENDIHI(GADDI, Pratapganj Rd, Pratapganj, Bihar 852111",852125,26.2767977,86.900182,ChIJqSJ8NqxT7jkRRtBrzLXRwJg,https://www.google.com/maps/place/?q=place_id:ChIJqSJ8NqxT7jkRRtBrzLXRwJg,part_399,2026-09-20 20:24:01
Surjapur old Hospital سرجاپور مستشفى,Wellness Center,General hospital,General hospital,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,4.0,1.0,"7X78+CJJ, Surjapur, Bihar 852125",852125,26.2634308,86.9665054,ChIJ2VrycgCt7zkRtDutdJFhzGs,https://www.google.com/maps/place/?q=place_id:ChIJ2VrycgCt7zkRtDutdJFhzGs,part_399,2026-09-20 20:24:01
Shakuntala Medical Hall,Wellness Center,Medical Center,Medical Center,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,5.0,1.0,"7XV7+85X, mill chowk, Pratapganj, Bihar 852125",852125,26.2933642,86.9629741,ChIJTaDZVvWr7zkRRqoO4vBKAZA,https://www.google.com/maps/place/?q=place_id:ChIJTaDZVvWr7zkRRqoO4vBKAZA,part_399,2026-09-20 20:24:01
Health Center,Wellness Center,Hospital,Hospital,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,4.0,,"7V9F+8R6, Haripur, Bihar 852111",852125,26.2682979,86.874528,ChIJb3RuJm1T7jkRHH4VEvVhno8,https://www.google.com/maps/place/?q=place_id:ChIJb3RuJm1T7jkRHH4VEvVhno8,part_399,2026-09-20 20:24:02
Apana Health care centre,Wellness Center,General hospital,General hospital,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,,,"High School, Chowak, Karliana, Bihar 852137",852125,26.206536099999997,87.00837969999999,ChIJtQA4LACv7zkR94gVyP8Dryw,https://www.google.com/maps/place/?q=place_id:ChIJtQA4LACv7zkR94gVyP8Dryw,part_399,2026-09-20 20:24:02
CHC Hospital Chhatapur,Wellness Center,Hospital,Hospital,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",N/A,N/A,3.9,,"6264+9M9, Kathi, Karliana, Bihar 852137",852125,26.210914,87.00671899999999,ChIJ83RxTiOu7zkRqBsTQAqYmbQ,https://www.google.com/maps/place/?q=place_id:ChIJ83RxTiOu7zkRqBsTQAqYmbQ,part_399,2026-09-20 20:24:02
Kajal medical hall,Wellness Center,Medical Center,Medical Center,852125,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Pratapganj SO Supaul, Bhawanipur Patni BO, Chilauni BO",+91 88252 47763,N/A,5.0,,"Main Rd, hospital chawk, Chatapur, Karliana, Bihar 852137",hospital chawk,26.2102531,87.0068689,ChIJieKvp6Ov7zkRZhI56NLh0ag,https://www.google.com/maps/place/?q=place_id:ChIJieKvp6Ov7zkRZhI56NLh0ag,part_399,2026-09-20 20:24:02
