business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lovely Electronics,IT and Telecom Services,Mobile network operator,Mobile network operator,852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",+91 94314 12863,N/A,5.0,9.0,"Bhaktiarpur, Bihar 852127",852126,25.7272811,86.599481,ChIJcZanZhgi7jkRJu6zoygxYC0,https://www.google.com/maps/place/?q=place_id:ChIJcZanZhgi7jkRJu6zoygxYC0,part_399,2026-09-20 20:24:59
Aadarsh Telecom,IT and Telecom Services,Cell phone accessory store,Cell phone accessory store,852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",+91 91280 00005,http://aadarshtelecom.com/,4.8,11.0,"Mal Godown Rd, Bhaktiarpur, Bihar 852127",852126,25.7232669,86.59638199999999,ChIJ7QOBZQAj7jkR71UiiWuA7ZA,https://www.google.com/maps/place/?q=place_id:ChIJ7QOBZQAj7jkR71UiiWuA7ZA,part_399,2026-09-20 20:24:59
Hamza Telecom,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",+91 62078 65485,http://hamza.telecom.com/,5.0,7.0,"Diamond Rd, Bhaktiarpur, Bihar 852127",852126,25.7270599,86.5970474,ChIJDwmIEwAj7jkRiICB6ec3Yak,https://www.google.com/maps/place/?q=place_id:ChIJDwmIEwAj7jkRiICB6ec3Yak,part_399,2026-09-20 20:24:59
Chandan Telecome,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",N/A,N/A,2.8,4.0,"Uteshra bahuarwa salkhua, Gordah, Bihar 852127",852126,25.6948357,86.5748608,ChIJDVd_Ggcf7jkRKFfjvMaHFNY,https://www.google.com/maps/place/?q=place_id:ChIJDVd_Ggcf7jkRKFfjvMaHFNY,part_399,2026-09-20 20:24:59
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",+91 94710 26400,https://bsnl.co.in/,,,"WARD NO. 13, ANANT KUMAR KUMAR, Bhaktiarpur, Bihar 852127",852126,25.727428,86.59941099999999,ChIJJxND-7Mj7jkRVgdZbGZa8kw,https://www.google.com/maps/place/?q=place_id:ChIJJxND-7Mj7jkRVgdZbGZa8kw,part_399,2026-09-20 20:24:59
Chandan Telecome,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",N/A,N/A,4.7,3.0,"Koshi Bandh ,Uteshra,Bahuarwa, Koshi Band Chandan Telecome, Bihar 852126",852126,25.6742852,86.5627329,ChIJMachPmkf7jkRAcvfAWqDJCU,https://www.google.com/maps/place/?q=place_id:ChIJMachPmkf7jkRAcvfAWqDJCU,part_399,2026-09-20 20:24:59
Aanand telecom service and repair services,IT and Telecom Services,Phone repair service,Phone repair service,852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",N/A,N/A,5.0,1.0,"E kosi retire bandh Situaha salkhua Kosi retire, Situaha, Bihar 852126",852126,25.658682,86.5855023,ChIJycDcXlUh7jkRiYYVVgKpX3w,https://www.google.com/maps/place/?q=place_id:ChIJycDcXlUh7jkRiYYVVgKpX3w,part_399,2026-09-20 20:24:59
Sweety Telecom,IT and Telecom Services,Electronics store,"Electronics store, Service establishment",852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",+91 97093 60164,N/A,4.3,3.0,"Sweety Telecom, 852126, India",852126,25.73586,86.6099605,ChIJywhU85Yj7jkR5OMesZ5PFuk,https://www.google.com/maps/place/?q=place_id:ChIJywhU85Yj7jkR5OMesZ5PFuk,part_399,2026-09-20 20:24:59
Dev Telecom,IT and Telecom Services,Computer store,Computer store,852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",+91 91623 38734,N/A,3.5,2.0,"Balwahat, Shankarpur, Bihar 852106",852126,25.7921783,86.5319006,ChIJ70U1T7IZ7jkRpvm5uFhF5vg,https://www.google.com/maps/place/?q=place_id:ChIJ70U1T7IZ7jkRpvm5uFhF5vg,part_399,2026-09-20 20:24:59
Krishna Telecom,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,852126,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Salkhua Bazar SO, Alani BO, Bhelwa BO",+91 87097 66029,N/A,1.0,1.0,"Sharma Choke, Saharsa, Bhaktiarpur, Bihar 852127",852126,25.722249599999998,86.59033629999999,ChIJSeJdhVIj7jkRlTNl0ot2cgI,https://www.google.com/maps/place/?q=place_id:ChIJSeJdhVIj7jkRlTNl0ot2cgI,part_399,2026-09-20 20:24:59
