business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Roshan Kirana Store,Kirana Store,General store,General store,852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",+91 82926 33036,N/A,4.5,,"Sirsiya Chowk ,Singheshwar Madhepura Singheshwar To Pipra Road, Chowk, Sirsiya, Bihar 852128",852128,26.078694799999997,86.8017903,ChIJwQClIUtJ7jkR1XaGI2BYihQ,https://www.google.com/maps/place/?q=place_id:ChIJwQClIUtJ7jkR1XaGI2BYihQ,part_399,2026-09-20 20:26:00
Maa Manju General store,Kirana Store,General store,General store,852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",+91 75619 99355,N/A,5.0,,"Ward no 02, Sarswati chowk, Dayalpur, Madhepura, Itwa Jiwachh Pur, Bihar 852128",Madhepura,26.0623711,86.74745539999999,ChIJhzPpewA57jkRnkh_anpNDr0,https://www.google.com/maps/place/?q=place_id:ChIJhzPpewA57jkRnkh_anpNDr0,part_399,2026-09-20 20:26:00
Mithun Kirana Store 01,Kirana Store,General store,General store,852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",+91 75491 07308,N/A,,,"Ward No ,9, Sonvarsa Rd, Madhepura, Bihar 852128",852128,26.0125508,86.83077759999999,ChIJ-xiliGVL7jkReh75SsiEVY0,https://www.google.com/maps/place/?q=place_id:ChIJ-xiliGVL7jkReh75SsiEVY0,part_399,2026-09-20 20:26:00
Guru Kripa General Store,Kirana Store,Grocery store,Grocery store,852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",N/A,N/A,4.8,,"3QMJ+HXQ, Singheshwar, Jalwara, Bihar 852128",852128,26.0839674,86.78249579999999,ChIJa0ZBMgBJ7jkR3g3f_MnmNTA,https://www.google.com/maps/place/?q=place_id:ChIJa0ZBMgBJ7jkR3g3f_MnmNTA,part_399,2026-09-20 20:26:00
Rajesh Kirana Store,Kirana Store,Grocery store,"Grocery store, Coffee shop",852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",+91 94708 72331,N/A,5.0,,"Rajesh Kirana Store, Bhagwat Chawk, Gamaharia, Bihar 852128",Bhagwat Chawk,26.0576702,86.71804929999999,ChIJD2SG99NH7jkRMs2orlubngo,https://www.google.com/maps/place/?q=place_id:ChIJD2SG99NH7jkRMs2orlubngo,part_399,2026-09-20 20:26:00
General Store,Kirana Store,General store,General store,852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",+91 95343 07075,N/A,3.0,,"0, Madhepura, Bihar 852128",852128,26.0731275,86.7599566,ChIJ2WjOWXBJ7jkR685h4stWb-E,https://www.google.com/maps/place/?q=place_id:ChIJ2WjOWXBJ7jkR685h4stWb-E,part_399,2026-09-20 20:26:00
SHOBHA KIRANA STORE,Kirana Store,Store,Store,852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",N/A,N/A,4.9,9.0,"ward no 01, Birpur - Madhepura - Bihpur Rd, near Bijli Board, laloo nagar, Bihar 852113",laloo nagar,25.9393697,86.7958055,ChIJUyGa3pk37jkRgh_8h1yZVjM,https://www.google.com/maps/place/?q=place_id:ChIJUyGa3pk37jkRgh_8h1yZVjM,part_399,2026-09-20 20:26:01
Grihasti Kirana Store,Kirana Store,Shopping mall,Shopping mall,852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",+91 75439 88050,N/A,4.5,2.0,"Main Rd, Subhash Chowk, Madhepura, Bihar 852113",Subhash Chowk,25.9169016,86.7896878,ChIJSUaGLNI27jkRPdVFrINa2m4,https://www.google.com/maps/place/?q=place_id:ChIJSUaGLNI27jkRPdVFrINa2m4,part_399,2026-09-20 20:26:01
BARSHA KIRANA STORE,Kirana Store,General store,General store,852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",+91 62838 79823,N/A,3.8,,"belhi, Ekparha, Shop No 1, ward No 13, Belhi To Damha, Supaul, Bihar 852128",852128,26.0588795,86.7612231,ChIJ1RQnCAVJ7jkRe0t8WFL5kqo,https://www.google.com/maps/place/?q=place_id:ChIJ1RQnCAVJ7jkRe0t8WFL5kqo,part_399,2026-09-20 20:26:02
A To Z Genral Store,Kirana Store,General store,"General store, Cleaning products supplier, Countertop store, Drum store, Home goods store, Gift shop, Household goods wholesaler, Iron ware dealer, Plastic Wholesaler, Wholesaler household appliances",852128,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Singheshwar SO, Kataia Satokar BO, Lalpur Sarropatti BO",+91 99349 89951,N/A,4.9,69.0,"Purani Bazar Rd, Madhepura, Bihar 852113",852128,25.926153499999998,86.7949055,ChIJVXcln3E37jkRFROTgRJFono,https://www.google.com/maps/place/?q=place_id:ChIJVXcln3E37jkRFROTgRJFono,part_399,2026-09-20 20:26:02
