business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Janta Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",+91 99555 93597,N/A,4.3,,"Sohta, Sohatha, Bihar 852137",852137,26.202675499999998,87.07777019999999,ChIJJU-0HACl7zkR2esLqRFwDjk,https://www.google.com/maps/place/?q=place_id:ChIJJU-0HACl7zkR2esLqRFwDjk,part_399,2026-09-20 20:31:26
RUPESH CYBER WORLD,Internet Cafe,Internet cafe,Internet cafe,852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",N/A,N/A,4.4,,"Rupesh Cyber World, Hanuman Mandir Road Ratansar, Gwalpara Rd, Chatapur, Bihar 852137",852137,26.161940599999998,87.09067399999999,ChIJr8KVNTS77zkRZMIriLoMiyU,https://www.google.com/maps/place/?q=place_id:ChIJr8KVNTS77zkRZMIriLoMiyU,part_399,2026-09-20 20:31:26
"Jitendra Cyber Zone Bochha Chowk Gwalpara, chhatapur, supaul",Internet Cafe,Internet cafe,"Internet cafe, Computer service",852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",N/A,https://digitalseva.csc.gov.in/,4.1,,"Bochaha Chauk, Gwalpara Rd, Guwalpara, Bihar 852137",852137,26.1525879,87.08202059999999,ChIJ9RxGpem77zkRdWSuLOvw9f4,https://www.google.com/maps/place/?q=place_id:ChIJ9RxGpem77zkRdWSuLOvw9f4,part_399,2026-09-20 20:31:26
Csc Ratansar,Internet Cafe,Internet cafe,Internet cafe,852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",+91 74619 48594,N/A,3.5,,"Unnamed Road, Ratan sar, Bihar 852137",852137,26.1618674,87.102616,ChIJ0-olSAW77zkRLcLk_Nl4i-0,https://www.google.com/maps/place/?q=place_id:ChIJ0-olSAW77zkRLcLk_Nl4i-0,part_399,2026-09-20 20:31:26
डिजिटल रतनसार,Internet Cafe,Internet cafe,Internet cafe,852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",N/A,N/A,,,"5462+HR4, Ratan sar, Bihar 852137",852137,26.161392,87.102065,ChIJv83kEwC77zkRgR10KX5vU64,https://www.google.com/maps/place/?q=place_id:ChIJv83kEwC77zkRgR10KX5vU64,part_399,2026-09-20 20:31:26
Suraj Online Cyber Cafe,Internet Cafe,Cafe,Cafe,852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",N/A,N/A,,,"Ward 05, Mohamad Ganj, Chhatapur, Bihar 852137",Ward 05,26.1617829,87.03994039999999,ChIJHWWnUQux7zkRn0tTK9Jbq54,https://www.google.com/maps/place/?q=place_id:ChIJHWWnUQux7zkRn0tTK9Jbq54,part_399,2026-09-20 20:31:26
BABLU ONLINE CENTRE,Internet Cafe,Internet cafe,"Internet cafe, Gas cylinders supplier",852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",+91 99739 89568,N/A,5.0,,"Bhatabari, Chhatapur, Bihar 852137",852137,26.2173974,87.03276509999999,ChIJN6SPzsuv7zkR3hmDBpZmXR8,https://www.google.com/maps/place/?q=place_id:ChIJN6SPzsuv7zkR3hmDBpZmXR8,part_399,2026-09-20 20:31:26
CSC ACADEMY OF MD RAZIULLAH,Internet Cafe,Internet cafe,"Internet cafe, Cabinet store",852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",N/A,https://www.facebook.com/razi.aryan.9,4.5,,"Ward No 01, Jhakhatgarh Near Kalam Dealar Jhakhar, Garh, Bihar 852137",852137,26.2345939,87.0128744,ChIJYyaj3uiv7zkRBMHD_ho32EA,https://www.google.com/maps/place/?q=place_id:ChIJYyaj3uiv7zkRBMHD_ho32EA,part_399,2026-09-20 20:31:26
Sanjeet CSC Center,Internet Cafe,Internet cafe,Internet cafe,852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",+91 97988 78820,N/A,4.3,,"WARD NO 08, Pithoura, Fattehpur, Bihar 854335",852137,26.2412474,87.0847605,ChIJ7SqQHHWl7zkRnp9etG8x_Pk,https://www.google.com/maps/place/?q=place_id:ChIJ7SqQHHWl7zkRnp9etG8x_Pk,part_399,2026-09-20 20:31:26
INTERNET ZONE,Internet Cafe,Internet cafe,Internet cafe,852137,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Surpatganj SO, Chunnimal BO, Daharia BO",+91 94734 80899,N/A,3.7,,"FRONT ITI, INTERNET ZONE, Birpur, Bihar 854340",852137,26.514107199999998,87.0084913,ChIJN9GhaUQE7zkRBi5xmmSGkcM,https://www.google.com/maps/place/?q=place_id:ChIJN9GhaUQE7zkRBi5xmmSGkcM,part_399,2026-09-20 20:31:27
