business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BAKERY PRODUCTS SUPAUL,Patisserie,Food products supplier,Food products supplier,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 99397 97008,N/A,5.0,,"Chakla, Nirmali Rd, supaul, Nirmali, Bihar 852131",852138,26.1422675,86.6915052,ChIJT5kI6cFF7jkRjS7U_TuJEwI,https://www.google.com/maps/place/?q=place_id:ChIJT5kI6cFF7jkRjS7U_TuJEwI,part_399,2026-09-20 20:31:42
Anushka cake and more,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",N/A,N/A,5.0,,"7PWP+68F, सरैगढ़, Bhaptiyahi, Garhia, Bihar 852105",सरैगढ़,26.2955534,86.73579529999999,ChIJA7ttegBZ7jkRjUrHjYhU9iI,https://www.google.com/maps/place/?q=place_id:ChIJA7ttegBZ7jkRjUrHjYhU9iI,part_399,2026-09-20 20:31:42
Tharbitiya,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",N/A,N/A,5.0,,"6M95+Q2H, Tharbitia, Bihar 852138",852138,26.2194562,86.657609,ChIJH1jiGQBd7jkRBa8XZvFGmKE,https://www.google.com/maps/place/?q=place_id:ChIJH1jiGQBd7jkRBa8XZvFGmKE,part_399,2026-09-20 20:31:42
Shahnwaz general store,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",N/A,N/A,4.8,,"6J8R+8J7, Supaul, Bihar 852138",852138,26.2157767,86.6415336,ChIJ_0xIuT1d7jkR6V98aZxzjAY,https://www.google.com/maps/place/?q=place_id:ChIJ_0xIuT1d7jkR6V98aZxzjAY,part_399,2026-09-20 20:31:42
Jyoti bakery and cake house,Patisserie,Cake shop,Cake shop,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",N/A,N/A,2.7,,"8P2P+F4R, SH 76, Bhaptiyahi, Garhia, Bihar 852105",852138,26.3012379,86.73527659999999,ChIJW5Cw1EBZ7jkR6qDK6EsH5p0,https://www.google.com/maps/place/?q=place_id:ChIJW5Cw1EBZ7jkR6qDK6EsH5p0,part_399,2026-09-20 20:31:42
Prashant Kumar,Patisserie,Cake shop,Cake shop,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 62002 47007,N/A,5.0,,"Shop No 01, Station Rd, Tharbitia, Shivpuri, Bihar 852138",852138,26.2159527,86.6812532,ChIJo_1IQ85b7jkRnMiO9rxScbU,https://www.google.com/maps/place/?q=place_id:ChIJo_1IQ85b7jkRnMiO9rxScbU,part_399,2026-09-20 20:31:42
Prince And Krishna Nasta Bhandar,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 87978 07918,N/A,1.5,,"Pipra - Supaul Rd, Dinapatti, Supaul, Bihar 852134",852138,26.1499833,86.74499639999999,ChIJ1_kZfuZP7jkRJcqRDWIxVl8,https://www.google.com/maps/place/?q=place_id:ChIJ1_kZfuZP7jkRJcqRDWIxVl8,part_399,2026-09-20 20:31:42
MAA VAISHNO SWEET CORNER,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 99732 48326,N/A,5.0,,"Litiyahi, Thumha, Bihar 852134",852138,26.151574999999998,86.7370988,ChIJ1agwVwZF7jkRAfcRBnHnXK4,https://www.google.com/maps/place/?q=place_id:ChIJ1agwVwZF7jkRAfcRBnHnXK4,part_399,2026-09-20 20:31:42
Shakshi Chomin Center,Patisserie,Cake shop,Cake shop,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 62028 44661,N/A,,,"Supaul, Thumha, Bihar 852134",852138,26.1504497,86.7439947,ChIJZTDFtKtP7jkRNTZL9VkcQOI,https://www.google.com/maps/place/?q=place_id:ChIJZTDFtKtP7jkRNTZL9VkcQOI,part_399,2026-09-20 20:31:42
Kaushal Sweet,Patisserie,Cake shop,Cake shop,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 73710 62352,N/A,,,"Kishanpur West, Bihar 852138",852138,26.2129719,86.68217899999999,ChIJFdONm5Bb7jkRGi9nU_MVIt8,https://www.google.com/maps/place/?q=place_id:ChIJFdONm5Bb7jkRGi9nU_MVIt8,part_399,2026-09-20 20:31:42
