business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Harshit General Store,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",N/A,N/A,5.0,3.0,"Kishanpur - Narpatganj Rd, Abhuar, Kishanpur West, Keotapatti, Bihar 852138",Abhuar,26.2113299,86.69181259999999,ChIJUYLz4nZb7jkRX1r2Naq4qJY,https://www.google.com/maps/place/?q=place_id:ChIJUYLz4nZb7jkRX1r2Naq4qJY,part_399,2026-09-20 20:31:39
Vaishnavi general Store,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",N/A,N/A,,,"6M4G+85H, Supaul - Bhapitiyahi Rd, Kumarganj, Bihar 852138",852138,26.205817699999997,86.6754772,ChIJ93W2UwBb7jkRBvdyoiuua6U,https://www.google.com/maps/place/?q=place_id:ChIJ93W2UwBb7jkRBvdyoiuua6U,part_399,2026-09-20 20:31:39
Nishant Kairana Store,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 77208 68920,N/A,,,"Ward No 04, Kishanpur West, Bihar 852138",852138,26.2130066,86.68298329999999,ChIJ15RwEl5b7jkRiX13jl6XZZ4,https://www.google.com/maps/place/?q=place_id:ChIJ15RwEl5b7jkRiX13jl6XZZ4,part_399,2026-09-20 20:31:39
Ok General Store,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",N/A,N/A,,,"Ward No 04, Kishanpur, Sohagpur, Supaul, Bihar 852138",Kishanpur,26.1995968,86.66858839999999,ChIJI65Pi9Bb7jkRjGQ0HQGIMbE,https://www.google.com/maps/place/?q=place_id:ChIJI65Pi9Bb7jkRjGQ0HQGIMbE,part_399,2026-09-20 20:31:39
Priya general Store,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 85790 28646,N/A,,,"Kishanpur West, Bihar 852138",852138,26.2120538,86.6821038,ChIJ1yKcRKxb7jkRtdDSPrSai3g,https://www.google.com/maps/place/?q=place_id:ChIJ1yKcRKxb7jkRtdDSPrSai3g,part_399,2026-09-20 20:31:39
S K GENERAL STORE,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 91134 55299,N/A,,,"Dinesh Yadav Building, Tharbitia, Bihar 852138",852138,26.2167802,86.6716421,ChIJh-sAIZVb7jkRZbm_k9tafPI,https://www.google.com/maps/place/?q=place_id:ChIJh-sAIZVb7jkRZbm_k9tafPI,part_399,2026-09-20 20:31:39
general store,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",N/A,N/A,,,"5MX9+R87, Tharbitia, Bihar 852138",852138,26.199503,86.668328,ChIJCURgKgBb7jkRndabtxB6dEk,https://www.google.com/maps/place/?q=place_id:ChIJCURgKgBb7jkRndabtxB6dEk,part_399,2026-09-20 20:31:40
M/S KAMA KARI STORE,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",N/A,N/A,,,"Kishanpur West, Bihar 852138",852138,26.212791,86.6821806,ChIJeTSgdrpb7jkRm5JNzd9d1lM,https://www.google.com/maps/place/?q=place_id:ChIJeTSgdrpb7jkRm5JNzd9d1lM,part_399,2026-09-20 20:31:40
Champak General Store,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 80513 39841,N/A,5.0,,"Thabitta Station Market, Tharbitia, Bihar 852138",852138,26.219411599999997,86.6579014,ChIJ4W_z9cRd7jkRdYcVbflUcEA,https://www.google.com/maps/place/?q=place_id:ChIJ4W_z9cRd7jkRdYcVbflUcEA,part_399,2026-09-20 20:31:40
Ram General Store,Provision Store,General store,General store,852138,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Tharbitta SO, Abhuar BO, Bauraha BO",+91 92883 20033,N/A,,,"Ward No 04, Kishanpur, Sohagpur, Supaul, Bihar 852138",Kishanpur,26.199344999999997,86.668459,ChIJNYwMDK1b7jkRWgHtAJVV7Qg,https://www.google.com/maps/place/?q=place_id:ChIJNYwMDK1b7jkRWgHtAJVV7Qg,part_399,2026-09-20 20:31:40
