business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
V-Mart - Khagaria,Departmental Store,Department store,"Department store, Convenience store, Clothing store, Variety store",852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",+91 97739 89143,https://stores.vmartretail.com/clothing-mart-kalibari-khagaria-30778/home,4.8,,"Ground Floor, Mill Rd, Kalibari, Khagaria, Bihar 851204",Kalibari,25.5036471,86.46664609999999,ChIJc6YJC2fk8TkRT8WpO5kuYRY,https://www.google.com/maps/place/?q=place_id:ChIJc6YJC2fk8TkRT8WpO5kuYRY,part_399,2026-09-20 20:33:11
RCM Store,Departmental Store,Department store,Department store,852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",+91 97984 78009,https://www.rcmworld.com/,,,"Pawan Enterprises, Main Road, Telihar, Bihar 852161",852161,25.5700318,86.73637029999999,ChIJ5zs0wW7Z8TkRkm-jUrNGejM,https://www.google.com/maps/place/?q=place_id:ChIJ5zs0wW7Z8TkRkm-jUrNGejM,part_399,2026-09-20 20:33:11
Ankit Shop,Departmental Store,Grocery store,Grocery store,852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",+91 73209 01280,N/A,5.0,,"Junction, Kalibari, Khagaria, Bihar 851204",Kalibari,25.5065138,86.4674761,ChIJy0two5nl8TkRY1AaUWjfceY,https://www.google.com/maps/place/?q=place_id:ChIJy0two5nl8TkRY1AaUWjfceY,part_399,2026-09-20 20:33:11
Dilkhush Kumar k m t,Departmental Store,Grocery store,Grocery store,852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",N/A,N/A,,,"JP5G+CJM, Pirnagara, Bihar 852161",852161,25.608586799999998,86.72654829999999,ChIJtQUFNgDZ8TkRxkqF2GDHdBo,https://www.google.com/maps/place/?q=place_id:ChIJtQUFNgDZ8TkRxkqF2GDHdBo,part_399,2026-09-20 20:33:11
CityKart Khagaria,Departmental Store,Clothing store,"Clothing store, Baby clothing store, Dress store, Formal Clothing Store, Men's clothing store, Outlet mall, Shoe store, Women's clothing store",852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",+91 80 6863 5312,https://citykart.co.in/,4.5,,"P. No. 5, Gupta Market, K. No. 156, Rajendra Chowk, Ram Bahadur Singh Bazar, Khagaria, Bihar 851204",Ram Bahadur Singh Bazar,25.5054318,86.47015789999999,ChIJX9iATHD78TkR5oVhugm-86I,https://www.google.com/maps/place/?q=place_id:ChIJX9iATHD78TkR5oVhugm-86I,part_399,2026-09-20 20:33:12
STYLE BAAZAR KHAGARIA,Departmental Store,Outlet mall,"Outlet mall, Shopping mall",852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",+91 80170 02368,https://stylebaazar.in/,4.8,,"near Rajasthan Hotel, Sagarmal Chowk, Kalibari, Khagaria, Bihar 851204","Sagarmal Chowk, Kalibari",25.5018748,86.4663243,ChIJcau3N3_l8TkR-yams82eCAE,https://www.google.com/maps/place/?q=place_id:ChIJcau3N3_l8TkR-yams82eCAE,part_399,2026-09-20 20:33:12
Risha Shop,Departmental Store,Store,Store,852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",N/A,N/A,4.3,,"Patel Nagar, East Borne, Bihar 851201",Patel Nagar,25.527853399999998,86.7087789,ChIJ1yWcMira8TkRuiUFAfs3i0o,https://www.google.com/maps/place/?q=place_id:ChIJ1yWcMira8TkRuiUFAfs3i0o,part_399,2026-09-20 20:33:13
Dukhan Anubhav,Departmental Store,Grocery store,Grocery store,852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",N/A,N/A,5.0,,"HV4C+HVP, Unnamed Road, Haru Dumra, Bihar 852219",852161,25.556466399999998,86.872205,ChIJu8GTc1TV8TkRSQwW4R9CxOc,https://www.google.com/maps/place/?q=place_id:ChIJu8GTc1TV8TkRSQwW4R9CxOc,part_399,2026-09-20 20:33:13
Mufti,Departmental Store,Clothing store,Clothing store,852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",+91 79 4746 8097,https://stores.muftijeans.in/mufti-men-s-clothes-shop-sagarmal-chowk-khagaria-479399/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"GROUND FLOOR, Main Rd, near RAYMOND SHOWROOM, Sagarmal Chowk, Kalibari, Khagaria, Bihar 851204","Sagarmal Chowk, Kalibari",25.501828,86.466617,ChIJl6ZaALTl8TkRM_GqfYy6zoM,https://www.google.com/maps/place/?q=place_id:ChIJl6ZaALTl8TkRM_GqfYy6zoM,part_399,2026-09-20 20:33:13
Aditya Vision,Departmental Store,Electrical equipment supplier,Electrical equipment supplier,852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",+91 79 4921 3813,https://stores.adityavision.com/electronics-shops/khagaria/hajipur-road/aditya-vision-in-hajipur-road-khagaria--4tMIs6/home,4.9,,"MG Road, nearby KN Club, Hajipur Mohalla, Khagaria, Bihar 851204",Hajipur Mohalla,25.504514399999998,86.47209819999999,ChIJ95B6ntzl8TkRnMFqmLunAJs,https://www.google.com/maps/place/?q=place_id:ChIJ95B6ntzl8TkRnMFqmLunAJs,part_399,2026-09-20 20:33:13
DEEPAK STORE,Departmental Store,Clothing store,Clothing store,852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",N/A,N/A,3.4,,"Main Rd, Kalibari, Khagaria, Bihar 851204",Kalibari,25.501696499999998,86.46743839999999,ChIJeX0gH77l8TkRdWfyDM4P0ro,https://www.google.com/maps/place/?q=place_id:ChIJeX0gH77l8TkRdWfyDM4P0ro,part_399,2026-09-20 20:33:13
USHA SALES AND SERVICE,Departmental Store,Home goods store,Home goods store,852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",+91 96618 69937,N/A,4.8,,"GF3C+PFJ, MG Road, Gandhi Nagar, Kalibari, Khagaria, Bihar 851204","Gandhi Nagar, Kalibari",25.5043293,86.47113499999999,ChIJh9bTWmjk8TkRYspLtFAwOQc,https://www.google.com/maps/place/?q=place_id:ChIJh9bTWmjk8TkRYspLtFAwOQc,part_399,2026-09-20 20:33:13
Maa Fuleshwari Chitralay & General Store,Departmental Store,General store,"General store, Grocery store",852161,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,"Beldaur SO, Belanawada BO, Chorhli BO",+91 77829 77480,N/A,3.4,,"Marar Rasaunk Rd, Uttar Marar, Bihar 851205",852161,25.5433366,86.5047786,ChIJ-02SuFDh8TkRpPwj7NxQSeo,https://www.google.com/maps/place/?q=place_id:ChIJ-02SuFDh8TkRpPwj7NxQSeo,part_399,2026-09-20 20:33:13
