business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aky,B2B Appointment-Setting Agencies,Corporate office,Corporate office,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,5.0,1.0,"6XW7+QQP, Urdu Bazar, Bhagalpur, Bihar 812002",Urdu Bazar,25.246966999999998,86.9644421,ChIJJ-Tv7IBL8DkRhRSCk2-jhRg,https://www.google.com/maps/place/?q=place_id:ChIJJ-Tv7IBL8DkRhRSCk2-jhRg,part_399,2026-09-20 20:44:05
Kashish Group,B2B Appointment-Setting Agencies,Real estate agency,"Real estate agency, Consultant",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 89870 05906,https://kashishgroup.wixsite.com/kashishgroup,5.0,1.0,"Sahamat, Shahadat Hussain Ln, Barahpura, Bhagalpur, Bihar 812002",Barahpura,25.2407017,86.9668969,ChIJQ8nJ4R828DkRBXzQwh4_c0U,https://www.google.com/maps/place/?q=place_id:ChIJQ8nJ4R828DkRBXzQwh4_c0U,part_399,2026-09-20 20:44:05
CORPORATE WORLD,B2B Appointment-Setting Agencies,Corporate office,Corporate office,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 99318 23989,N/A,3.5,13.0,"NH 33, Tulsinagar Colony, Bank Colony, Central Jail Area, Bhagalpur, Bihar 812001","Tulsinagar Colony, Bank Colony, Central Jail Area",25.253713899999997,87.00127909999999,ChIJu0DJ4B828DkRYr1Q5ijoxzA,https://www.google.com/maps/place/?q=place_id:ChIJu0DJ4B828DkRYr1Q5ijoxzA,part_399,2026-09-20 20:44:06
Global Services,B2B Appointment-Setting Agencies,Electronics store,Electronics store,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 91232 00037,N/A,5.0,1.0,"Shop No.1, Dr RP Rd, near Mahadev Talkies, Goshalla, Bhagalpur, Bihar 812001",Goshalla,25.246495799999998,86.9741688,ChIJf5RWTYJL8DkRvF1dF-0vT-g,https://www.google.com/maps/place/?q=place_id:ChIJf5RWTYJL8DkRvF1dF-0vT-g,part_399,2026-09-20 20:44:06
Online Transaction service,B2B Appointment-Setting Agencies,Software company,Software company,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,http://www.mynewadityaranjan.blogspot.com/,5.0,11.0,"Ambay marufchak, Tilkamanjhi, Bhagalpur, Bihar 812005",Tilkamanjhi,25.2332647,86.97138609999999,ChIJRXRSGM9L8DkRK9vnVwQBWjU,https://www.google.com/maps/place/?q=place_id:ChIJRXRSGM9L8DkRK9vnVwQBWjU,part_399,2026-09-20 20:44:06
Be Creative Agency,B2B Appointment-Setting Agencies,Marketing agency,"Marketing agency, Service establishment",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 79033 61811,N/A,,,"Be Creative Agency, 853201, India",853201,21.0680074,82.7525294,ChIJHya8gGd7OCcRE_9c8tqXq18,https://www.google.com/maps/place/?q=place_id:ChIJHya8gGd7OCcRE_9c8tqXq18,part_399,2026-09-20 20:44:06
Customer Service Point,B2B Appointment-Setting Agencies,Computer support and services,Computer support and services,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 76315 19496,N/A,,,"Customer Service Point, New Bajoriya Colony, Hussainabad, Bhagalpur, Bihar 812005","New Bajoriya Colony, Hussainabad",25.2312501,86.9723945,ChIJdYoR7kRL8DkROL9IeNPTH9k,https://www.google.com/maps/place/?q=place_id:ChIJdYoR7kRL8DkROL9IeNPTH9k,part_399,2026-09-20 20:44:06
MyBranch - Coworking Space in Bhagalpur,B2B Appointment-Setting Agencies,Coworking space,Coworking space,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 84519 99506,https://bit.ly/4oiIO7s,5.0,,"1st Floor, Mahalaxmi Apartments, Ramdas Gupta Path, nr. Vinay Homeo Pharmacy, Laheari Tola, Laheritola, Bhagalpur, Bihar 812002","Laheari Tola, Laheritola",25.2434825,86.97052889999999,ChIJmeK3W8JJ8DkRUMJdzzJelxI,https://www.google.com/maps/place/?q=place_id:ChIJmeK3W8JJ8DkRUMJdzzJelxI,part_399,2026-09-20 20:44:07
Shadow fax office,B2B Appointment-Setting Agencies,Delivery service,Delivery service,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 90979 77847,N/A,4.7,,"Imampur, Bhagalpur, SH-25, Banka, Deoghar Road, Bhagalpur, Nisf Ambe, Bihar 812005",853201,25.2138092,86.9555407,ChIJ2RptLABL8DkRZBlYMoO3qmE,https://www.google.com/maps/place/?q=place_id:ChIJ2RptLABL8DkRZBlYMoO3qmE,part_399,2026-09-20 20:44:07
Job mart asansol job placement consultancy,B2B Appointment-Setting Agencies,Employment consultant,"Employment consultant, BPO Placement Agency, Consultant, Human resource consulting, Recruiter, Unemployment office",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 76996 90367,http://www.jobmartasansol.in/,4.7,,"Budha Rd, near pnt Kali mandir, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6845477,86.9623841,ChIJpd7CtrUf9zkRQ935r5rKZbQ,https://www.google.com/maps/place/?q=place_id:ChIJpd7CtrUf9zkRQ935r5rKZbQ,part_399,2026-09-20 20:44:07
