business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Amaron Pitstop - Maa Tara Enterprises,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Manufacturer, Battery Wholesaler, Battery Store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 73019 00000,https://www.amaron.com/,5.0,7.0,"Ground Floor, koyla depot, Patel Babu Road, opposite V Mart, Chowk, Bhikhanpur, Bhagalpur, Bihar 812001","Chowk, Bhikhanpur",25.243033,86.977226,ChIJqz5g5DpL8DkROHNheNXiWKk,https://www.google.com/maps/place/?q=place_id:ChIJqz5g5DpL8DkROHNheNXiWKk,part_399,2026-09-20 20:43:38
Exide Care - DS Enterprises,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store, Solar Energy Company",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 80 6228 9054,https://stores.exidecare.com/exide-care-ds-enterprises-battery-store-sabour-bhagalpur-537689/Home?utm_source=locator&utm_medium=googleplaces,5.0,23.0,"Ground Floor, near Petrol Pump, Zero Mile, Sabour, Bhagalpur, Bihar 813210",Zero Mile,25.252964,87.0184791,ChIJN02wKcZJ8DkRBgSZlk-YAWo,https://www.google.com/maps/place/?q=place_id:ChIJN02wKcZJ8DkRBgSZlk-YAWo,part_399,2026-09-20 20:43:38
Bajrangi auto parts,Car and Bike Battery Dealer,Electric bicycle store,"Electric bicycle store, Electric motor repair shop, Electric motor scooter dealer, Electric motor store, Electric motor vehicle dealer, Electrical installation service, Electrical products wholesaler, Electronics wholesaler",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 75460 38233,https://www.ensuresale.com/,4.8,57.0,"Jyoti Vihar Colony, Shanti Colony, Bhagalpur, Bihar 813210","Jyoti Vihar Colony, Shanti Colony",25.2537234,87.0295043,ChIJP3-dizs38DkRcidXH2FUd04,https://www.google.com/maps/place/?q=place_id:ChIJP3-dizs38DkRcidXH2FUd04,part_399,2026-09-20 20:43:38
Eastman Batteries - Vicky Automobiles,Car and Bike Battery Dealer,Battery Store,"Battery Store, Battery Manufacturer, Battery Wholesaler",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 82105 08996,https://store.eastmanbattery.in/eastman-batteries-vicky-automobiles-battery-store-mirjanhat-bhagalpur-350013/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Mirjanhat Rd, near Saryu Devi Mohan Lal Girls High Sch, Mirjanhat, Bhagalpur, Bihar 812005",Mirjanhat,25.230711,86.981151,ChIJu8fmYSdL8DkRLt0GvcaQTzk,https://www.google.com/maps/place/?q=place_id:ChIJu8fmYSdL8DkRLt0GvcaQTzk,part_399,2026-09-20 20:43:38
NR ENTERPRISES,Car and Bike Battery Dealer,Electronics store,Electronics store,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 82924 09849,N/A,4.2,5.0,"ALIGANJ BOUSHI ROAD, Bihar 812005",853201,25.222301599999998,86.9735073,ChIJX4PWgOZL8DkRk_G7ypJITkw,https://www.google.com/maps/place/?q=place_id:ChIJX4PWgOZL8DkRk_G7ypJITkw,part_399,2026-09-20 20:43:38
Exide Care - A P Tyres,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store, Solar Energy Company",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 80 6949 6656,https://stores.exidecare.com/exide-care-a-p-tyres-battery-store-mg-road-bhagalpur-567907/Home?utm_source=locator&utm_medium=googleplaces,5.0,8.0,"Civil Sergent Compound, MG Rd, opposite Hotel Bhavna international, Adampur, Bhagalpur, Bihar 812001",Adampur,25.249654,86.987431,ChIJT1_66itJ8DkRAU-AZiSzbOE,https://www.google.com/maps/place/?q=place_id:ChIJT1_66itJ8DkRAU-AZiSzbOE,part_399,2026-09-20 20:43:38
Bhagalpur Battery House,Car and Bike Battery Dealer,Battery Store,"Battery Store, Electrical supply store, Solar energy equipment supplier, Solar hot water system supplier",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 641 240 6636,N/A,3.7,12.0,"Patal Babu Road, Bhagalpur, Bihar 812001",Sujaganj,25.2437725,86.9778283,ChIJCZtoeQNK8DkR9o_uK1eMkQs,https://www.google.com/maps/place/?q=place_id:ChIJCZtoeQNK8DkR9o_uK1eMkQs,part_399,2026-09-20 20:43:38
Tata Green Batteries - JB Lubricants,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Manufacturer, Battery Wholesaler, Battery Store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 91671 46141,https://stores.tatagreenbattery.com/tata-green-batteries-jb-lubricants-battery-store-jagdishpur-bhagalpur-447841/Home?utm_source=locator&utm_medium=googleplaces,1.0,1.0,"No 121, Patal Babu Rd, opposite Hotel Ashoka, Angari, Jagdishpur, Bhagalpur, Bihar 812001",Angari,25.238545499999997,87.00139329999999,ChIJGTYouxhJ8DkR_HsfTn9dhkI,https://www.google.com/maps/place/?q=place_id:ChIJGTYouxhJ8DkR_HsfTn9dhkI,part_399,2026-09-20 20:43:38
"IMRAAN AUTO ELECTRIC *(इमरान आटो इलेक्ट्रिक, नवगछिया, भागलपुर )*",Car and Bike Battery Dealer,Battery Store,"Battery Store, Battery Wholesaler, Electronics manufacturer",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 70504 57765,N/A,4.9,7.0,"NH 31, near Satyam Hotel, Naugachhia, Bihar 853204",853201,25.3816651,87.0915847,ChIJyfTbIE868DkRcv-iMzWBTkg,https://www.google.com/maps/place/?q=place_id:ChIJyfTbIE868DkRcv-iMzWBTkg,part_399,2026-09-20 20:43:38
STEPS EXIDE Showroom,Car and Bike Battery Dealer,Battery Store,"Battery Store, Electrical supply store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,4.8,4.0,"Patal Babu Rd, Bhikhanpur, Bhagalpur, Bihar 812001",Bhikhanpur,25.2468734,86.9802686,ChIJocJkKQJK8DkRDAegF2BneAw,https://www.google.com/maps/place/?q=place_id:ChIJocJkKQJK8DkRDAegF2BneAw,part_399,2026-09-20 20:43:38
