business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BHAGALPUR GUEST HOUSE GUPTA'S DORMITORY,Hostels,Backpacker Hostel,Backpacker Hostel,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 94318 60296,N/A,4.6,82.0,"Urdu Bazar Rd, near Hanuman Mandir, Urdu Bazar, Bhagalpur, Bihar 812002",Urdu Bazar,25.2453789,86.9645741,ChIJOxT8gSJL8DkRmXamqWOHHiU,https://www.google.com/maps/place/?q=place_id:ChIJOxT8gSJL8DkRmXamqWOHHiU,part_399,2026-09-20 20:43:49
Jai Mata Di Girls Hostel,Hostels,Club,Club,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 87571 10903,N/A,4.0,139.0,"Tilkamanjhi, Nand Lal Mishra Ln, Surkhikal, Bhagalpur, Bihar 812001","Katahalbari, Surkhikal",25.256752799999997,86.9985172,ChIJM4mNix428DkRU6ROTbBTZos,https://www.google.com/maps/place/?q=place_id:ChIJM4mNix428DkRU6ROTbBTZos,part_399,2026-09-20 20:43:49
Nirmal Nikunj Boys Hostel,Hostels,Student dormitory,"Student dormitory, Boys' hostel",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,4.9,21.0,"Lal kha dargha, Sarai chowk, Golaghat, Bihar 812002","Golaghat, Old City",25.249734399999998,86.9687294,ChIJ25H6g-lL8DkR_KdxP5ed_-U,https://www.google.com/maps/place/?q=place_id:ChIJ25H6g-lL8DkR_KdxP5ed_-U,part_399,2026-09-20 20:43:49
Vindhyavasini Hostel,Hostels,Student dormitory,Student dormitory,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,3.9,103.0,"7X6V+F4J, Badi Khanjarpur, Bhagalpur, Bihar 812001",Badi Khanjarpur,25.2612003,86.9927682,ChIJ_QIPMRs28DkRmXu5k5RZ97w,https://www.google.com/maps/place/?q=place_id:ChIJ_QIPMRs28DkRmXu5k5RZ97w,part_399,2026-09-20 20:43:49
"Marwari College Hostel, Bhagalpur-812007",Hostels,Student housing center,Student housing center,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,https://g.co/kgs/Aa8kAE,4.4,13.0,"Marwari College Rd, Sitanabad, Tatarpur, Bhagalpur, Bihar 812006","Sitanabad, Tatarpur",25.245292499999998,86.9547698,ChIJYelhes9L8DkRPY6KoCDF08Q,https://www.google.com/maps/place/?q=place_id:ChIJYelhes9L8DkRPY6KoCDF08Q,part_399,2026-09-20 20:43:49
Vidya Girl's Hostel,Hostels,Student dormitory,Student dormitory,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,3.4,150.0,"7X5R+WJX, Khanjarpur, Bhagalpur, Bihar 812001",Khanjarpur,25.2598529,86.99160859999999,ChIJI5HEpAQ28DkRdlQ56n9dQwU,https://www.google.com/maps/place/?q=place_id:ChIJI5HEpAQ28DkRdlQ56n9dQwU,part_399,2026-09-20 20:43:49
Rana hostel,Hostels,Student dormitory,Student dormitory,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 98355 44182,N/A,3.5,50.0,"Katahalbari, Khanjarpur, Bhagalpur, Bihar 812001","Katahalbari, Khanjarpur",25.257677899999997,86.99243849999999,ChIJlYtMNQM28DkR-9TOPZHtbqg,https://www.google.com/maps/place/?q=place_id:ChIJlYtMNQM28DkR-9TOPZHtbqg,part_399,2026-09-20 20:43:49
Jahanwi Boys Hostel,Hostels,Boys' hostel,Boys' hostel,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 72800 41173,N/A,3.5,92.0,"4th , 5th Floor, Adampur, Bhagalpur, Bihar 812001",Adampur,25.2527756,86.98239679999999,ChIJG-jqAQBK8DkRDnucwdNIigY,https://www.google.com/maps/place/?q=place_id:ChIJG-jqAQBK8DkRDnucwdNIigY,part_399,2026-09-20 20:43:49
Maa Tara Girls Hostel,Hostels,Girls' hostel,Girls' hostel,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 94314 22743,N/A,3.9,38.0,"S.M College Rd, Khanjarpur, Bhagalpur, Bihar 812001",Khanjarpur,25.2613463,86.9909507,ChIJO-bd6AQ28DkR1I_1DxU7-FM,https://www.google.com/maps/place/?q=place_id:ChIJO-bd6AQ28DkR1I_1DxU7-FM,part_399,2026-09-20 20:43:49
Ayush Boys Hostel,Hostels,Boys' hostel,Boys' hostel,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,4.9,8.0,"Infront of Tata show room, Sabour, Bhagalpur, Bihar 813210",853201,25.2507605,87.0439688,ChIJ7R7GKRhJ8DkRS_11-C9pZXo,https://www.google.com/maps/place/?q=place_id:ChIJ7R7GKRhJ8DkRS_11-C9pZXo,part_399,2026-09-20 20:43:49
