business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chanda Mama,Kids Wear Store,Children's clothing store,Children's clothing store,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,4.6,,"BHAGWATI COURTYARD, MG Rd, Bhagalpur, Bihar 812001",Bhikhanpur,25.2499203,86.98861889999999,ChIJy2lMNPxJ8DkRbYLZky6cCmM,https://www.google.com/maps/place/?q=place_id:ChIJy2lMNPxJ8DkRbYLZky6cCmM,part_399,2026-09-20 20:43:28
Nigha sherwani & Kids wear,Kids Wear Store,Clothing store,Clothing store,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 94310 89878,N/A,4.0,,"Dr RP Rd, Khalifabag, Shah Market, Bhagalpur, Bihar 812001","Khalifabag, Shah Market",25.246977299999998,86.9773124,ChIJYVLg0iRL8DkRHILQAgONMBQ,https://www.google.com/maps/place/?q=place_id:ChIJYVLg0iRL8DkRHILQAgONMBQ,part_399,2026-09-20 20:43:28
Kids zone,Kids Wear Store,Clothing store,"Clothing store, Baby clothing store, Baby store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,3.0,,"Marwai tola, Mojahidpur St., Shah Market, Bhagalpur, Bihar 812001",Shah Market,25.244536999999998,86.9749537,ChIJkSvADgVL8DkRyThmR2Bv6DI,https://www.google.com/maps/place/?q=place_id:ChIJkSvADgVL8DkRyThmR2Bv6DI,part_399,2026-09-20 20:43:28
Krishna Childs,Kids Wear Store,Children's clothing store,Children's clothing store,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 85218 89665,N/A,4.7,,"6XWG+JJJ, Khalifabagh Chowk, Bhagalpur, Bihar 812001",Khalifabagh Chowk,25.2465773,86.97651909999999,ChIJVxdmHARK8DkRnoDe8-OHG2o,https://www.google.com/maps/place/?q=place_id:ChIJVxdmHARK8DkRnoDe8-OHG2o,part_399,2026-09-20 20:43:28
V-Mart - Bhagalpur - Gurhatta Chowk,Kids Wear Store,Clothing store,Clothing store,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 97735 06871,https://stores.vmartretail.com/clothing-mart-mujahid-pur-bhagalpur-42016/home?utm_source=GBP,4.9,,"Gurhatta, Chowk, Tilkamanjhi - Barari Rd, Mujahid Pur, Bhagalpur, Bihar 812001",Mujahid Pur,25.237061,86.97421899999999,ChIJMRDgUYtL8DkRLKoqG7N8zJY,https://www.google.com/maps/place/?q=place_id:ChIJMRDgUYtL8DkRLKoqG7N8zJY,part_399,2026-09-20 20:43:28
CHANDA MAMA,Kids Wear Store,Baby store,Baby store,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 89699 58946,N/A,3.9,,"DN Singh Rd, Sujaganj, Shah Market, Bhagalpur, Bihar 812001","Sujaganj, Shah Market",25.2448454,86.9758981,ChIJn6AVMolL8DkR6SX_lHkVDj0,https://www.google.com/maps/place/?q=place_id:ChIJn6AVMolL8DkR6SX_lHkVDj0,part_399,2026-09-20 20:43:28
Jockey Exclusive Store,Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Clothing store, Lingerie store, Men's clothing store, Sportswear store, Underwear store, Women's clothing store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 79037 92056,https://stores.jockey.in/jockey-exclusive-store-sujaganj-bhagalpur-7187/home?utm_source=GMB,4.9,,"DN Singh Rd, near Mela Store, Variety Chowk, Sujaganj, Bhagalpur, Bihar 812001","Variety Chowk, Sujaganj",25.244524,86.97555559999999,ChIJ72c9oudL8DkRea0bgHPIZ2c,https://www.google.com/maps/place/?q=place_id:ChIJ72c9oudL8DkRea0bgHPIZ2c,part_399,2026-09-20 20:43:28
V-Mart - Bhagalpur-Kachehari Road,Kids Wear Store,Clothing store,"Clothing store, Convenience store, Department store, Variety store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 70423 50082,https://stores.vmartretail.com/clothing-mart-bhikhanpur-bhagalpur-34271/home,4.9,,"Kuchery Chowk, Bhikhanpur, Bhagalpur, Bihar 812001",Bhikhanpur,25.249395999999997,86.98931999999999,ChIJCymn_CRJ8DkRcH26CWsRi8s,https://www.google.com/maps/place/?q=place_id:ChIJCymn_CRJ8DkRcH26CWsRi8s,part_399,2026-09-20 20:43:28
Big Fashion,Kids Wear Store,Men's clothing store,"Men's clothing store, Clothing store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 99736 49694,http://www.youtube.com/@abigfashion8132,4.1,,"Shah's Complex, Near, Khalifabagh Market Rd, Khalifabagh Chowk, Shah Market, Bhagalpur, Bihar 812002","Khalifabagh Chowk, Shah Market",25.246244899999997,86.9765638,ChIJAwAAQQRK8DkRNFAz9CBKt98,https://www.google.com/maps/place/?q=place_id:ChIJAwAAQQRK8DkRNFAz9CBKt98,part_399,2026-09-20 20:43:28
Saha Fancy Readymade,Kids Wear Store,Children's clothing store,"Children's clothing store, Clothing store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 85075 71960,N/A,4.5,,"SAHA FANCY READYMADE, Chock, Mirjanhat, Bhagalpur, Bihar 812002",Mirjanhat,25.23371,86.9810645,ChIJwwo4QB5K8DkR-sraS0pPJK8,https://www.google.com/maps/place/?q=place_id:ChIJwwo4QB5K8DkR-sraS0pPJK8,part_399,2026-09-20 20:43:28
