business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SUVIDHA TENT HOUSE & CATERERS,Tent House and Shamiana,Event planner,Event planner,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 70915 18439,N/A,5.0,2.0,"Suvidha tent House, Nand Lal Mishra Ln, TILKAMANJHI, Bhagalpur, Bihar 812001",TILKAMANJHI,25.25759,87.0006581,ChIJyXuEEwA38DkRiGD-UNSEoqc,https://www.google.com/maps/place/?q=place_id:ChIJyXuEEwA38DkRiGD-UNSEoqc,part_399,2026-09-20 20:43:48
Nathnagar Kali Mandir Bihar,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 99399 94752,N/A,4.5,23.0,"6WQQ+WRG, Bariarpur - Bhagalpur Rd, Nathnagar, Bhagalpur, Bihar 812006",Nathnagar,25.2398068,86.93957429999999,ChIJPVdghohK8DkRWVs36L7ssKg,https://www.google.com/maps/place/?q=place_id:ChIJPVdghohK8DkRWVs36L7ssKg,part_399,2026-09-20 20:43:48
JAY SHREE RAM TENT HOUSE,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 82941 72075,N/A,4.1,18.0,"Surya Lok Colony, Mirjanhat, Habibpur, Bhagalpur, Bihar 812005","Surya Lok Colony, Mirjanhat",25.2224938,86.98266799999999,ChIJNxJL5D1L8DkRQ3xX1oGN6Qk,https://www.google.com/maps/place/?q=place_id:ChIJNxJL5D1L8DkRQ3xX1oGN6Qk,part_399,2026-09-20 20:43:48
Bajrang tent house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 99399 94752,N/A,3.7,3.0,"Piperpathi, Nathnagar, Bhagalpur, Bihar 812006","Piperpathi, Nathnagar",25.2399037,86.94006999999999,ChIJ4wj4xGNL8DkRz851JTHEyrI,https://www.google.com/maps/place/?q=place_id:ChIJ4wj4xGNL8DkRz851JTHEyrI,part_399,2026-09-20 20:43:48
Baba Tent House,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Caterer, Event management company, Event planner",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 94312 65703,N/A,2.7,3.0,"Nand Lal Mishra Ln, Tilka manjhi, Bhagalpur, Bihar 812001",Tilka manjhi,25.257116,86.9997298,ChIJRbIR8Po38DkRUzaIiy4B1fE,https://www.google.com/maps/place/?q=place_id:ChIJRbIR8Po38DkRUzaIiy4B1fE,part_399,2026-09-20 20:43:48
Shri Bhagwati Vastu Bhandar,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Home goods store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 641 242 0584,N/A,4.4,5.0,"Lohapatti, Bihar 812001",853201,25.2432861,86.97523699999999,ChIJr3Gq5ARK8DkROmi4VDkFLp8,https://www.google.com/maps/place/?q=place_id:ChIJr3Gq5ARK8DkROmi4VDkFLp8,part_399,2026-09-20 20:43:48
shiv shanker tent house(ssth),Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Corporate office",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,3.8,10.0,"5XH7+5PM, Mathiltola, Baijani, Bihar 812005",Mathiltola,25.1780106,86.9646427,ChIJoxzj8OtL8DkR8q_67O91fvk,https://www.google.com/maps/place/?q=place_id:ChIJoxzj8OtL8DkR8q_67O91fvk,part_399,2026-09-20 20:43:48
Mithilesh Tent house,Tent House and Shamiana,Housing complex,Housing complex,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,5.0,2.0,"765Q+R2W, Purab Tola, ward no 17, Purab Tola, Kahalgaon, Bihar 813203","Purab Tola, ward no 17, Purab Tola",25.2596202,87.2375773,ChIJD5B5aAAV8DkRZzW24IubQ6M,https://www.google.com/maps/place/?q=place_id:ChIJD5B5aAAV8DkRZzW24IubQ6M,part_399,2026-09-20 20:43:48
Bengal Tent Agency,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 91223 37563,N/A,4.5,2.0,"Quaziwali Chak, Tatarpur Rd, Urdu Bazar, Bhagalpur, Bihar 812002",Urdu Bazar,25.2452878,86.9704656,ChIJh6arGQ9K8DkRyqyxqniwhsA,https://www.google.com/maps/place/?q=place_id:ChIJh6arGQ9K8DkRyqyxqniwhsA,part_399,2026-09-20 20:43:48
Maa Laxmi Tent House,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Restaurant supply store",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 94318 73345,N/A,4.7,,"Gurudwara Rd, Shah Market, Bhagalpur, Bihar 812001",Shah Market,25.245161099999997,86.9780322,ChIJ-X50jgNK8DkROfPJDKgT7Wc,https://www.google.com/maps/place/?q=place_id:ChIJ-X50jgNK8DkROfPJDKgT7Wc,part_399,2026-09-20 20:43:49
SHIVAM TENT HOUSE,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,4.0,,"Sultanpur, Bhagalpur, Bihar 813210",Sultanpur,25.225709499999997,87.0526271,ChIJa7Xp8_ZJ8DkRdx2eiN1G8bg,https://www.google.com/maps/place/?q=place_id:ChIJa7Xp8_ZJ8DkRdx2eiN1G8bg,part_399,2026-09-20 20:43:49
