business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Chetna Foundation Bhagalpur | Best Autism Center, Physiotherapy Center & Occupational Therapy",Therapy Center,Occupational therapist,"Occupational therapist, Rehabilitation center, Physiotherapy Center, Special educator, Speech & Hearing Specialist",853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 92290 49723,http://www.chetnafoundationbhagalpur.in/,5.0,7.0,"Besides Jawa Show Room, RBSR Path, Peer Baba Chowk, near Manali Hotel) Choti, Ghuran, Khanjarpur, Bhagalpur, Bihar 812001","Ghuran, Khanjarpur",25.2555958,86.9912229,ChIJuRQAl9838DkRafdqc--ewQQ,https://www.google.com/maps/place/?q=place_id:ChIJuRQAl9838DkRafdqc--ewQQ,part_399,2026-09-20 20:43:47
Neurotherapy Upchar Kendra Bhagalpur,Therapy Center,Physiotherapist,Physiotherapist,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 86512 36879,http://www.neurothereapyupcharkendra.com/,5.0,13.0,"Kachari Chowk, near v2 mall, Katahalbari, Khanjarpur, Bhagalpur, Bihar 812001","Katahalbari, Khanjarpur",25.2506776,86.9897915,ChIJYcgXzDpJ8DkR6CNaRUXaYmM,https://www.google.com/maps/place/?q=place_id:ChIJYcgXzDpJ8DkR6CNaRUXaYmM,part_399,2026-09-20 20:43:47
Nirala speech & hearing clinic,Therapy Center,Speech & Hearing Specialist,Speech & Hearing Specialist,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 70501 93341,N/A,5.0,16.0,"MG Rd, opposite head post office, near Metro mirchi restaurant, Adampur, Bhagalpur, Bihar 812001",Adampur,25.2499595,86.98544749999999,ChIJw9JtTJZJ8DkRxKsIIpboWd4,https://www.google.com/maps/place/?q=place_id:ChIJw9JtTJZJ8DkRxKsIIpboWd4,part_399,2026-09-20 20:43:47
Ceragem Tiya Spine Care,Therapy Center,Physiotherapist,Physiotherapist,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,5.0,2.0,"7X2X+825, Lalbagh, Tilka manjhi, Bhagalpur, Bihar 812001","Lalbagh, Tilka manjhi",25.250819399999997,86.9976003,ChIJJRlC16ZJ8DkRHCQs7eyeM_M,https://www.google.com/maps/place/?q=place_id:ChIJJRlC16ZJ8DkRHCQs7eyeM_M,part_399,2026-09-20 20:43:47
"Acupressure Treatment Center,(Acupressure Ratna, Dr.S.Thakur)",Therapy Center,Acupuncture clinic,Acupuncture clinic,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 99344 43678,N/A,5.0,1.0,"Acupressure center, Bhikhanpur, Bhagalpur, Bihar 812001",Bhikhanpur,25.2453228,86.9843732,ChIJ71U-QmZJ8DkREXumZh-vN9s,https://www.google.com/maps/place/?q=place_id:ChIJ71U-QmZJ8DkREXumZh-vN9s,part_399,2026-09-20 20:43:47
Physiotherapist for home care,Therapy Center,Physiotherapist,Physiotherapist,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,5.0,5.0,"Zero Mile, Bhikhanpur, Bhagalpur, Bihar 812001","Zero Mile, Bhikhanpur",25.2439109,86.9836053,ChIJPe-gb4NJ8DkRWwQ5lunuHdE,https://www.google.com/maps/place/?q=place_id:ChIJPe-gb4NJ8DkRWwQ5lunuHdE,part_399,2026-09-20 20:43:47
Upkar Physiotherapy Centre,Therapy Center,Medical clinic,Medical clinic,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 99312 57964,N/A,5.0,3.0,"7X3P+62C, Radha Rani Sinha Rd, Adampur, Bhagalpur, Bihar 812001",Adampur,25.253072099999997,86.9850019,ChIJoTy9Kv5J8DkR4aEx4xlNzVY,https://www.google.com/maps/place/?q=place_id:ChIJoTy9Kv5J8DkR4aEx4xlNzVY,part_399,2026-09-20 20:43:47
Upkar Physiotherapy Centre,Therapy Center,Physiotherapy Center,Physiotherapy Center,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,,,"Gurunanak colony, near Gangotri Hospital, Gurunanakpura Colony, Zero Mile, Bhagalpur, Bihar 812001","Gurunanakpura Colony, Zero Mile",25.250765599999998,87.0208914,ChIJ9RuwkwZJ8DkR9924fQUlRUY,https://www.google.com/maps/place/?q=place_id:ChIJ9RuwkwZJ8DkR9924fQUlRUY,part_399,2026-09-20 20:43:47
Dr faizan alam,Therapy Center,Chiropractor,Chiropractor,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 84346 82550,http://drfaizanalam.com/,4.7,69.0,"k bagal me, sbi ATM k, Sia toly wali gali, samne wali gali me board lga hua hai dr Faizan alam, nearby Muslim minority college, Bhagalpur, Bihar 812002",Tatarpur,25.2396986,86.9622423,ChIJoa4ZCmRJ8DkRX2b_v-p_3Ws,https://www.google.com/maps/place/?q=place_id:ChIJoa4ZCmRJ8DkRX2b_v-p_3Ws,part_399,2026-09-20 20:43:48
Advance Neuro Rehab Center,Therapy Center,Child health care center,Child health care center,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 83406 09846,N/A,5.0,3.0,"lower, Nathnagar road, near chowk, Asanandpur, Bhagalpur, Bihar 812002",Asanandpur,25.2412045,86.9612987,ChIJD9qXJUpL8DkRrof23LbNUzM,https://www.google.com/maps/place/?q=place_id:ChIJD9qXJUpL8DkRrof23LbNUzM,part_399,2026-09-20 20:43:48
Dr.B.K.Singh Neuro Physiotherapy Centre,Therapy Center,Physiotherapy Center,Physiotherapy Center,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",N/A,N/A,2.4,9.0,"Radha Rani Sinha Rd, near navyug vidhyalay, Adampur, Bhagalpur, Bihar 812001",Adampur,25.250953799999998,86.9831365,ChIJVckp0QFK8DkRiyg0LouyNrE,https://www.google.com/maps/place/?q=place_id:ChIJVckp0QFK8DkRiyg0LouyNrE,part_399,2026-09-20 20:43:48
RAUNAK Hijama Cupping Therapy Clinic,Therapy Center,Physiotherapist,Physiotherapist,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 79090 47689,N/A,4.9,,"Hatiya road, Tilkamanjhi, near Madhu Gas agency, Tilka manjhi, Bhagalpur, Bihar 812001","Tulsinagar Colony, Bank Colony, Tilka manjhi",25.252984899999998,87.0002463,ChIJc8CXQ0RJ8DkRN3QI5Kv6Z1Y,https://www.google.com/maps/place/?q=place_id:ChIJc8CXQ0RJ8DkRN3QI5Kv6Z1Y,part_399,2026-09-20 20:43:49
"Astha Health Care Wellness - Best Physiotherapy in Bhagalpur | Best Physiotherapy Center in Bhagalpur, Bihar",Therapy Center,Physiotherapist,Physiotherapist,853201,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Amarpur BO, Babhangama BO, Bharamarpur BO",+91 87898 89948,https://neuronhealthcares.com/,5.0,,"in front of Navyug Vidyalaya, Adampur, Bhagalpur, Bihar 812001",Adampur,25.2552132,86.9855309,ChIJ9VOKo8c38DkR2sMKgDcnYek,https://www.google.com/maps/place/?q=place_id:ChIJ9VOKo8c38DkR2sMKgDcnYek,part_399,2026-09-20 20:43:49
