business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aanand Clinic,Clinics,Medical clinic,Medical clinic,853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",N/A,N/A,5.0,2.0,"Road No 14, Tetari, Bihar 853204",853202,25.366219599999997,87.0670859,ChIJaZuafgA78DkRzKB0_m8kivs,https://www.google.com/maps/place/?q=place_id:ChIJaZuafgA78DkRzKB0_m8kivs,part_399,2026-09-20 20:44:21
Anaya clinic care kharik (Bhagalpur),Clinics,Medical clinic,"Medical clinic, Pharmacy",853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",+91 75576 12496,N/A,5.0,7.0,"urdu chowk, Kharik, Bihar 853202",853202,25.369748899999998,87.005839,ChIJEXrgyxUx8DkRTqNVP7KttGU,https://www.google.com/maps/place/?q=place_id:ChIJEXrgyxUx8DkRTqNVP7KttGU,part_399,2026-09-20 20:44:21
J.P.CLINIC,Clinics,Hospital,Hospital,853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",+91 6421 222 002,N/A,4.8,4.0,"Station Parking, Station to NH-31, Naugachhia, Bihar 853204",853202,25.3837934,87.0936763,ChIJl7Yivk868DkRBRatr_5bMNU,https://www.google.com/maps/place/?q=place_id:ChIJl7Yivk868DkRBRatr_5bMNU,part_399,2026-09-20 20:44:21
Swastik poly clinic,Clinics,Hospital,Hospital,853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",+91 97080 64658,N/A,5.0,2.0,"Professor Colony, Makhhatakiya, Naugachhia, Bihar 853204","Professor Colony, Makhhatakiya",25.3915358,87.0987306,ChIJxftvNQA78DkR3ICUP7JTgZU,https://www.google.com/maps/place/?q=place_id:ChIJxftvNQA78DkR3ICUP7JTgZU,part_399,2026-09-20 20:44:21
FAMILY HEALTH CARE,Clinics,Physiotherapy Center,Physiotherapy Center,853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",+91 98884 22334,N/A,4.8,9.0,"near roop vihar resort, Housing Board Colony, chowk, Barari, Bhagalpur, Bihar 812003","Housing Board Colony, chowk",25.2636017,87.01652949999999,ChIJz8faRec38DkRjxoMggNo084,https://www.google.com/maps/place/?q=place_id:ChIJz8faRec38DkRjxoMggNo084,part_399,2026-09-20 20:44:21
Garib Nawaz Clinic,Clinics,Medical clinic,Medical clinic,853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",+91 75640 55963,N/A,,,"Mustafapur Gali, near kuppaghat, Kuppaghat, Bhagalpur, Bihar 812003",Kuppaghat,25.2656583,87.0087573,ChIJhW5_aaI38DkRBulcPho48VI,https://www.google.com/maps/place/?q=place_id:ChIJhW5_aaI38DkRBulcPho48VI,part_399,2026-09-20 20:44:21
Late B.P Yadav Memorial Nishulk Chikatsha Paramarsh Kendra,Clinics,Free clinic,Free clinic,853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",N/A,N/A,5.0,337.0,"Haldhar Jha Lane, Barari, Bhagalpur, Bihar 812003",853202,25.2653267,87.02284619999999,ChIJU-c2tkg38DkRY-uP3Uok6Ug,https://www.google.com/maps/place/?q=place_id:ChIJU-c2tkg38DkRY-uP3Uok6Ug,part_399,2026-09-20 20:44:21
शुभम क्लिनिक जेनरल फिजिशियन,Clinics,Medical clinic,Medical clinic,853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",N/A,N/A,5.0,1.0,"CX5Q+624, koshi River Dam, Isapur, Bihar 853203",853202,25.408013999999998,86.98758749999999,ChIJqx26K08x8DkR_bGfw378Myg,https://www.google.com/maps/place/?q=place_id:ChIJqx26K08x8DkR_bGfw378Myg,part_399,2026-09-20 20:44:21
PERMILA HELTHCARE PRATAPNAGAR NAUGACHIA BHAGALPUR,Clinics,Oriental medicine clinic,Oriental medicine clinic,853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",N/A,N/A,,,"PRATAPNAGAR MAHAVEER MANDIR, opposite SIDE MILAN CHOKH, KADWA, Naugachhia, Bihar 853204",KADWA,25.3873769,87.0979964,ChIJ3eoCOEg78DkRvWqj_Q0IDnI,https://www.google.com/maps/place/?q=place_id:ChIJ3eoCOEg78DkRvWqj_Q0IDnI,part_399,2026-09-20 20:44:21
Ananya Sanjivani Clinic,Clinics,Gynecologist,Gynecologist,853202,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Akidatpur BO, Bhawanpura BO, Ishapur Chorhar BO",+91 93501 09124,N/A,5.0,4.0,"Janak Singh Road, Mumtaz Mohalla Rd, Naugachhia, Bihar 853204",853202,25.389666,87.0999044,ChIJr4SQaOM78DkRBgsYjDzmd4M,https://www.google.com/maps/place/?q=place_id:ChIJr4SQaOM78DkRBgsYjDzmd4M,part_399,2026-09-20 20:44:21
