business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jindal Panther TMT Dealer - Gourav Steel | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 96938 03451,https://www.jindalpanther.com/,,,"Block Road Kahalgaon, Naugachhia, Bihar 813203",853204,25.3865303,87.1116895,ChIJQcIBhrs78DkRrOX-Tlv2gwc,https://www.google.com/maps/place/?q=place_id:ChIJQcIBhrs78DkRrOX-Tlv2gwc,part_399,2026-09-20 20:46:10
Jindal Panther TMT Dealer - Om Traders(Bhagalpur) | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 99392 21667,https://www.jindalpanther.com/,,,"Ekchari, Kahalgaon Dhanaura, Bihar 813204","Golaghat, Old City",25.248921799999998,86.9694423,ChIJrxlg1Cpr8DkR_F9PMp_IOMU,https://www.google.com/maps/place/?q=place_id:ChIJrxlg1Cpr8DkR_F9PMp_IOMU,part_399,2026-09-20 20:46:10
"Jindal Panther TMT Dealer - Om Enterprises, Bhagalpur | TMT Rebars & Sariya Supplier",TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 62059 73109,https://www.jindalpanther.com/,,,"Aliganj, Mahespur, Bhagalpur, Bihar 812005",Aliganj,25.2461588,86.9732798,ChIJ1atceplL8DkRRm9L0YVao7Y,https://www.google.com/maps/place/?q=place_id:ChIJ1atceplL8DkRRm9L0YVao7Y,part_399,2026-09-20 20:46:10
Jindal Panther TMT Dealer - Mahadev Trading Co. | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 82101 07785,https://www.jindalpanther.com/,,,"Goldar Patti, Nathnagar, Bhagalpur, Bihar 812006",Nathnagar,25.226549,86.93245809999999,ChIJOwobrZ9L8DkRr2WDVX_iSxo,https://www.google.com/maps/place/?q=place_id:ChIJOwobrZ9L8DkRr2WDVX_iSxo,part_399,2026-09-20 20:46:10
"Jindal Panther TMT Dealer - Om Enterprises, Bhagalpur |TMT Rebars & Sariya Supplier",TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 62059 73109,https://www.jindalpanther.com/,5.0,1.0,"Aliganj, Mahespur, Bhagalpur, Bihar 812005",Aliganj,25.246196899999997,86.9732186,ChIJ-3bU6tVX7TkRdekNd4WV37E,https://www.google.com/maps/place/?q=place_id:ChIJ-3bU6tVX7TkRdekNd4WV37E,part_399,2026-09-20 20:46:10
Jindal Panther TMT Dealer - Maa Kamakhya Enterprises | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 84060 35213,https://www.jindalpanther.com/,5.0,1.0,"Ward No-8, Mathura Pur, Bihar 813222",853204,25.293609099999998,87.3327796,ChIJOQgfzhcT8DkRc5h9tdWwzv4,https://www.google.com/maps/place/?q=place_id:ChIJOQgfzhcT8DkRc5h9tdWwzv4,part_399,2026-09-20 20:46:10
Jindal Panther TMT Dealer - Agarwal Iron And Steel |TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 70047 43488,https://www.jindalpanther.com/,,,"F723+23X, Kursela, Bihar 854104",853204,25.450142099999997,87.2526159,ChIJ70DLoUUZ8DkRMX6ZjovHW2M,https://www.google.com/maps/place/?q=place_id:ChIJ70DLoUUZ8DkRMX6ZjovHW2M,part_399,2026-09-20 20:46:10
Jindal Panther TMT Dealer - Om Traders(Bhagalpur) | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 99392 21667,https://www.jindalpanther.com/,5.0,1.0,"No. 101, University road, Golaghat, Sarai, Bhagalpur, Bihar 812002","Golaghat, Sarai",25.248922399999998,86.9694541,ChIJ0dGvGwlK8DkRZY9KlDEmuDc,https://www.google.com/maps/place/?q=place_id:ChIJ0dGvGwlK8DkRZY9KlDEmuDc,part_399,2026-09-20 20:46:10
Jindal Panther TMT Dealer - M M Traders | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 99314 80340,https://www.jindalpanther.com/,,,"Sultanpur, Amarpur, Bihar 813101",853204,25.0771847,86.9158209,ChIJCxpSlftN8DkRYt6WlJfFkmY,https://www.google.com/maps/place/?q=place_id:ChIJCxpSlftN8DkRYt6WlJfFkmY,part_399,2026-09-20 20:46:10
Jindal Panther TMT Dealer - Teghiya Steel | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",853204,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Abhiya bazarBO, Arajpur BO, Baisi jahangira BO",+91 83405 15721,https://www.jindalsteel.in/,,,"GHMQ+J5R, NH 31, Army Colony, Dwasay, Katihar, Bihar 854105","Army Colony, Dwasay",25.5337861,87.5876845,ChIJC4HAlqCp-jkRgOjojW16zZw,https://www.google.com/maps/place/?q=place_id:ChIJC4HAlqCp-jkRgOjojW16zZw,part_399,2026-09-20 20:46:10
