business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Yatra Tour And Travels,Bus Booking Agency,Travel agency,"Travel agency, Passport Agent",854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",+91 91555 63663,N/A,4.9,117.0,"GIRJA CHOWK, near PASPORT OFFICE, Shivaji Colony, Purnia, Bihar 854301",Shivaji Colony,25.7795442,87.4749674,ChIJ9-7CcQL57zkRraEukfpKoVY,https://www.google.com/maps/place/?q=place_id:ChIJ9-7CcQL57zkRraEukfpKoVY,part_399,2026-09-20 20:48:29
Bus Stand,Bus Booking Agency,Van rental agency,Van rental agency,854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",+91 95343 59813,N/A,3.9,500.0,"Banmankhi Bazar, Bihar 854202",854102,25.893364599999998,87.19737909999999,ChIJ2ech00bC7zkREyEIC1IAd_0,https://www.google.com/maps/place/?q=place_id:ChIJ2ech00bC7zkREyEIC1IAd_0,part_399,2026-09-20 20:48:29
Bus Stand Purnia,Bus Booking Agency,Bus depot,"Bus depot, Bus company",854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",+91 612 223 3333,N/A,3.7,4975.0,"Mehboob Khan Tola, Purnia, Bihar 854301",Mehboob Khan Tola,25.767493299999998,87.4716675,ChIJ9b4AuwP57zkRW4nlmhtUrj4,https://www.google.com/maps/place/?q=place_id:ChIJ9b4AuwP57zkRW4nlmhtUrj4,part_399,2026-09-20 20:48:29
Online digital seva,Bus Booking Agency,Railway Ticket Agent,Railway Ticket Agent,854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",N/A,N/A,,,"Raghubansh nagar, Bihar 854203",854102,25.7578137,87.0632986,ChIJ1zMc19nb7zkRM9zZtQPKpG0,https://www.google.com/maps/place/?q=place_id:ChIJ1zMc19nb7zkRM9zZtQPKpG0,part_399,2026-09-20 20:48:29
Purnea To Patna Bus agency,Bus Booking Agency,Bus tour agency,Bus tour agency,854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",+91 89698 38957,N/A,4.3,3.0,"Bus stand, Mehboob Khan Tola, Purnia, Bihar 854301",Mehboob Khan Tola,25.7673439,87.4712126,ChIJub4D_gL57zkRyDXIy8xMIM0,https://www.google.com/maps/place/?q=place_id:ChIJub4D_gL57zkRyDXIy8xMIM0,part_399,2026-09-20 20:48:29
Purnea Bus stand,Bus Booking Agency,Bus ticket agency,Bus ticket agency,854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",N/A,N/A,4.0,156.0,"Bus Stand, Purnia Main, Mehboob Khan Tola, Purnia, Bihar 854301",Mehboob Khan Tola,25.7674167,87.4717517,ChIJM5VeSgD57zkRrEUlQAVdyxM,https://www.google.com/maps/place/?q=place_id:ChIJM5VeSgD57zkRrEUlQAVdyxM,part_399,2026-09-20 20:48:29
Sarkari Bus Stand,Bus Booking Agency,Bus tour agency,Bus tour agency,854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",N/A,N/A,4.1,19.0,"QF9C+9CR, Mehboob Khan Tola, Purnia, Bihar 854301",Mehboob Khan Tola,25.768480999999998,87.47102939999999,ChIJCz58wbv57zkRoRnXzk6-sJQ,https://www.google.com/maps/place/?q=place_id:ChIJCz58wbv57zkRoRnXzk6-sJQ,part_399,2026-09-20 20:48:29
ROYAL SUNDRAM,Bus Booking Agency,Tour operator,"Tour operator, Bus tour agency",854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",+91 62079 23861,N/A,4.8,6.0,"Bus stand, main road, near bus stand, Shanti nagar, Mariam Nagar, Purnia, Bihar 854301","Shanti nagar, Mariam Nagar",25.7657599,87.46952569999999,ChIJVYPEHsv57zkR8n0wUIGvSxg,https://www.google.com/maps/place/?q=place_id:ChIJVYPEHsv57zkR8n0wUIGvSxg,part_399,2026-09-20 20:48:29
Mata Travels,Bus Booking Agency,Railway Ticket Agent,"Railway Ticket Agent, Airline ticket agency, Travel agency",854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",+91 88777 83581,N/A,4.3,3.0,"Kalabhawan Road, Infront Of S.B.I. Zonal Office, Purnia, Bihar 854301",Shivaji Colony,25.7778213,87.4687775,ChIJ07VGinn57zkRkWm829yhm3w,https://www.google.com/maps/place/?q=place_id:ChIJ07VGinn57zkRkWm829yhm3w,part_399,2026-09-20 20:48:29
R TRAVEL AGENCY,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Bus ticket agency, Service establishment",854102,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Chopra Ram Nagar SO, Akarthapa BO, Bhargama BO",+91 82502 91199,N/A,5.0,1.0,"R TRAVEL AGENCY, 854102, India",854102,25.9371181,87.8472441,ChIJzRqJRFpH5TkRq984aDBPo9o,https://www.google.com/maps/place/?q=place_id:ChIJzRqJRFpH5TkRq984aDBPo9o,part_399,2026-09-20 20:48:29
