business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr. Kumar abhishek (MBBS MD) clinic,Doctors,Doctor,Doctor,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",+91 88775 01405,N/A,,,"At- THAKUR BARI CHOWK NAWABGANJ MANIHARI NH-131, KATIHAR HIGHWAY, Manihari, Bihar 854113",854113,25.369870499999998,87.62854349999999,ChIJs4IM6A6l-jkRGxi4x5CplnU,https://www.google.com/maps/place/?q=place_id:ChIJs4IM6A6l-jkRGxi4x5CplnU,part_399,2026-09-20 20:55:19
Dr. Shankar Prasad Gupta,Doctors,Ayurvedic clinic,Ayurvedic clinic,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",N/A,N/A,5.0,,"At, Banipur Bihari dhala, near ma Sona dharmkata, Manihari, Ratanpur, Bihar 854113",854113,25.4132164,87.5875551,ChIJh_2gGRij-jkRgbosx_7I9GA,https://www.google.com/maps/place/?q=place_id:ChIJh_2gGRij-jkRgbosx_7I9GA,part_399,2026-09-20 20:55:19
Dr numan ahmad,Doctors,Doctor,Doctor,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",N/A,N/A,5.0,,"Ghasiya ghat, Ahad steel, Bhalgaur, Bihar 854116",854113,25.4320175,87.7172616,ChIJ1TB9fVS7-jkRdH5Rf4f1hpg,https://www.google.com/maps/place/?q=place_id:ChIJ1TB9fVS7-jkRdH5Rf4f1hpg,part_399,2026-09-20 20:55:19
Yogmaya Medical,Doctors,Doctor,Doctor,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",N/A,N/A,,,"9J6G+FJJ, Katihar-Manihari Rd, Baghmara, Nawabganj, Bihar 854113",854113,25.3612005,87.6265253,ChIJub2HkbSl-jkR3OnzzGivgGU,https://www.google.com/maps/place/?q=place_id:ChIJub2HkbSl-jkR3OnzzGivgGU,part_399,2026-09-20 20:55:19
DR MD AZIZ,Doctors,Medical clinic,Medical clinic,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",N/A,http://yasir.com/,2.0,,"At chikni tola p.o kehunia p.s pranpur, Katihar, Bihar 854116",854113,25.4453896,87.68428829999999,ChIJ64HT26-l-jkR-v5I99JCCTU,https://www.google.com/maps/place/?q=place_id:ChIJ64HT26-l-jkR-v5I99JCCTU,part_399,2026-09-20 20:55:19
Dr. Suresh ch. Roy Homeopath,Doctors,Doctor,Doctor,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",+91 82526 21841,N/A,,,"High school road, Manihari, Bihar 854113",854113,25.341944299999998,87.617497,ChIJBS233huh-jkRIyrD8kM1C3w,https://www.google.com/maps/place/?q=place_id:ChIJBS233huh-jkRIyrD8kM1C3w,part_399,2026-09-20 20:55:19
Gautam doctor,Doctors,Doctor,Doctor,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",N/A,N/A,,,"Garad tola, Nawabganj, Bihar 854113",854113,25.368970299999997,87.6308609,ChIJESJcAV2l-jkRdde9gMRnqcs,https://www.google.com/maps/place/?q=place_id:ChIJESJcAV2l-jkRdde9gMRnqcs,part_399,2026-09-20 20:55:19
Krishna Medical Manshahi,Doctors,Hospital,Hospital,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",+91 94702 63368,N/A,4.3,10.0,"Hospital Rd, Mansahi, Bihar 854103",854113,25.4716193,87.5708772,ChIJxdHxdmao-jkRdo64nqeJyX4,https://www.google.com/maps/place/?q=place_id:ChIJxdHxdmao-jkRdo64nqeJyX4,part_399,2026-09-20 20:55:20
CHH0TI BATHNA Chaucke,Doctors,Doctor,Doctor,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",+91 80848 17417,N/A,4.3,6.0,"FHV7+JW9, Chitauria, Bihar 854103",854113,25.494036599999998,87.5648568,ChIJV6wLQJqp-jkR71awZF6IF8U,https://www.google.com/maps/place/?q=place_id:ChIJV6wLQJqp-jkR71awZF6IF8U,part_399,2026-09-20 20:55:20
Manshahi Hospital,Doctors,Hospital,Hospital,854113,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Manihari SO, BNDIARA BO, Dilarpur BO",+91 96618 04071,N/A,3.5,12.0,"FHCC+WP7, Mansahi, Bihar 854103",854113,25.4722837,87.5718065,ChIJ_____26o-jkR2dW3NfjX0mk,https://www.google.com/maps/place/?q=place_id:ChIJ_____26o-jkR2dW3NfjX0mk,part_399,2026-09-20 20:55:20
