business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rajeev Electrical Work,Electrician,Electrician,Electrician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 87092 27260,N/A,5.0,2.0,"Mahaveer, Mahabir Mandir Rd, Naya Tola, Tingachiya, Katihar, Bihar 854105","Naya Tola, Tingachiya",25.5335789,87.57582049999999,ChIJQZ1OIG-p-jkReOw3cASpCt8,https://www.google.com/maps/place/?q=place_id:ChIJQZ1OIG-p-jkReOw3cASpCt8,part_400,2026-09-20 20:19:05,2430
ASHISH ELECTRICALS,Electrician,Electrician,Electrician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,8.0,"Gera Bari Rd, near india hotel, Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.557871,87.5553592,ChIJczxoc6Sr-jkRfVQyPkOX_eU,https://www.google.com/maps/place/?q=place_id:ChIJczxoc6Sr-jkRfVQyPkOX_eU,part_400,2026-09-20 20:19:05,2431
Rahul Electrician,Electrician,Electrician,Electrician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 93041 73295,N/A,5.0,3.0,"10, Mail Basa Daheriya, Bihar 854105",Tingachiya,25.528101099999997,87.568652,ChIJw3ilInap-jkRkNovnJwQzhE,https://www.google.com/maps/place/?q=place_id:ChIJw3ilInap-jkRkNovnJwQzhE,part_400,2026-09-20 20:19:05,2432
Avinash mistri,Electrician,Electrician,Electrician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 70615 56056,http://symphonious-buttercream-464c6d.netlify.app/,5.0,51.0,"Purnia, Maranga, Bihar 854303",854114,25.7268361,87.45401319999999,ChIJ4Ryotoj97zkR_tB1ZOIZxZ8,https://www.google.com/maps/place/?q=place_id:ChIJ4Ryotoj97zkR_tB1ZOIZxZ8,part_400,2026-09-20 20:19:05,2433
Electrician house,Electrician,Housing society,Housing society,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"H8X3+64X, Basaili, Bihar 854114",854114,25.5981195,87.30285579999999,ChIJh0MLt2Qd8DkRvLggjLcxC4M,https://www.google.com/maps/place/?q=place_id:ChIJh0MLt2Qd8DkRvLggjLcxC4M,part_400,2026-09-20 20:19:05,2434
"Sachin Electrician Rambagh, Purnia",Electrician,Electrical repair shop,Electrical repair shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 76542 97595,N/A,4.9,61.0,"Bhatta Bazar, Purnia, Bihar 854301",Bhatta Bazar,25.766948499999998,87.4863553,ChIJv9zIo9f57zkRu7hGVOyG3U0,https://www.google.com/maps/place/?q=place_id:ChIJv9zIo9f57zkRu7hGVOyG3U0,part_400,2026-09-20 20:19:05,2435
Md Kasim Electrician,Electrician,Electronics repair shop,Electronics repair shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 96081 01197,N/A,1.0,1.0,"Shop1ward2 Bari Chater, Rod, Bihar 854110",Rod,25.669445,87.33835839999999,ChIJv_6aqBjj7zkRj0Uxt0syxt0,https://www.google.com/maps/place/?q=place_id:ChIJv_6aqBjj7zkRj0Uxt0syxt0,part_400,2026-09-20 20:19:05,2436
Mukesh electrician pothia,Electrician,Apartment building,Apartment building,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"G7R6+5RX, Pothia, Shabda, Bihar 854114",854114,25.540479299999998,87.2621063,ChIJuYvBxBsZ8DkR9yaLyXbWA7k,https://www.google.com/maps/place/?q=place_id:ChIJuYvBxBsZ8DkR9yaLyXbWA7k,part_400,2026-09-20 20:19:05,2437
Taufijul Electrician 💡 तौफिजुल इलेक्ट्रिक,Electrician,Electrician,Electrician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,1.0,"Babban Bari, Hathawara, Falka, Bihar 854114",854114,25.6186269,87.34016369999999,ChIJTyk4MwAd8DkRQGMN40gAAhM,https://www.google.com/maps/place/?q=place_id:ChIJTyk4MwAd8DkRQGMN40gAAhM,part_400,2026-09-20 20:19:05,2438
Sudhir electrician (🏠House) Pothia,Electrician,Housing society,Housing society,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 95233 34760,N/A,3.3,3.0,"G7V6+MXQ, Kursela - Forbesganj Rd, Pothia, Shabda, Bihar 854114",854114,25.544224699999997,87.2624775,ChIJZ-TXBQAf8DkR4DFhNFgtTe0,https://www.google.com/maps/place/?q=place_id:ChIJZ-TXBQAf8DkR4DFhNFgtTe0,part_400,2026-09-20 20:19:05,2439
