business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
M/s gupta banana supplier,Exporters,Housing society,Housing society,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"J72G+QVW, Govindpur, Rangakol, Bihar 854114",854114,25.6019875,87.2772031,ChIJp2FwPgAf8DkRlw4EwjdXvGE,https://www.google.com/maps/place/?q=place_id:ChIJp2FwPgAf8DkRlw4EwjdXvGE,part_400,2026-09-20 20:19:24,4511
Bharat Enterprises,Exporters,Exporter,Exporter,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99312 43241,N/A,,,"Falka, Falka Bazar, Katihar, Bihar 854114",Falka Bazar,25.6377593,87.2769098,ChIJab8lxQ_h7zkRGZNJWSZ02vk,https://www.google.com/maps/place/?q=place_id:ChIJab8lxQ_h7zkRGZNJWSZ02vk,part_400,2026-09-20 20:19:24,4512
M/s Shiv Shakti Traders,Exporters,Fertilizer Store,Fertilizer Store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 88251 92706,N/A,4.5,,"Baretha, Bihar 854114",854114,25.6615412,87.2726244,ChIJ0djLDrjh7zkRUe7Dji1D_e8,https://www.google.com/maps/place/?q=place_id:ChIJ0djLDrjh7zkRUe7Dji1D_e8,part_400,2026-09-20 20:19:24,4513
Irshad kishan khad bij bandar morsanda,Exporters,Agricultural Seed Store,Agricultural Seed Store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"M84G+V8H, Morsanda, Bihar 854110",854114,25.657193,87.3258632,ChIJQX2wfADj7zkRiTQaPWSgJKo,https://www.google.com/maps/place/?q=place_id:ChIJQX2wfADj7zkRiTQaPWSgJKo,part_400,2026-09-20 20:19:24,4514
C B Enterprises,Exporters,Fertilizer Store,Fertilizer Store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 86779 39555,N/A,4.9,,"Shop No 55, Rao Sahab Chowk, Lila, Mali, Bihar 854204",Lila,25.6400139,87.2493945,ChIJDRlKU84f8DkRAydKo8Slwvg,https://www.google.com/maps/place/?q=place_id:ChIJDRlKU84f8DkRAydKo8Slwvg,part_400,2026-09-20 20:19:24,4515
Morsanda,Exporters,Store fixture supplier,Store fixture supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"M84F+5PV, Morsanda, Bihar 854110",854114,25.6554814,87.3242843,ChIJn2ZPcQDj7zkRjslyEolaa14,https://www.google.com/maps/place/?q=place_id:ChIJn2ZPcQDj7zkRjslyEolaa14,part_400,2026-09-20 20:19:24,4516
HYBITE FOODS LLP Makhana Exporter & Supplier- Katihar ( Bihar ),Exporters,Food manufacturer,Food manufacturer,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 84848 99592,https://hybitefoods.com/,5.0,,"INFRONT OF DURGA MANDIR, KADHAGOLA ROAD, near GEDABADI, GURUBAZAR, Barari, Bhaisdiara, Bihar 854104",GURUBAZAR,25.5088209,87.38070379999999,ChIJu7wwSjsb8DkRh0xa94UXwDk,https://www.google.com/maps/place/?q=place_id:ChIJu7wwSjsb8DkRh0xa94UXwDk,part_400,2026-09-20 20:19:25,4517
National Makhana Udyog,Exporters,Exporter,"Exporter, Food manufacturer, Food Processing Company, Food producer, Food products supplier, Nut store, Packaging company, Wholesaler",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94721 25387,http://www.nationalmakhana.com/,4.8,,"Gorgaon Road, Charkhi, Bihar 854108",854114,25.603009999999998,87.42282329999999,ChIJs60_6RYD8DkRfPFzUPjH_C0,https://www.google.com/maps/place/?q=place_id:ChIJs60_6RYD8DkRfPFzUPjH_C0,part_400,2026-09-20 20:19:25,4518
M/S Vishwakarma Saw Mill,Exporters,Saw mill,Saw mill,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 88049 48095,N/A,4.4,,"Vishnu Chak 854101, Sameli, Bihar 854101",854114,25.4986042,87.26504849999999,ChIJz_mcHAEZ8DkR-wLuOCMZrFA,https://www.google.com/maps/place/?q=place_id:ChIJz_mcHAEZ8DkR-wLuOCMZrFA,part_400,2026-09-20 20:19:25,4519
Latifi Silk,Exporters,Manufacturer,"Manufacturer, Fabric wholesaler, Silk store, Textile Exporter",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 641 260 1335,http://www.latifisilks.com/,4.7,,"Hussainabad, Bounsi Road, Bhagalpur, Bihar 812005",Tilkamanjhi,25.229561699999998,86.9735153,ChIJF5ugFRhK8DkR_LdmWRqlvtU,https://www.google.com/maps/place/?q=place_id:ChIJF5ugFRhK8DkR_LdmWRqlvtU,part_400,2026-09-20 20:19:25,4520
पानी टंकी खैरा,Exporters,Rainwater tank supplier,Rainwater tank supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,4.3,,"Barauni - Purnea Hwy, Bakhri, Khaira, Bihar 854101",854114,25.504285199999998,87.2679562,ChIJ33EXoKAZ8DkRxQqZe9dx2Io,https://www.google.com/maps/place/?q=place_id:ChIJ33EXoKAZ8DkRxQqZe9dx2Io,part_400,2026-09-20 20:19:25,4521
Juli Kumari,Exporters,Exporter,Exporter,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 98356 21167,N/A,,,"Shop No 1 Ward No 4 Pithiya, Falka Road, Shabda, Bihar 854114",854114,25.545694599999997,87.2663463,ChIJI18FCWgf8DkR6OWnRcx7BUA,https://www.google.com/maps/place/?q=place_id:ChIJI18FCWgf8DkR6OWnRcx7BUA,part_400,2026-09-20 20:19:26,4522
RAJA PART PILLAR,Exporters,Exporter,Exporter,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 81026 36353,N/A,,,"Shop No-01, Main Road, near Sarswati Steel Hardware, Dhusar-Tikapatti, Bihar 854101",854114,25.5197261,87.20895469999999,ChIJBYrRGnsj8DkRV4nxry05VTA,https://www.google.com/maps/place/?q=place_id:ChIJBYrRGnsj8DkRV4nxry05VTA,part_400,2026-09-20 20:19:26,4523
Alkesh Enterprises,Exporters,Exporter,Exporter,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 62045 21271,N/A,,,"08, Dumar, Bihar 854104",854114,25.537242799999998,87.3405837,ChIJKfdSQn4b8DkR7em-j2poMNo,https://www.google.com/maps/place/?q=place_id:ChIJKfdSQn4b8DkR7em-j2poMNo,part_400,2026-09-20 20:19:26,4524
Fashion king,Exporters,Garment Exporter,Garment Exporter,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 78888 07014,N/A,5.0,3.0,"Salam chowk, Katihar, Bihar 854106",854115,25.5631718,87.48636929999999,ChIJdUbYRAUB8DkRJL-AAX2gD48,https://www.google.com/maps/place/?q=place_id:ChIJdUbYRAUB8DkRJL-AAX2gD48,part_400,2026-09-20 20:20:09,6840
