business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Daya Khad Beej Bhandar,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,2.6,,"Haflaganj, hanuman chowk, Katihar, Bihar 854103",hanuman chowk,25.4951637,87.5893687,ChIJNYSfISSp-jkROHTmPVOgV8o,https://www.google.com/maps/place/?q=place_id:ChIJNYSfISSp-jkROHTmPVOgV8o,part_400,2026-09-20 20:19:23,4407
Argh Agro,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural Product Wholesaler, Agrochemicals Supplier, Farm Equipment Repair Shop, Plant nursery, Agricultural Seed Store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 80514 26669,N/A,4.8,,"XG5W+6VR, Bihra, Bihar 852124",854114,25.9581482,86.5470282,ChIJF8K-B3cV7jkRjbWg-G-EbnI,https://www.google.com/maps/place/?q=place_id:ChIJF8K-B3cV7jkRjbWg-G-EbnI,part_400,2026-09-20 20:19:23,4408
Maa Fertilizer Mirganj,Fertilizer and Pesticide Dealer,Pest control service,Pest control service,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 95345 30183,N/A,,,"Shop No 2 Ward No 1, Nera HDFC Bank, Mirganj, Bihar 854304",854114,25.7431318,87.2770749,ChIJXdcrXmvn7zkRAcH2kzl2nj4,https://www.google.com/maps/place/?q=place_id:ChIJXdcrXmvn7zkRAcH2kzl2nj4,part_400,2026-09-20 20:19:23,4409
Nijam khad beej Bhandar,Fertilizer and Pesticide Dealer,Grocery store,Grocery store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 62019 67357,N/A,4.8,,"Shop No.03 Ward No.07, Salam Chowk, near Airtel Tower, Katihar, Bihar 854106",854114,25.5621805,87.4866881,ChIJ3xYGGSQB8DkRvB1MC-Bsdac,https://www.google.com/maps/place/?q=place_id:ChIJ3xYGGSQB8DkRvB1MC-Bsdac,part_400,2026-09-20 20:19:23,4410
Kishan Fertilizer,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94716 74075,N/A,5.0,,"near kali mandir, Naya Tola, Tingachiya, Katihar, Bihar 854103","Naya Tola, Tingachiya",25.529951999999998,87.5770204,ChIJMU00ZJ6p-jkRxPYCDUiwnic,https://www.google.com/maps/place/?q=place_id:ChIJMU00ZJ6p-jkRxPYCDUiwnic,part_400,2026-09-20 20:19:24,4411
Maa Saraswati Agro Chemicals,Fertilizer and Pesticide Dealer,Agrochemicals Supplier,"Agrochemicals Supplier, Agricultural Product Wholesaler",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 6452 244 027,"https://jsdl.in/DT-99S5B3MT,%20Hey%20Checkout%20this%20listing%20on%20Justdial!",4.4,,"Gami Tola, Katihar, Bihar 854105",Gami Tola,25.540484799999998,87.57728,ChIJI8EfRoKp-jkRsTCD2v2_H5M,https://www.google.com/maps/place/?q=place_id:ChIJI8EfRoKp-jkRsTCD2v2_H5M,part_400,2026-09-20 20:19:24,4412
M.H.NOORI FERTILIZER AND SEEDS,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Farmers' market, Agricultural Seed Store",854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 95739 23086,N/A,5.0,,"Milikpur Haat Minhaj Market Telta, Balram Pur, Bihar 854317",854115,25.855287,87.8541473,ChIJxziLhtNH5TkRWleU3yWJjWU,https://www.google.com/maps/place/?q=place_id:ChIJxziLhtNH5TkRWleU3yWJjWU,part_400,2026-09-20 20:20:08,6789
Aardra Agro Agency,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Animal feed store, Agricultural Product Wholesaler, Agricultural Seed Store",854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 97765 26666,N/A,4.9,,"564, Saraiya, Hata , Hata Mahdaich Road Bandhan Bank, Chainpur, Hata, Bhabua, Bihar 821106",854115,25.0488759,83.4541134,ChIJY46L8j9zjjkRwsRqJ-Yx6ZQ,https://www.google.com/maps/place/?q=place_id:ChIJY46L8j9zjjkRwsRqJ-Yx6ZQ,part_400,2026-09-20 20:20:08,6790
ROHIT FERTILIZER,Fertilizer and Pesticide Dealer,Store,Store,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",N/A,N/A,4.8,,"UDAMAREKHA CHOWK, Daheria, Bihar 854103",UDAMAREKHA CHOWK,25.5113712,87.5837495,ChIJzWBoy6qp-jkRE4lXIBQ6BeY,https://www.google.com/maps/place/?q=place_id:ChIJzWBoy6qp-jkRE4lXIBQ6BeY,part_400,2026-09-20 20:20:08,6791
Fertilizer Centre,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",N/A,N/A,4.5,,"Gami Tola, Katihar, Bihar 854105",Gami Tola,25.5407405,87.5774124,ChIJvSS8QIKp-jkRWcHBrq9e_yk,https://www.google.com/maps/place/?q=place_id:ChIJvSS8QIKp-jkRWcHBrq9e_yk,part_400,2026-09-20 20:20:08,6792
