business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sk Refrigeration Canter,Importers,Wholesaler,"Wholesaler, Egg supplier",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 62044 96955,https://youtube.com/channel/UCbRDNWfH7WXEkeBlMEjBScA,3.0,,"State Highway 65, Rangpura North, Bihar 854304",854114,25.743798299999998,87.28031349999999,ChIJBUxOdMjm7zkRG3odzbDqSHg,https://www.google.com/maps/place/?q=place_id:ChIJBUxOdMjm7zkRG3odzbDqSHg,part_400,2026-09-20 20:19:24,4525
Sayman marble Agency,Importers,Marble supplier,Marble supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 82106 65231,https://www.saymanmarbleajency.com/,,,"Navi Nagar Athgama, Falka, Katihar, Bihar 854114",854114,25.6154455,87.2825707,ChIJrTxKzGAf8DkRxDI_dtEgPag,https://www.google.com/maps/place/?q=place_id:ChIJrTxKzGAf8DkRxDI_dtEgPag,part_400,2026-09-20 20:19:24,4526
Maa tara agro foods and layer farm,Importers,Egg supplier,Egg supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 76976 90086,N/A,4.9,,"Birauli bazar, Rupauli, Dhobgidha, Bihar 854101",Birauli bazar,25.571258699999998,87.1795118,ChIJMb_E0jYh8DkRukRTH6nGdUo,https://www.google.com/maps/place/?q=place_id:ChIJMb_E0jYh8DkRukRTH6nGdUo,part_400,2026-09-20 20:19:24,4527
Ali Distributors,Importers,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 97713 42176,N/A,,,"Shop1ward2, Salempur, Rangakol, Bihar 854114",Shop1ward2,25.6041442,87.28493209999999,ChIJAx21Ss8f8DkRaZw4F4mkTmc,https://www.google.com/maps/place/?q=place_id:ChIJAx21Ss8f8DkRaZw4F4mkTmc,part_400,2026-09-20 20:19:24,4528
Matarani Treders,Importers,Fertilizer Store,Fertilizer Store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"M77C+P92 Abhinav Roy, Bareta Chok, Baretha, Bihar 854114",854114,25.6641957,87.2709338,ChIJ8cHMZQDh7zkROV5qCoP3aAQ,https://www.google.com/maps/place/?q=place_id:ChIJ8cHMZQDh7zkROV5qCoP3aAQ,part_400,2026-09-20 20:19:24,4529
CRYSTAL H2O RO WATER PLANT,Importers,Drinking water supplier,Drinking water supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"CRYSTAL H2O, Gerabari - Falka Rd, near Bismillah Masjid, Falka, Katihar, Bihar 854114",854114,25.6333467,87.2807809,ChIJsVx9YhMf8DkRaH-nI-YKUpk,https://www.google.com/maps/place/?q=place_id:ChIJsVx9YhMf8DkRaH-nI-YKUpk,part_400,2026-09-20 20:19:24,4530
R K Shila Distributors,Importers,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91131 77058,N/A,,,"04, Katihar, Bihar 854104",854114,25.507227699999998,87.3729613,ChIJ906qTWIb8DkRpJT6NMHVUbY,https://www.google.com/maps/place/?q=place_id:ChIJ906qTWIb8DkRpJT6NMHVUbY,part_400,2026-09-20 20:19:26,4531
Manish Trading,Importers,Home builder,Home builder,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,3.5,,"Lal Kothi Rd, beside In back church, Larkania Tola, Katihar, Bihar 854105",Larkania Tola,25.5504064,87.5754496,ChIJpaaS5zSr-jkR1c7S35zVvHM,https://www.google.com/maps/place/?q=place_id:ChIJpaaS5zSr-jkR1c7S35zVvHM,part_400,2026-09-20 20:19:26,4532
Baba Traders,Importers,Hardware store,Hardware store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 79798 29386,N/A,5.0,,"13, Katihar, Bihar 854105",Kadwa,25.5388727,87.5724144,ChIJazxR8-up-jkRVuryfNQ9kuQ,https://www.google.com/maps/place/?q=place_id:ChIJazxR8-up-jkRVuryfNQ9kuQ,part_400,2026-09-20 20:19:26,4533
Makhana Bazar Pvt Ltd,Importers,Import export company,Import export company,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 95087 07704,https://www.makhanabazar.link/,5.0,,"W_15, Mushapur, Maheshpur Rd, Korha, Katihar, Bihar 854108",854115,25.6294282,87.41859339999999,ChIJT5nQZhED8DkRYf8NGYXctGw,https://www.google.com/maps/place/?q=place_id:ChIJT5nQZhED8DkRYf8NGYXctGw,part_400,2026-09-20 20:20:09,6815
Global Trade and Suppliers,Importers,Food products supplier,Food products supplier,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",N/A,N/A,,,"NH31, near DADPUR CHOWK, Korha, Bihar 854108",854115,25.613309899999997,87.4005244,ChIJ7fdL7sAD8DkR8CdAmboFDT4,https://www.google.com/maps/place/?q=place_id:ChIJ7fdL7sAD8DkR8CdAmboFDT4,part_400,2026-09-20 20:20:09,6816
Gauri Enterprise,Importers,Import export company,Import export company,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 97170 53810,N/A,,,"Nakipur, Bihar 854106",854115,25.555199899999998,87.4678266,ChIJBWgXl6QB8DkRPvssk2mfnZU,https://www.google.com/maps/place/?q=place_id:ChIJBWgXl6QB8DkRPvssk2mfnZU,part_400,2026-09-20 20:20:09,6817
