business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Maa durga internet point malhariya,Internet Cafe,Internet cafe,Internet cafe,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,1.0,"G7F9+G78, Malhariya sameli, Khaira, Bihar 854114",Malhariya sameli,25.5237913,87.26819119999999,ChIJmblqbQAZ8DkRLyXYwDh4bOs,https://www.google.com/maps/place/?q=place_id:ChIJmblqbQAZ8DkRLyXYwDh4bOs,part_400,2026-09-20 20:19:16,3607
G-7 Cyber Cafe Service Point,Internet Cafe,Cell phone accessory store,Cell phone accessory store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 88774 59215,N/A,5.0,1.0,"SH-77, Shop1ward2, Bhangaha, Falka, Bihar 854114",Shop1ward2,25.5766228,87.27671339999999,ChIJifLTVCsf8DkRQ8njANcc_tc,https://www.google.com/maps/place/?q=place_id:ChIJifLTVCsf8DkRQ8njANcc_tc,part_400,2026-09-20 20:19:16,3608
LALIT ONLINE CENTER AND ELECTRONICS,Internet Cafe,Internet cafe,Internet cafe,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,8.0,"DIST-PURNEA, GORIAR EAST , AADIWASI TOLA WARD NO 3 PS-TIKAPATTI, Rupauli, Bihar 854101",854114,25.555091299999997,87.2176274,ChIJrzt6WOch8DkRVov8QJiOJv4,https://www.google.com/maps/place/?q=place_id:ChIJrzt6WOch8DkRVov8QJiOJv4,part_400,2026-09-20 20:19:16,3609
Angel telecom,Internet Cafe,Internet cafe,"Internet cafe, Cafe",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 88772 07720,N/A,1.0,1.0,"Shobha Devi Vivah Bhawan, Bhabani Addatola, Rahta, Babhani, Bihar 854114",854114,25.657651899999998,87.3042353,ChIJL2Iw5erj7zkRrazRmCTgojA,https://www.google.com/maps/place/?q=place_id:ChIJL2Iw5erj7zkRrazRmCTgojA,part_400,2026-09-20 20:19:16,3610
PRANAV INTERNET WORLD,Internet Cafe,Internet cafe,"Internet cafe, Telecommunications service provider",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 88773 55351,N/A,4.6,5.0,"Ward 15 Makhdampur, Jhiktia, Bihar 854104",854114,25.540613999999998,87.3751442,ChIJT6ogaR8b8DkRC5aQ0r4EFuc,https://www.google.com/maps/place/?q=place_id:ChIJT6ogaR8b8DkRC5aQ0r4EFuc,part_400,2026-09-20 20:19:16,3611
LADLI ONLINE CENTRE,Internet Cafe,Internet cafe,"Internet cafe, Cell phone store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99399 05280,N/A,5.0,1.0,"Shop No 01 Word No 15, nearby Morsanda, Falka Falka, Chok, Morsanda, Bihar 854108","Falka Falka, Chok",25.6558139,87.3243339,ChIJGyH8MkTj7zkRz7Sc7fAd450,https://www.google.com/maps/place/?q=place_id:ChIJGyH8MkTj7zkRz7Sc7fAd450,part_400,2026-09-20 20:19:16,3612
MR Communication,Internet Cafe,Internet cafe,Internet cafe,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,2.0,"AT+PO-POTHIA PS-POTHIA DIST, Bihar 854114",854114,25.5447874,87.2664025,ChIJ66l1z-YZ8DkRobQiZXY094s,https://www.google.com/maps/place/?q=place_id:ChIJ66l1z-YZ8DkRobQiZXY094s,part_400,2026-09-20 20:19:16,3613
Muskan Online Centre,Internet Cafe,Internet cafe,Internet cafe,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 88772 53374,N/A,5.0,1.0,"Muskan Online Center, Terasi Tola, Morsanda, Bihar 854114",Terasi Tola,25.654641599999998,87.3230999,ChIJl9yrZorj7zkRt2yp5PQysP0,https://www.google.com/maps/place/?q=place_id:ChIJl9yrZorj7zkRt2yp5PQysP0,part_400,2026-09-20 20:19:16,3614
Raji Telicom and internet cafe,Internet Cafe,Internet cafe,Internet cafe,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,3.0,1.0,"M8QH+H8Q, Lohjar, Bihar 854303",854114,25.68895,87.3284505,ChIJT2xqsUvj7zkRnbtwz4G-QAs,https://www.google.com/maps/place/?q=place_id:ChIJT2xqsUvj7zkRnbtwz4G-QAs,part_400,2026-09-20 20:19:16,3615
Mithun Cyber Cafe,Internet Cafe,Shopping mall,Shopping mall,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 98352 15889,N/A,,,"Dira, Chandpur East, Bihar 854101",Dira,25.5089857,87.2335533,ChIJn4YIcc0Z8DkR1LjTpm7Llx0,https://www.google.com/maps/place/?q=place_id:ChIJn4YIcc0Z8DkR1LjTpm7Llx0,part_400,2026-09-20 20:19:16,3616
KUSHWAHA COMPUTER,Internet Cafe,Internet cafe,Internet cafe,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 95726 16532,N/A,5.0,2.0,"Chhotki Chatar, Bihar 854110",854114,25.678936099999998,87.34870409999999,ChIJG8ZZrM3j7zkRDn-mFr6b6s4,https://www.google.com/maps/place/?q=place_id:ChIJG8ZZrM3j7zkRDn-mFr6b6s4,part_400,2026-09-20 20:19:16,3617
