business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Irshad Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"Shop No.04 Ward No. 05, near Grampanchayat, Pawai, Katihar, Bihar 854104",854114,25.5549751,87.3548489,ChIJ2TeBNOUd8DkRdRd3uPPYLV8,https://www.google.com/maps/place/?q=place_id:ChIJ2TeBNOUd8DkRdRd3uPPYLV8,part_400,2026-09-20 20:18:53,1209
Jitendra Medical Bareta,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99347 88423,N/A,5.0,2.0,"Shop 12 Ward NO 09, S N S High School, Baretha, Katihar, Bihar 854114",854114,25.6558507,87.2752709,ChIJyTB03Prh7zkRZ5cwURiZ-1w,https://www.google.com/maps/place/?q=place_id:ChIJyTB03Prh7zkRZ5cwURiZ-1w,part_400,2026-09-20 20:18:53,1210
ARTI MEDICAL,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 93041 38890,N/A,5.0,1.0,"01, Katihar, Bihar 854101",854114,25.553247799999998,87.2216456,ChIJQ8javCkh8DkRIvfAetuaRyQ,https://www.google.com/maps/place/?q=place_id:ChIJQ8javCkh8DkRIvfAetuaRyQ,part_400,2026-09-20 20:18:53,1211
Royal Medical Agency,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 72608 14567,N/A,5.0,1.0,"Shop No-02, near Nahar Pull, Falka, Sohatha North, Bihar 854114",854114,25.6375732,87.2781754,ChIJ9Z0BLVof8DkRjLEjxAHTpnY,https://www.google.com/maps/place/?q=place_id:ChIJ9Z0BLVof8DkRjLEjxAHTpnY,part_400,2026-09-20 20:18:53,1212
Chhedi Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"SH 77 , at post- Pothia , p.s- Falka , katihar, Pothia , Katihar, Bihar 854114",854114,25.5427322,87.26602779999999,ChIJPTFcQp0f8DkRusu6eExYHOo,https://www.google.com/maps/place/?q=place_id:ChIJPTFcQp0f8DkRusu6eExYHOo,part_400,2026-09-20 20:18:53,1213
Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 70709 19254,N/A,1.0,1.0,"03, Rahmat Nager, Falka, Katihar, Falka, Bihar 854114","Rahmat Nager, Falka",25.633594499999997,87.280103,ChIJXcXrpVYf8DkRsz5GVa9X774,https://www.google.com/maps/place/?q=place_id:ChIJXcXrpVYf8DkRsz5GVa9X774,part_400,2026-09-20 20:18:53,1214
ROHIT MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 97711 41005,N/A,,,"Shop No-01, Main Road, near Tiranga Chowk, Shripur, Govindpur, Bihar 854114",Shripur,25.621621599999997,87.265559,ChIJSQBsobMf8DkRX6d0TpB2gM8,https://www.google.com/maps/place/?q=place_id:ChIJSQBsobMf8DkRX6d0TpB2gM8,part_400,2026-09-20 20:18:53,1215
Maa Parwati Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 77668 94415,N/A,,,"Bareta Chowk Bareta, Katihar, Bihar 854114",854114,25.6607001,87.2738299,ChIJAVo3PFjh7zkRM_am_xSwfe0,https://www.google.com/maps/place/?q=place_id:ChIJAVo3PFjh7zkRM_am_xSwfe0,part_400,2026-09-20 20:18:53,1216
Maa Kali Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 62999 52432,N/A,,,"06, Pothiya Bazar Katihar, Bihar 854114",854114,25.5421175,87.267208,ChIJGbqgc0kZ8DkR_jl1BupYdlg,https://www.google.com/maps/place/?q=place_id:ChIJGbqgc0kZ8DkR_jl1BupYdlg,part_400,2026-09-20 20:18:53,1217
Pintu Medical hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 75468 62809,N/A,5.0,1.0,"Shop No-01, Falka Bazar, Katihar Near Centarl Bank Of India, Falka Bazar, Bihar 854114",854114,25.644589999999997,87.2777298,ChIJg60rhs_h7zkRyrqIHuSAo9E,https://www.google.com/maps/place/?q=place_id:ChIJg60rhs_h7zkRyrqIHuSAo9E,part_400,2026-09-20 20:18:53,1218
