business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Titan Eye+ at MG Road, Katihar (Buy 1 Get 1 Free)",Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Glasses repair service, Optical instrument repair service, Optical Products Manufacturer, Optometrist, Sunglasses store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 98008 89466,https://www.titaneyeplus.com/,4.9,,"G S, Complex, MG Rd, opposite HDFC Bank, Katihar, Bihar 854105",854114,25.5409714,87.5704688,ChIJkbLSwIWp-jkRWfSsaHpg1do,https://www.google.com/maps/place/?q=place_id:ChIJkbLSwIWp-jkRWfSsaHpg1do,part_400,2026-09-20 20:18:53,1180
New Rauf And Sons Optical,Optical Store and Eyewear,Optician,Optician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91992 10163,N/A,3.9,,"Bihar, Binodpur Rd, Kadwa, Katihar, Bihar 854105",Kadwa,25.540489599999997,87.56859829999999,ChIJo0bZcI-p-jkRKK638E3P-SQ,https://www.google.com/maps/place/?q=place_id:ChIJo0bZcI-p-jkRKK638E3P-SQ,part_400,2026-09-20 20:18:53,1181
Star Vision,Optical Store and Eyewear,Optician,Optician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 70041 50611,N/A,5.0,,"near of Katihar Engineering College, Hirday Gunj, Hardiya Gunj, Hajipur, Katihar, Bihar 854109","Hirday Gunj, Hardiya Gunj",25.5691962,87.5399044,ChIJj1XWKJCr-jkRS5vNl0_kBFo,https://www.google.com/maps/place/?q=place_id:ChIJj1XWKJCr-jkRS5vNl0_kBFo,part_400,2026-09-20 20:18:53,1182
Naushad Opticals,Optical Store and Eyewear,Optician,Optician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"GHVG+5XX, Katihar, Bihar 854105",854114,25.5429778,87.5774945,ChIJE7PYkYGp-jkRchM-LgsI_fg,https://www.google.com/maps/place/?q=place_id:ChIJE7PYkYGp-jkRchM-LgsI_fg,part_400,2026-09-20 20:18:53,1183
New Rauf Opticals,Optical Store and Eyewear,Optician,Optician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94704 24975,N/A,5.0,,"Old Bata Chowk, near Railway Station, Mangal Bazar, Katihar, Bihar 854105",Mangal Bazar,25.5449378,87.5668115,ChIJYcWw-Iip-jkR8bvLm9Gmx7I,https://www.google.com/maps/place/?q=place_id:ChIJYcWw-Iip-jkR8bvLm9Gmx7I,part_400,2026-09-20 20:18:53,1184
"#संतोष #Entertainment#,",Optical Store and Eyewear,Optician,Optician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"H52Q+94Q, Goriar (East), Bihar 854101",854114,25.5509643,87.1878722,ChIJBxYPRnQh8DkRN_TFntgKcqg,https://www.google.com/maps/place/?q=place_id:ChIJBxYPRnQh8DkRN_TFntgKcqg,part_400,2026-09-20 20:18:53,1185
K. B. OPTICALS,Optical Store and Eyewear,Optician,Optician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94308 43206,N/A,,,"GHR9+M5R, Shaheed Chowk, In Front Of Nagar Nigam Gate, Hospital Road, Katihar, Bihar 854105",Binodpur,25.5417484,87.5678751,ChIJxf3TNY-p-jkRGnHx-G3_I0c,https://www.google.com/maps/place/?q=place_id:ChIJxf3TNY-p-jkRGnHx-G3_I0c,part_400,2026-09-20 20:18:53,1186
Akhand Jyoti Eye Hospital Kursela,Optical Store and Eyewear,Optician,"Optician, Eye care center, Optometrist",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 92641 95782,https://www.akhandjyoti.com/location-details/akhand-jyoti-eye-hospital-kursela,4.9,,"Thana Road, near Bhagwati Dharam Kanta, Kursela, Muradpur, Bihar 854101",854114,25.4565786,87.24969039999999,ChIJBUnia1MZ8DkRKMSeTJ-iB8A,https://www.google.com/maps/place/?q=place_id:ChIJBUnia1MZ8DkRKMSeTJ-iB8A,part_400,2026-09-20 20:18:53,1187
Kalim & Sons,Optical Store and Eyewear,Optician,"Optician, Optometrist",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"Sahid chowk, Katihar, Bihar 854105",Sahid chowk,25.542058299999997,87.5679691,ChIJRRwn14ip-jkRB02XxQjdoMk,https://www.google.com/maps/place/?q=place_id:ChIJRRwn14ip-jkRB02XxQjdoMk,part_400,2026-09-20 20:18:53,1188
Gupta & Sons,Optical Store and Eyewear,Optician,Optician,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,4.2,,"Katihar Rajendra Stadium, Binodpur, Katihar, Bihar 854105",Binodpur,25.540501799999998,87.5672431,ChIJmT0bEQCp-jkRbXLIdKrYGJQ,https://www.google.com/maps/place/?q=place_id:ChIJmT0bEQCp-jkRbXLIdKrYGJQ,part_400,2026-09-20 20:18:53,1189
