business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Seemanchal Plywood,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,4.7,,"near Surtulsi college, Sahisia, Katihar, Bihar 854105",Sahisia,25.531983999999998,87.59255499999999,ChIJO8-2RFyp-jkRNrcYGjA82Rg,https://www.google.com/maps/place/?q=place_id:ChIJO8-2RFyp-jkRNrcYGjA82Rg,part_400,2026-09-20 20:19:02,2242
Assam Timber,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"Adb Chowk, Rahika Tola, PHED Colony, Araria, Bihar 854311","Rahika Tola, PHED Colony",26.1328589,87.4631694,ChIJy4XmufuJ7zkRdDnokSBjqzg,https://www.google.com/maps/place/?q=place_id:ChIJy4XmufuJ7zkRdDnokSBjqzg,part_400,2026-09-20 20:19:02,2243
Archana Ply,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99734 17347,N/A,4.8,,"Geda Badi Road, near Iti College, Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.5584013,87.5545039,ChIJ47q79Rmq-jkRf8_mAW2MEko,https://www.google.com/maps/place/?q=place_id:ChIJ47q79Rmq-jkRf8_mAW2MEko,part_400,2026-09-20 20:19:02,2244
Shri Shyam Plywood,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Home goods store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 70048 04505,N/A,4.0,,"Rajendra Prasad Path, Gami Tola, Katihar, Bihar 854105",Gami Tola,25.5423704,87.5751135,ChIJq0tElYap-jkR6Do7XTfuWug,https://www.google.com/maps/place/?q=place_id:ChIJq0tElYap-jkR6Do7XTfuWug,part_400,2026-09-20 20:19:02,2245
Satguru Plywood,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94731 11162,N/A,3.0,,"GHVF+G96, Rajendra Prasad Path, Opp. Satsang Mandir, New Market Area, Gami Tola, Katihar, Bihar 854105","New Market Area, Gami Tola",25.5437954,87.5733766,ChIJzyAQx4ap-jkRlLrh2y9w1QY,https://www.google.com/maps/place/?q=place_id:ChIJzyAQx4ap-jkRlLrh2y9w1QY,part_400,2026-09-20 20:19:02,2246
Wood Laminators,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Door manufacturer, Door supplier, Manufacturer",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91998 55956,N/A,4.8,,"Near, Dumka Chowk, Gulabbagh, Lakhan Jhari, Bihar 854326",854114,25.7914115,87.552844,ChIJIyPPls5X5TkR88qKdJdkg1A,https://www.google.com/maps/place/?q=place_id:ChIJIyPPls5X5TkR88qKdJdkg1A,part_400,2026-09-20 20:19:02,2247
MUNNA PLY &HARDWARE,Plywood and Timber Merchant,Hardware store,Hardware store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 96313 16394,N/A,5.0,,"Collage road, Salmari, Tahirpur, Bihar 855113",854114,25.6115021,87.83629959999999,ChIJ7ZBzWW21-jkRUz-ZR-VdNFs,https://www.google.com/maps/place/?q=place_id:ChIJ7ZBzWW21-jkRUz-ZR-VdNFs,part_400,2026-09-20 20:19:02,2248
Agarwal Enterprises,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Door manufacturer, Door shop, Door warehouse, Hardware store, Lamination service, PVC windows supplier, Steel distributor, Wood frame supplier",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 79030 98252,https://www.facebook.com/Agarwal1Enterprises,5.0,,"Binodpur Rd, Binodpur, Katihar, Bihar 854105",Binodpur,25.540817399999998,87.5687966,ChIJx3UIoG2p-jkRbHxOygJeUg4,https://www.google.com/maps/place/?q=place_id:ChIJx3UIoG2p-jkRbHxOygJeUg4,part_400,2026-09-20 20:19:02,2249
Altra fancy door,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 76674 75938,N/A,4.8,,"9J2Q+5F9, Hanswar, Bihar 854113",854114,25.3513783,87.6389188,ChIJSceIfEOj-jkRuU2RA4HsSe4,https://www.google.com/maps/place/?q=place_id:ChIJSceIfEOj-jkRuU2RA4HsSe4,part_400,2026-09-20 20:19:02,2250
Bansal Ply & Decor,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 98128 76330,N/A,4.0,,"opposite Girdhari Babu Ki Dawa Dukaan, Salmari, Bihar 855113",854114,25.6168658,87.8422494,ChIJfzSUHdi1-jkRcDoLz54SlWw,https://www.google.com/maps/place/?q=place_id:ChIJfzSUHdi1-jkRcDoLz54SlWw,part_400,2026-09-20 20:19:02,2251
