business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
American Institute of English Language Pvt. Ltd.,Spoken English Institute,Language school,Language school,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 95073 00838,http://www.aiel.in/,4.9,843.0,"Kali Bari Rd, near shyam vatika restaurant, Binodpur, Katihar, Bihar 854105",Binodpur,25.5376317,87.56716899999999,ChIJ1Y8e7IWp-jkRnSH4p6Riz9s,https://www.google.com/maps/place/?q=place_id:ChIJ1Y8e7IWp-jkRnSH4p6Riz9s,part_400,2026-09-20 20:19:13,3281
NEW ERA ENGLISH CLASSES,Spoken English Institute,Educational institution,Educational institution,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 78086 70034,N/A,5.0,46.0,"Add, near jama masjid, Hariganj Mohalla, Katihar, Bihar 854105",Hariganj Mohalla,25.5383003,87.57734839999999,ChIJeXGv38ap-jkRmFwPwHZcK_Y,https://www.google.com/maps/place/?q=place_id:ChIJeXGv38ap-jkRmFwPwHZcK_Y,part_400,2026-09-20 20:19:13,3282
M.A.Shahidi English Classes Katihar,Spoken English Institute,Educational institution,Educational institution,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 98017 36726,https://www.instagram.com/shahidi_sir_katihar?igsh=MW1tZ280ZnRjNnV5ag%3D%3D&utm_source=qr,4.9,398.0,"Madhav Niketan, Gami Tola, Katihar, Bihar 854105",Gami Tola,25.5402898,87.5751186,ChIJnzgdkoOp-jkRz0mQs5u_K58,https://www.google.com/maps/place/?q=place_id:ChIJnzgdkoOp-jkRz0mQs5u_K58,part_400,2026-09-20 20:19:13,3283
Englishmates English Classes,Spoken English Institute,Education center,Education center,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,62.0,"HH34+58M, Unnamed Road, Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.552969299999997,87.5557918,ChIJjT5400yr-jkR7TAEmrgMStw,https://www.google.com/maps/place/?q=place_id:ChIJjT5400yr-jkR7TAEmrgMStw,part_400,2026-09-20 20:19:13,3284
English IQ ( A Premiere place to learn ),Spoken English Institute,Educational institution,"Educational institution, Coaching Center, Education center, English language school",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 96082 13299,N/A,4.9,122.0,"Madhav niketan, Pani Tanki Chowk, Kadwa, Katihar, Bihar 854105",Kadwa,25.540204199999998,87.5749778,ChIJ1Qo8OPyp-jkR_GSsA2nkH7w,https://www.google.com/maps/place/?q=place_id:ChIJ1Qo8OPyp-jkR_GSsA2nkH7w,part_400,2026-09-20 20:19:13,3285
GEORGE ENGLISH INSTITUTE,Spoken English Institute,Coaching Center,Coaching Center,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 74887 06018,N/A,4.8,382.0,"Lakhan Chowk, Bhatta Bazar, Purnia, Bihar 854301","Bhatta Bazar, Navratan Hatta",25.7715295,87.4803506,ChIJ39rNn7n57zkRl8_QF0cMCzI,https://www.google.com/maps/place/?q=place_id:ChIJ39rNn7n57zkRl8_QF0cMCzI,part_400,2026-09-20 20:19:13,3286
The best English Classes in katihar # The Excellent English Classes Katihar,Spoken English Institute,Education center,Education center,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,2.0,"GHQG+74C, Kadwa, Katihar, Bihar 854105",Kadwa,25.538184899999997,87.5753264,ChIJqfLywjip-jkR0QCfhBLxqNg,https://www.google.com/maps/place/?q=place_id:ChIJqfLywjip-jkR0QCfhBLxqNg,part_400,2026-09-20 20:19:13,3287
KOMALS ENGLISH CLASSES,Spoken English Institute,English language school,English language school,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91228 58423,N/A,5.0,13.0,"New Officers Colony, near New Electric Office, Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.5535373,87.5539269,ChIJJ338WFmr-jkRN_LVWaC_vbs,https://www.google.com/maps/place/?q=place_id:ChIJJ338WFmr-jkRN_LVWaC_vbs,part_400,2026-09-20 20:19:13,3288
EnglishPedia Foundation,Spoken English Institute,Educational institution,"Educational institution, Non-profit organization",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 62006 06016,https://www.englishpedia.org/,4.8,141.0,"Gami Tola, Katihar, Bihar 854105",Gami Tola,25.539994,87.57634619999999,ChIJsaxGToKp-jkRIBqRVZbFzfw,https://www.google.com/maps/place/?q=place_id:ChIJsaxGToKp-jkRIBqRVZbFzfw,part_400,2026-09-20 20:19:13,3289
Royal English Zone,Spoken English Institute,Educational institution,Educational institution,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,4.9,48.0,"Sharifganj, Katihar, Bihar 854105",Sharifganj,25.521607099999997,87.5647563,ChIJCwCu3NWp-jkRmTwhfzv1OMk,https://www.google.com/maps/place/?q=place_id:ChIJCwCu3NWp-jkRmTwhfzv1OMk,part_400,2026-09-20 20:19:13,3290
