business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MAA GAYATRI ONLINE HUB,Unisex Salon,Hair salon,"Hair salon, Education center",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 98522 21602,N/A,,,"F67X+9C3, F67X 557, Katihar, Kursela, Bihar 854101",854114,25.463088,87.2485399,ChIJlQjPBAAZ8DkRKSTE9lZQPYs,https://www.google.com/maps/place/?q=place_id:ChIJlQjPBAAZ8DkRKSTE9lZQPYs,part_400,2026-09-20 20:19:07,2695
Hari Ctting,Unisex Salon,Hair salon,Hair salon,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 93920 81351,N/A,,,"Hari Cutting Sitan Market, Bihar 854104",854114,25.497780199999998,87.376577,ChIJ6xoKli0b8DkRiUBT9PPCLxQ,https://www.google.com/maps/place/?q=place_id:ChIJ6xoKli0b8DkRiUBT9PPCLxQ,part_400,2026-09-20 20:19:07,2696
Umesh Hear Cuting,Unisex Salon,Hair salon,Hair salon,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 95349 34976,N/A,1.0,1.0,"Chowk, Sameli, Bihar 854101",Chowk,25.4912894,87.2701579,ChIJcYWaf4MZ8DkRZuSkLR45u1M,https://www.google.com/maps/place/?q=place_id:ChIJcYWaf4MZ8DkRZuSkLR45u1M,part_400,2026-09-20 20:19:07,2697
Roots | by you salon,Unisex Salon,Beauty Parlour,Beauty Parlour,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 88795 06934,https://salons.lakmesalon.in/lakme-salon-bhatta-bazar-purnea-beauty-parlour-bhatta-bazar-purnia-349873/Home,4.6,231.0,"2, 3, Modi Complex, No 1, Zila School Rd, near Nokia Care, Bhatta Bazar, Navratan Hatta, Purnia, Bihar 854301","Bhatta Bazar, Navratan Hatta",25.774079099999998,87.4797854,ChIJSe4CD5757zkRZcdIx5COi6c,https://www.google.com/maps/place/?q=place_id:ChIJSe4CD5757zkRZcdIx5COi6c,part_400,2026-09-20 20:19:07,2698
Salun Shop,Unisex Salon,Hair salon,Hair salon,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 93413 85217,N/A,5.0,,"Shop 05 Mohanpur, Mansahi, Katihar, Bihar 854105",Mirchaibari,25.554001799999998,87.55923469999999,ChIJG3F8aEmr-jkR0wi4qS8m1kQ,https://www.google.com/maps/place/?q=place_id:ChIJG3F8aEmr-jkR0wi4qS8m1kQ,part_400,2026-09-20 20:19:10,2699
Nand cosmetic,Unisex Salon,Cosmetics store,Cosmetics store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"Mangal Bazar, Katihar, Bihar 854105",Mangal Bazar,25.5449551,87.56647099999999,ChIJJcHAJvup-jkR8dOHMkwsg-o,https://www.google.com/maps/place/?q=place_id:ChIJJcHAJvup-jkR8dOHMkwsg-o,part_400,2026-09-20 20:19:10,2700
Maruti,Unisex Salon,Cosmetics store,"Cosmetics store, Gift shop, Party store, Toy store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,https://instagram.com/maruti_katihar?igshid=MzRlODBiNWFlZA==,5.0,,"Shiv Mandir Chowk, near SBI ATM, Kadwa, Katihar, Bihar 854105",Kadwa,25.536082399999998,87.57296339999999,ChIJu0zxTImp-jkRIWY6os6FMFM,https://www.google.com/maps/place/?q=place_id:ChIJu0zxTImp-jkRIWY6os6FMFM,part_400,2026-09-20 20:19:10,2701
Ditya Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 74883 54459,N/A,5.0,,"Hotel Jain Gali, Girls School Rd, Katihar, Bihar 854105",854115,25.5423281,87.5697153,ChIJZbpAuFyp-jkRgzG7oYrjWHQ,https://www.google.com/maps/place/?q=place_id:ChIJZbpAuFyp-jkRgzG7oYrjWHQ,part_400,2026-09-20 20:19:52,6088
Suman Hair Cut Salon,Unisex Salon,Hair salon,Hair salon,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 88252 07095,N/A,5.0,,"02, Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.559825399999998,87.557785,ChIJUy6v7zur-jkRi2f3lVtjCeQ,https://www.google.com/maps/place/?q=place_id:ChIJUy6v7zur-jkRi2f3lVtjCeQ,part_400,2026-09-20 20:19:52,6089
RUDRAVEER SALOON,Unisex Salon,Hair salon,Hair salon,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 82353 09568,N/A,4.5,,"SHOP NO 5, A SANGRAM CHOWK, near of DAYA MEDICAL, Larkania Tola, Katihar, Bihar 854105",Larkania Tola,25.5501751,87.56878209999999,ChIJcyMxCW6r-jkRdesR0Y50Pus,https://www.google.com/maps/place/?q=place_id:ChIJcyMxCW6r-jkRdesR0Y50Pus,part_400,2026-09-20 20:19:52,6090
S N Men's Hair Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop",854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",N/A,N/A,4.2,,"high school Para, near Hanuman Temple, Katihar, Bihar 854105",854115,25.546089799999997,87.5726851,ChIJG80XF4ep-jkRYDwHwI4VSiA,https://www.google.com/maps/place/?q=place_id:ChIJG80XF4ep-jkRYDwHwI4VSiA,part_400,2026-09-20 20:19:52,6091
Mahi Makeover,Unisex Salon,Beauty Parlour,Beauty Parlour,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",N/A,N/A,5.0,,"New, New Officer's Colony, Katihar, Bihar 854105",New Officer's Colony,25.550908099999997,87.55081299999999,ChIJ22o_nv-r-jkRlseaAk2hfvQ,https://www.google.com/maps/place/?q=place_id:ChIJ22o_nv-r-jkRlseaAk2hfvQ,part_400,2026-09-20 20:19:52,6092
Loyana Beauty Parlour,Unisex Salon,Beauty Parlour,Beauty Parlour,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",N/A,N/A,5.0,,"GHR3+QV2, near Vodafone Tower, Sri Mahanth Nagar, Laliyahi, Katihar, Bihar 854105","Sri Mahanth Nagar, Laliyahi",25.541876199999997,87.5546305,ChIJqaplOQCp-jkRrVl_9A-w_dQ,https://www.google.com/maps/place/?q=place_id:ChIJqaplOQCp-jkRrVl_9A-w_dQ,part_400,2026-09-20 20:19:52,6093
Dayaram Hair Salon,Unisex Salon,Hair salon,Hair salon,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 97982 44732,N/A,,,"05, Jokar, Bihar 854105",Lohiya Nagar,25.5450551,87.5575865,ChIJoSNK0hup-jkRXkpJK9Fqksc,https://www.google.com/maps/place/?q=place_id:ChIJoSNK0hup-jkRXkpJK9Fqksc,part_400,2026-09-20 20:19:52,6094
Looks unisex family Parlour,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hair salon",854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 91227 44611,N/A,4.1,,"near TVS showroom, opposite Bimal Tent Agency, Souria, Gami Tola, Katihar, Bihar 854105","Souria, Gami Tola",25.5411103,87.5774017,ChIJJRqvlYOp-jkRPJVnzhXPE0g,https://www.google.com/maps/place/?q=place_id:ChIJJRqvlYOp-jkRPJVnzhXPE0g,part_400,2026-09-20 20:19:54,6095
Urban salon,Unisex Salon,Barber shop,Barber shop,854115,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Semapur Factory SO, Bansgarha BO, Binjee BO",+91 95252 56369,https://www.instagram.com/urbansalon_barauni?igsh=MTFjb2sxZjh2YWxlNw==,4.8,246.0,"vatika chowk, Rajendra Rd, Barauni, Bihar 851112",854115,25.4649647,85.9885824,ChIJH2zr3OAN8jkRE5PEnnM1J9M,https://www.google.com/maps/place/?q=place_id:ChIJH2zr3OAN8jkRE5PEnnM1J9M,part_400,2026-09-20 20:19:55,6096
Pinku mens parlour,Unisex Salon,Hair salon,Hair salon,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,,"JPJJ+PRM, Kadwa, Bihar 855114",854116,25.6318277,87.73204609999999,ChIJz69oKACz-jkRGGnNYdmJUjQ,https://www.google.com/maps/place/?q=place_id:ChIJz69oKACz-jkRGGnNYdmJUjQ,part_400,2026-09-20 20:20:39,7904
KHATIJA TRADERS,Unisex Salon,Cosmetics store,Cosmetics store,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 98911 54914,N/A,5.0,,"Shop No 02, near of Mahananda Bandh, Dhabaul, Bihar 855113",854116,25.495998399999998,87.7770633,ChIJ5SE7RQC3-jkRJ0Ri5GQXXq8,https://www.google.com/maps/place/?q=place_id:ChIJ5SE7RQC3-jkRJ0Ri5GQXXq8,part_400,2026-09-20 20:20:40,7905
