business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Khushi Creation,Boutiques,Boutique,"Boutique, Clothing store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 95084 75021,N/A,5.0,3.0,"Bara Bazar, beside Stylo Tailor, Kadwa, Katihar, Bihar 854105",Kadwa,25.538427799999997,87.5746149,ChIJx_yWBd-p-jkRF-WeC9-uarU,https://www.google.com/maps/place/?q=place_id:ChIJx_yWBd-p-jkRF-WeC9-uarU,part_400,2026-09-20 20:18:53
Himanshu Vastralaya,Boutiques,Clothing store,Clothing store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 75491 86706,N/A,5.0,2.0,"11, At MALHARIA, Katihar, Pakaria, Bihar 854114",854114,25.6260159,87.29167129999999,ChIJb7XXNDwf8DkR4AZvaZCyCy4,https://www.google.com/maps/place/?q=place_id:ChIJb7XXNDwf8DkR4AZvaZCyCy4,part_400,2026-09-20 20:18:53
Manyavar & Mohey,Boutiques,Clothing store,"Clothing store, Bridal shop, Designer Clothing Store, Men's clothing store, Women's clothing store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 80 3700 2678,https://www.manyavar.com/en-in/store-india/bihar/purnea/manyavar-and-mohey-zila-school-road-VFPLSCZP,4.7,,"Building No 111, Zila School Rd, near Aastha Mandir, Sarvoday Nagar, Purnia, Bihar 854301",Sarvoday Nagar,25.776742,87.47520399999999,ChIJb6NEHu_57zkRQXujhbRvcY4,https://www.google.com/maps/place/?q=place_id:ChIJb6NEHu_57zkRQXujhbRvcY4,part_400,2026-09-20 20:18:54
Shivam fashion collection,Boutiques,Clothing store,Clothing store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 75494 98569,N/A,5.0,,"Makdampur, Mirzapur, Bihar 854104",854114,25.5545388,87.35500859999999,ChIJ8VBTMNod8DkRsVvedyWb8OU,https://www.google.com/maps/place/?q=place_id:ChIJ8VBTMNod8DkRsVvedyWb8OU,part_400,2026-09-20 20:18:54
VR Creations,Boutiques,Boutique,Boutique,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91538 68898,N/A,4.8,81.0,"QFRX+3WP, Durga Mandir Rd, Professor Colony, Rambagh, Purnia, Bihar 854301","Professor Colony, Rambagh",25.7899297,87.49979789999999,ChIJXyuXUM_57zkRXg6ay8w281M,https://www.google.com/maps/place/?q=place_id:ChIJXyuXUM_57zkRXg6ay8w281M,part_400,2026-09-20 20:18:54
Rahmani all in one shop,Boutiques,General store,General store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,https://whatsapp.com/channel/0029VaAh4hxIXnlzyAktCo34,5.0,2.0,"Shafirganj market, 01 shalehpur, Maheshpur, Rangakol, Bihar 854114",854114,25.604632,87.2841242,ChIJbV3Iw6Yf8DkRwJ_kGVYWbgU,https://www.google.com/maps/place/?q=place_id:ChIJbV3Iw6Yf8DkRwJ_kGVYWbgU,part_400,2026-09-20 20:18:54
Mukesh Mobile And Electronic Center,Boutiques,Electronics store,Electronics store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 79705 35357,http://shopwave.net.in/,4.3,60.0,"Falka Bazar, Falka, Bihar 854114",Falka Bazar,25.631948299999998,87.277692,ChIJDdYTWSEe8DkRq8jfTHBQDCE,https://www.google.com/maps/place/?q=place_id:ChIJDdYTWSEe8DkRq8jfTHBQDCE,part_400,2026-09-20 20:18:54
Kajaria tiles Authorised showroom- Jai maa Laxmi traders,Boutiques,Tile store,"Tile store, Tile manufacturer",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94707 41100,http://www.kajariaeternity.com/,4.7,,"collage road Kursela, Kursela, Bihar 854101",854114,25.459681099999997,87.2490698,ChIJ42V2wi0Z8DkRzF6YM23T1bc,https://www.google.com/maps/place/?q=place_id:ChIJ42V2wi0Z8DkRzF6YM23T1bc,part_400,2026-09-20 20:18:55
Eastman Dealer - Boby Batteries,Boutiques,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 80 6893 2584,https://eastmanbattery.in/,5.0,,"Manjhaili, Bakia, Dumar, Bihar 854104",Manjhaili,25.519191799999998,87.3243462,ChIJw6wxGoQb8DkRDz2ubr1Vpbs,https://www.google.com/maps/place/?q=place_id:ChIJw6wxGoQb8DkRDz2ubr1Vpbs,part_400,2026-09-20 20:18:55
Eastman Dealer,Boutiques,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 674 674 6209,https://eastman-dealers.eaplworld.com/near-me/katihar/Chhohar/eastman-dealer-mukesh-mobile-and-electronics-centre-in-Chhohar-katihar--5FfnXg/home,,,"No 183, Mukesh Mobile And Electronics Centre, NH 31, Falka Chhohar, Katihar, Bihar 854114",Falka Chhohar,25.745853399999998,87.29974279999999,ChIJj_PpOxnn7zkRG-s8J81inX4,https://www.google.com/maps/place/?q=place_id:ChIJj_PpOxnn7zkRG-s8J81inX4,part_400,2026-09-20 20:18:55
Eastman Dealer - Dream Furniture,Boutiques,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 80 6290 5487,https://eastman-dealers.eaplworld.com/near-me/katihar/Khaira/eastman-dealer-dream-furniture-in-Khaira-katihar--6X3UUV/home,,,"Ayodhyaganj Bazar, sh 77, opposite RP Collage, Khaira, Bihar 854101",854114,25.514839499999997,87.2695978,ChIJZUJ2D1IZ8DkRFFg_7r9CxwU,https://www.google.com/maps/place/?q=place_id:ChIJZUJ2D1IZ8DkRFFg_7r9CxwU,part_400,2026-09-20 20:18:55
Jindal Panther TMT Dealer - Agarwal Iron And Steel |TMT Rebars & Sariya Supplier,Boutiques,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 70047 43488,https://www.jindalpanther.com/,,,"F723+23X, Kursela, Bihar 854104",854114,25.450142099999997,87.2526159,ChIJ70DLoUUZ8DkRMX6ZjovHW2M,https://www.google.com/maps/place/?q=place_id:ChIJ70DLoUUZ8DkRMX6ZjovHW2M,part_400,2026-09-20 20:18:55
