business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Loot-Le,Exporters,Garment Exporter,Garment Exporter,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 90971 21134,N/A,4.7,,"Soyab Ali Katra, Labha chowk, Katihar, Bihar 855113",Labha chowk,25.4383336,87.7440551,ChIJkWV12bK7-jkRmK7CrGoFM_8,https://www.google.com/maps/place/?q=place_id:ChIJkWV12bK7-jkRmK7CrGoFM_8,part_400,2026-09-20 20:20:56
Radha Traders,Exporters,Exporter,Exporter,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 87098 24714,N/A,5.0,,"Shop 4, near Chowk, Ward 7, BASTOUL CHOWK,BASTOUL,KATIHAR, Bastaul, Katihar, Bihar 854116","Ward 7, BASTOUL CHOWK,BASTOUL,KATIHAR",25.519060999999997,87.6736581,ChIJnxniW_mv-jkRTan7vRRiZRI,https://www.google.com/maps/place/?q=place_id:ChIJnxniW_mv-jkRTan7vRRiZRI,part_400,2026-09-20 20:20:56
Prajapati eco Farm,Exporters,Farm equipment supplier,Farm equipment supplier,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,,"FJVW+573, Kuretha, Bihar 854107",854116,25.4928816,87.645682,ChIJTRxjIwCv-jkRPnlEaaU4lCE,https://www.google.com/maps/place/?q=place_id:ChIJTRxjIwCv-jkRPnlEaaU4lCE,part_400,2026-09-20 20:20:56
Nazrana Khatun,Exporters,Exporter,Exporter,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 79036 13948,N/A,,,"Shop No 06, Nazrana Khatun, near Budel, Katihar, Budhnagar, Bihar 854107",854116,25.5205675,87.62002629999999,ChIJ06eyZgev-jkRSwTUuDywNx8,https://www.google.com/maps/place/?q=place_id:ChIJ06eyZgev-jkRSwTUuDywNx8,part_400,2026-09-20 20:20:57
Pritam Tractor,Exporters,Exporter,Exporter,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 93412 65819,N/A,,,"Panki06, Panki, Bihar 854116",Panki06,25.521696499999997,87.70366109999999,ChIJYeWMGxex-jkR-nLiPGDaAk8,https://www.google.com/maps/place/?q=place_id:ChIJYeWMGxex-jkR-nLiPGDaAk8,part_400,2026-09-20 20:20:57
Ok dress,Exporters,Garment Exporter,Garment Exporter,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,,,"CPQV+8JM, Soyab Ali Katra, NH 31, Lalganj Teghra English, Bihar 855113",854116,25.4383315,87.744047,ChIJdejZORu7-jkRDTwVGixo1L8,https://www.google.com/maps/place/?q=place_id:ChIJdejZORu7-jkRDTwVGixo1L8,part_400,2026-09-20 20:20:57
milkiana pashu aahar (Guru dev),Exporters,Cattle farm,Cattle farm,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 62003 14097,N/A,5.0,,"durga sthan road, Kantia, Bihar 855114",854116,25.6159492,87.7170889,ChIJ_e7xznez-jkRXy4qJRadmVA,https://www.google.com/maps/place/?q=place_id:ChIJ_e7xznez-jkRXy4qJRadmVA,part_400,2026-09-20 20:20:57
Md Rahil,Exporters,Chicken & Mutton Shop,Chicken & Mutton Shop,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 84096 09031,N/A,,,"Shop No-02,Dhigoch, near primary School, Dhighoch, Bastaul, Katihar, Bihar 854116",Dhighoch,25.5345594,87.7328062,ChIJfwS7HS6x-jkR32-6BxEye9c,https://www.google.com/maps/place/?q=place_id:ChIJfwS7HS6x-jkR32-6BxEye9c,part_400,2026-09-20 20:20:57
Kaisar Poltri Dukan,Exporters,Chicken & Mutton Shop,Chicken & Mutton Shop,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 62013 74820,N/A,,,"Shop No-02,Sakreli Bijeli Bastol Katihar, near pani Tanki Sakreli, Bihar 855114",854116,25.564080699999998,87.7041753,ChIJNwcPIvSz-jkRFwtgmCBRMrk,https://www.google.com/maps/place/?q=place_id:ChIJNwcPIvSz-jkRFwtgmCBRMrk,part_400,2026-09-20 20:20:57
Waris Poltri Shop,Exporters,Chicken & Mutton Shop,Chicken & Mutton Shop,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 76674 49934,N/A,5.0,,"Shop No-02, Dhumnagar Gau, near mola Chowk Shumnagar, Azamnagar, Katihar, Bihar 855113",854116,25.4878957,87.8077108,ChIJ6-hei1S3-jkRC3bGa6Jy3fQ,https://www.google.com/maps/place/?q=place_id:ChIJ6-hei1S3-jkRC3bGa6Jy3fQ,part_400,2026-09-20 20:20:57
