business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr Damodar Homeo Clinic,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,,"GRX4+PQ7, Khopra, Belbari, Azamnagar, Bihar 855113",Belbari,25.5492839,87.8069264,ChIJ-8VVG2-3-jkRpMR3jkRRGwg,https://www.google.com/maps/place/?q=place_id:ChIJ-8VVG2-3-jkRpMR3jkRRGwg,part_400,2026-09-20 20:20:25
"BRR,E- HOMOEO CLINIC & PHARMA",Homeopathic Clinic,Homeopath,Homeopath,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,,,"WARD NUMBER-06, ROSHNA BAZAR, Nima, Bihar 855113",854116,25.439448799999997,87.7422436,ChIJn6hADF-7-jkR_5SL_ZuwuOs,https://www.google.com/maps/place/?q=place_id:ChIJn6hADF-7-jkR_5SL_ZuwuOs,part_400,2026-09-20 20:20:25
DR.Shashi kant singh's House,Homeopathic Clinic,Homeopath,"Homeopath, Housing society",854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,,"Dr.shashi kant singh, Katihar-Manihari Rd, Nawabganj, Bihar 854113",854116,25.3701746,87.6292258,ChIJO7XiAkul-jkRbj0u9IezbU0,https://www.google.com/maps/place/?q=place_id:ChIJO7XiAkul-jkRbj0u9IezbU0,part_400,2026-09-20 20:20:25
Dr kamal's homoeopathic clinic,Homeopathic Clinic,Homeopath,Homeopath,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,4.7,,"Talgram, West Bengal 732125",854116,25.431200399999998,87.8010618,ChIJlyyxO7-5-jkR23ngm-KDi88,https://www.google.com/maps/place/?q=place_id:ChIJlyyxO7-5-jkR23ngm-KDi88,part_400,2026-09-20 20:20:25
Dr. Najma Heptullah Homeopathy Clinic,Homeopathic Clinic,Homeopath,Homeopath,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 99327 50526,N/A,5.0,,"najma heptullah, Cinema hall, hatt, Kumedpur Rd, Talgram, Kumedpur, West Bengal 732125",854116,25.4218035,87.8005242,ChIJZ-c3a5W5-jkROgK6zoyvjbc,https://www.google.com/maps/place/?q=place_id:ChIJZ-c3a5W5-jkROgK6zoyvjbc,part_400,2026-09-20 20:20:25
Firoz Medical,Homeopathic Clinic,Pharmacy,"Pharmacy, Medical clinic",854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 97718 64655,N/A,5.0,,"Firoz Medical Guni Tola Chowk, Bihar 854116",854116,25.459685099999998,87.68888,ChIJ_eAIMMOv-jkRG2_KnHO5N60,https://www.google.com/maps/place/?q=place_id:ChIJ_eAIMMOv-jkRG2_KnHO5N60,part_400,2026-09-20 20:20:25
Gour Shop,Homeopathic Clinic,Homeopath,Homeopath,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 75494 19390,N/A,2.0,,"Khurial, Khuriyal, Bihar 855113",854116,25.489696,87.82442569999999,ChIJS-BWif63-jkRWMCakP7sQFg,https://www.google.com/maps/place/?q=place_id:ChIJS-BWif63-jkRWMCakP7sQFg,part_400,2026-09-20 20:20:25
Dr Nasim's Care & Cure Multi-speciality Clinic,Homeopathic Clinic,Doctor,Doctor,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 94306 83978,N/A,4.0,2.0,"Choti Masjid Road, Partaili, Bihar 854103",854116,25.5175508,87.6050605,ChIJ____vzup-jkRTmpV3h9_e90,https://www.google.com/maps/place/?q=place_id:ChIJ____vzup-jkRTmpV3h9_e90,part_400,2026-09-20 20:20:26
Shiv Homeopathic Clinic (Dr. Komal Kumari),Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 88825 69283,N/A,4.8,30.0,"B. M. Market, Thana Rd, near SBI, Kalibari, Khagaria, Bihar 851204",Kalibari,25.503067899999998,86.4700386,ChIJ7Sc4ILLl8TkReMQVtZA_3Ww,https://www.google.com/maps/place/?q=place_id:ChIJ7Sc4ILLl8TkReMQVtZA_3Ww,part_400,2026-09-20 20:20:26
Homeopathic clinic,Homeopathic Clinic,Housing complex,Housing complex,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,,"6QW2+6CM, Pankpar, Toi, Bihar 811101",854116,25.24523,85.75109669999999,ChIJ24ltyZZn8jkR7kA5toV6PQA,https://www.google.com/maps/place/?q=place_id:ChIJ24ltyZZn8jkR7kA5toV6PQA,part_400,2026-09-20 20:20:27
