business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kanhae Tent House And Dj Sound,Sound and Light Rental,Tent House Supplier,Tent House Supplier,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 99552 14245,N/A,4.5,,"Kursel, Bihar 855114",854116,25.614513,87.775779,ChIJdc_zcWKz-jkRk4CbsQjJ4uI,https://www.google.com/maps/place/?q=place_id:ChIJdc_zcWKz-jkRk4CbsQjJ4uI,part_400,2026-09-20 20:20:41
Ganpati dj sound & tent agrailkhurd,Sound and Light Rental,Tent House Supplier,Tent House Supplier,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 70330 40422,https://youtube.com/@decentamit?si=H5hDU68zYkWMsvYZ,4.8,4.0,"Agrail Khurdh, Bihar 843104",854116,25.9183357,85.5913279,ChIJOQSh-7J17TkRVsJirBKx-YI,https://www.google.com/maps/place/?q=place_id:ChIJOQSh-7J17TkRVsJirBKx-YI,part_400,2026-09-20 20:20:42
VIP TENT HOUSE & LIGHT DJ SOUND,Sound and Light Rental,Tent House Supplier,Tent House Supplier,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,3.0,"C63R+RXM, Katiknar, Kesath, Bihar 802125",854116,25.404582899999998,84.2424368,ChIJ0YJ9fgCDjTkR5ipYpzLGiEM,https://www.google.com/maps/place/?q=place_id:ChIJ0YJ9fgCDjTkR5ipYpzLGiEM,part_400,2026-09-20 20:20:42
Arushi Dj light & Pandal Palace Kharant more,Sound and Light Rental,Tent House Supplier,"Tent House Supplier, Electronics store",854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 91223 15157,N/A,3.9,77.0,"more, near NH20, Kharant, Bihar 803109",854116,25.0011892,85.5237178,ChIJU8Yy_Kj58jkRLHQOTy_hUaE,https://www.google.com/maps/place/?q=place_id:ChIJU8Yy_Kj58jkRLHQOTy_hUaE,part_400,2026-09-20 20:20:42
3Star Sound And Tent Light,Sound and Light Rental,DJ service,DJ service,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,1.0,"police line road, Dharampur, Ramraipur, Bihar 811105",854116,25.1500319,85.8241949,ChIJC0DBXcxD8jkRX4Po-MwafU4,https://www.google.com/maps/place/?q=place_id:ChIJC0DBXcxD8jkRX4Po-MwafU4,part_400,2026-09-20 20:20:42
Khushi Decorations and DJ Sound,Sound and Light Rental,Tent House Supplier,"Tent House Supplier, Wedding planner",854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 76770 38755,N/A,4.9,14.0,"Vishwambharpur, Bihta, Kutlupur, Bihar 801103",Vishwambharpur,25.581127499999997,84.8896381,ChIJYfEnvNmrkjkROWRGf6Yow2Y,https://www.google.com/maps/place/?q=place_id:ChIJYfEnvNmrkjkROWRGf6Yow2Y,part_400,2026-09-20 20:20:42
super Light decoration and dj sound,Sound and Light Rental,DJ supply store,"DJ supply store, DJ service",854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 82108 21966,N/A,4.0,1.0,"Mahamda, Bihar 804429",854116,25.2740103,84.89475399999999,ChIJW3uifABLjTkR1pQZbQDGsyo,https://www.google.com/maps/place/?q=place_id:ChIJW3uifABLjTkR1pQZbQDGsyo,part_400,2026-09-20 20:20:42
SUNNY Light Dj & Event Planeer (सनी लाइट डीजे एंड इवेंट प्लानर),Sound and Light Rental,Event management company,Event management company,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 82717 76978,N/A,5.0,13.0,"Hospital Road, Jehanabad, Bihar 804408",854116,25.2102625,84.986599,ChIJc68xkFG18jkRyY289gYtWGk,https://www.google.com/maps/place/?q=place_id:ChIJc68xkFG18jkRyY289gYtWGk,part_400,2026-09-20 20:20:42
Laxmi dj Sound & Light Tent House,Sound and Light Rental,DJ service,"DJ service, Tent House Supplier",854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 82714 50493,N/A,3.0,8.0,"Koiritola Rd, Dheodha, Dhewadha Chhatarwar, Bihar 805124",Dheodha,24.975479699999998,85.7153455,ChIJIYvaJB5R8jkR1wgJgzQyNvU,https://www.google.com/maps/place/?q=place_id:ChIJIYvaJB5R8jkR1wgJgzQyNvU,part_400,2026-09-20 20:20:42
Surya Dj system,Sound and Light Rental,DJ service,"DJ service, Tent House Supplier",854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 70910 66277,N/A,4.7,17.0,"Kateya, Lashkaripur, Kataiya, Bihar 841206",Kateya,26.0034969,84.61576269999999,ChIJ6SYRxI3BkjkR1jiga0FX4AQ,https://www.google.com/maps/place/?q=place_id:ChIJ6SYRxI3BkjkR1jiga0FX4AQ,part_400,2026-09-20 20:20:42
