business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NEFULTOUR AND TRAVELS,Tour and Travel Operator,Tour agency,"Tour agency, Electronics store",854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 87893 77028,N/A,5.0,,"at dhaboul post dhenabagchhala ps pranpur, Dhabaul, Bihar 855113",854116,25.501036,87.7787929,ChIJuU06Y323-jkRwNHYXr6xnVc,https://www.google.com/maps/place/?q=place_id:ChIJuU06Y323-jkRwNHYXr6xnVc,part_400,2026-09-20 20:20:31
Nizam.telecom,Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 98215 02820,N/A,5.0,,"NIZAM TELECOM, Chandni Chowk, Katihar, Gosainpur, Bihar 855114",Chandni Chowk,25.5508813,87.7427276,ChIJp5mNWH2z-jkRRbG2QN5dUyY,https://www.google.com/maps/place/?q=place_id:ChIJp5mNWH2z-jkRRbG2QN5dUyY,part_400,2026-09-20 20:20:31
Noor Travels,Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 90246 50191,N/A,5.0,,"Noor Travels, Panki, Bihar 855017",854116,25.517585,87.700018,ChIJx-mRlUex-jkR7onwGbFesjU,https://www.google.com/maps/place/?q=place_id:ChIJx-mRlUex-jkR7onwGbFesjU,part_400,2026-09-20 20:20:31
shyam shop,Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,,"HQ6R+6XP, Mahra, jithar, Bihar 855113",854116,25.5605785,87.7924457,ChIJOU9bBgC1-jkRk9BhlSRfBo0,https://www.google.com/maps/place/?q=place_id:ChIJOU9bBgC1-jkRk9BhlSRfBo0,part_400,2026-09-20 20:20:31
Jaiswal travels,Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",+91 99348 80626,N/A,3.4,,"Railway Colony, Katihar, Bihar 854105",Railway Colony,25.5480625,87.56529049999999,ChIJtct-YHqr-jkRaRTl0wfFKgw,https://www.google.com/maps/place/?q=place_id:ChIJtct-YHqr-jkRaRTl0wfFKgw,part_400,2026-09-20 20:20:31
Azhar travels,Tour and Travel Operator,Apartment building,Apartment building,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,,,"GR86+QJH, Chaulhar, Bihar 855113",854116,25.5169383,87.8115969,ChIJCUKJHjK3-jkR_5xlM3GM1gk,https://www.google.com/maps/place/?q=place_id:ChIJCUKJHjK3-jkR_5xlM3GM1gk,part_400,2026-09-20 20:20:31
Bishanpur csc canter,Tour and Travel Operator,Railway Ticket Agent,Railway Ticket Agent,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,,"JP7V+5W, Bishunpur, Bihar 855114",854116,25.612959699999998,87.744813,ChIJfahCwFuz-jkRC5FTtQtYgG4,https://www.google.com/maps/place/?q=place_id:ChIJfahCwFuz-jkRC5FTtQtYgG4,part_400,2026-09-20 20:20:31
"ZARIN TOUR & TRAVEL,S",Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,,,"SLUICE GATE, Sambalpur, Mihahat, West Bengal 732125",854116,25.364736399999998,87.8067864,ChIJS09DUJa5-jkRnrH-Vs6PKGY,https://www.google.com/maps/place/?q=place_id:ChIJS09DUJa5-jkRnrH-Vs6PKGY,part_400,2026-09-20 20:20:31
Sahabil toto wala manjheli,Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,2.0,,"HP8P+9Q2, Majhaili, Bihar 855114",854116,25.5658754,87.7368918,ChIJP4hhMACz-jkReZkiphZqJN8,https://www.google.com/maps/place/?q=place_id:ChIJP4hhMACz-jkReZkiphZqJN8,part_400,2026-09-20 20:20:31
Zishan Tours and travel,Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,,,"New Officer's Colony, Katihar, Bihar 854105",New Officer's Colony,25.5504376,87.5498334,ChIJua-Vveir-jkRZpQYwZFiTRw,https://www.google.com/maps/place/?q=place_id:ChIJua-Vveir-jkRZpQYwZFiTRw,part_400,2026-09-20 20:20:32
KTR TOURS AND TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,,,"HG2X+FXM, New Officer's Colony, Katihar, Bihar 854105",New Officer's Colony,25.551209699999998,87.549914,ChIJJx0UYwmr-jkR3FR2YbQK-_M,https://www.google.com/maps/place/?q=place_id:ChIJJx0UYwmr-jkR3FR2YbQK-_M,part_400,2026-09-20 20:20:32
NS Tours & Travels,Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,5.0,,"GMG6+5C3, NH 31, kishanganj, Harphara, Bihar 854116",854116,25.525397299999998,87.6610541,ChIJDY-F1Qiv-jkRobdRyKXS2gs,https://www.google.com/maps/place/?q=place_id:ChIJDY-F1Qiv-jkRobdRyKXS2gs,part_400,2026-09-20 20:20:32
Akshat travell agency,Tour and Travel Operator,Travel agency,Travel agency,854116,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Mahadevpur SO Katihar, BAINA BO, BASTAUL BO",N/A,N/A,,,"01, P & T Colony, P and T Colony, Lohiya Nagar, Katihar, Bihar 854105","P & T Colony, P and T Colony, Lohiya Nagar",25.5483281,87.5571042,ChIJp4iEvxer-jkREgiuSxZMfi4,https://www.google.com/maps/place/?q=place_id:ChIJp4iEvxer-jkREgiuSxZMfi4,part_400,2026-09-20 20:20:32
