business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Drone Shot,Videographer and Drone Rental,Video production service,Video production service,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 87894 20541,https://www.instagram.com/droneguru99?igsh=MXkwY3VnNHpicDZhag==,5.0,,"near Kali mandir, Khagara, Bihar 853204",854117,25.351025999999997,87.0621862,ChIJTQUC2pox8DkRIA6A0f4YwiQ,https://www.google.com/maps/place/?q=place_id:ChIJTQUC2pox8DkRIA6A0f4YwiQ,part_400,2026-09-20 20:21:26
Dronewale Studio,Videographer and Drone Rental,Aerial photographer,"Aerial photographer, Advertising Photographer, Drone service, Film and photograph library, Photography studio, Video editing service, Wedding photographer",854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 82073 31585,https://dronewalestudio.com/,4.9,71.0,"New Jaganpura, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800027","New Jaganpura, East Lakshmi Nagar, Ramkrishan Nagar",25.579736099999998,85.15459419999999,ChIJ_7PVWfmn8jkRrmIjqhDCPfA,https://www.google.com/maps/place/?q=place_id:ChIJ_7PVWfmn8jkRrmIjqhDCPfA,part_400,2026-09-20 20:21:28
Camera drone home,Videographer and Drone Rental,Computer store,Computer store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",N/A,N/A,2.9,9.0,"GWC4+H95, Gauchi Dih, Bihar 852219",854117,25.5213899,86.90599879999999,ChIJ5-g2Zrct8DkRic0KlWZYlco,https://www.google.com/maps/place/?q=place_id:ChIJ5-g2Zrct8DkRic0KlWZYlco,part_400,2026-09-20 20:21:28
QUADNATION DRONE AND INNOVATION,Videographer and Drone Rental,Aerospace company,"Aerospace company, Aerial photographer, Aeroclub, Mapping service, Photography Class",854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 70046 07832,http://www.aerowingstechnologies.com/,4.6,133.0,"TIWARI PATH Road Number B, Umashankar Tiwary Path, Jay Prakash Nagar, Rajeev Nagar, Patna, Bihar 800025","Jay Prakash Nagar, Rajeev Nagar",25.6220033,85.086193,ChIJeUvgUp9X7TkRvDG8-YSViik,https://www.google.com/maps/place/?q=place_id:ChIJeUvgUp9X7TkRvDG8-YSViik,part_400,2026-09-20 20:21:28
YASH HD video graphy,Videographer and Drone Rental,Camera store,Camera store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 62077 04192,N/A,5.0,1.0,"989J+3HC, Damodarpur Baldha, Bihar 801305",854117,25.3676985,85.3313632,ChIJcQwQs0qX8jkRCi0jUUga1Kk,https://www.google.com/maps/place/?q=place_id:ChIJcQwQs0qX8jkRCi0jUUga1Kk,part_400,2026-09-20 20:21:28
Ranjay Video Camera,Videographer and Drone Rental,Electronics store,Electronics store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 87574 32157,N/A,4.8,72.0,"Kapea, Bihar 824235",854117,25.0184644,84.8610281,ChIJe21dOBsyjTkRhLUMcz0baCk,https://www.google.com/maps/place/?q=place_id:ChIJe21dOBsyjTkRhLUMcz0baCk,part_400,2026-09-20 20:21:28
Raj Video Mixing Lab,Videographer and Drone Rental,Camera store,Camera store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",N/A,N/A,3.9,12.0,"Pakridayal North, Bihar 845428",854117,26.553927899999998,85.0642261,ChIJBQzGayLP7DkRYJ8VagNYOY8,https://www.google.com/maps/place/?q=place_id:ChIJBQzGayLP7DkRYJ8VagNYOY8,part_400,2026-09-20 20:21:28
SANGAM FILMS,Videographer and Drone Rental,Video production service,"Video production service, Cinema equipment supplier, Film Production Company, Photographer, Photography service, Photography studio, Video editing service, Wedding photographer, Wedding planner",854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 81024 26971,https://www.instagram.com/sangam_filmss?igsh=MWpwNmV2MWhjaWNncw==,5.0,129.0,"Jai Hind Colony, New, Ranipur, Phulwari Sharif, Patna, Bihar 801505","Ranipur, Phulwari Sharif",25.572213299999998,85.0795662,ChIJwx-h7Sip8jkR6HdR1a0M4Gc,https://www.google.com/maps/place/?q=place_id:ChIJwx-h7Sip8jkR6HdR1a0M4Gc,part_400,2026-09-20 20:21:28
SHREE HARI KRISHI DRONE ENTERPRISES,Videographer and Drone Rental,Agricultural service,Agricultural service,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 74818 44890,N/A,5.0,2.0,"near Deep Automotive, Bilauri, Bihar 811311",854117,25.1373987,86.059733,ChIJR0YVqAQ98jkR5WQDtk7ucv0,https://www.google.com/maps/place/?q=place_id:ChIJR0YVqAQ98jkR5WQDtk7ucv0,part_400,2026-09-20 20:21:28
Unique RC Products,Videographer and Drone Rental,Electronics repair shop,Electronics repair shop,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 82858 50869,http://www.uniquercproducts.shop/,4.8,93.0,"Shop No 32A, Kh No 46/14, near by SK Properties, Kanhaiya Nagar, Nilothi Extn, Nilothi, New Delhi, Delhi, 110041","Kanhaiya Nagar, Nilothi Extn, Nilothi",28.644311,77.0623024,ChIJ0_XQov0FDTkRlYmn4nkGOOo,https://www.google.com/maps/place/?q=place_id:ChIJ0_XQov0FDTkRlYmn4nkGOOo,part_400,2026-09-20 20:21:28
Pawan camera shop,Videographer and Drone Rental,Camera store,Camera store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 73010 99621,N/A,4.5,13.0,"Janpul chawk, near Suvidha Hotel, Arya Nagar, Motihari, Bihar 845401",Arya Nagar,26.665048199999998,84.9102661,ChIJzfapJWE1kzkRzuW874KdlB0,https://www.google.com/maps/place/?q=place_id:ChIJzfapJWE1kzkRzuW874KdlB0,part_400,2026-09-20 20:21:28
S Video Films,Videographer and Drone Rental,Camera store,Camera store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",N/A,N/A,1.5,2.0,"NH 231, Chhoti, Telaunchh, Chautham, Bihar 851213",854117,25.494068499999997,86.6523053,ChIJh7ODJrLd8TkRtvprUEWQM5M,https://www.google.com/maps/place/?q=place_id:ChIJh7ODJrLd8TkRtvprUEWQM5M,part_400,2026-09-20 20:21:28
