business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Thyrocare Diagnostic Lab | Blood Test Centre - Bhawanipur Rajdham, Bihar",Diagnostic Center,Diagnostic center,Diagnostic center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",+91 98019 53560,https://thyrocare.com/near-by-location/BHAWANIPUR%20RAJDHAM/BIHAR/franchise-name-FE182,,,"Gr floor, near Post Office, Bhawanipur Purnia, Bhawanipur Rajdham, Bihar 854204",854203,25.816,87.026,ChIJf20i2trR7zkRD30K2Ka7xfk,https://www.google.com/maps/place/?q=place_id:ChIJf20i2trR7zkRD30K2Ka7xfk,part_400,2026-09-20 20:23:26
New Purnea Diagnostic Centre (Dhamdaha),Diagnostic Center,Pathologist,Pathologist,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",N/A,N/A,5.0,,"Ibrahim Market Market, Damdaha East, Bihar 854205",854203,25.739045599999997,87.18467629999999,ChIJQZYlaQDd7zkRS4o5VIZIihY,https://www.google.com/maps/place/?q=place_id:ChIJQZYlaQDd7zkRS4o5VIZIihY,part_400,2026-09-20 20:23:26
"CHANDAN MEDICO, BARHARA KOTHI ,PURNEA ,BIHAR",Diagnostic Center,Medical Center,Medical Center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",+91 93044 31464,N/A,5.0,,"BASUDEOPUR, Barhara Kothi, Barhari, Bihar 854203",BASUDEOPUR,25.770587499999998,87.0994927,ChIJZUQ6xwXb7zkR7YFc9qiJDf4,https://www.google.com/maps/place/?q=place_id:ChIJZUQ6xwXb7zkR7YFc9qiJDf4,part_400,2026-09-20 20:23:26
Raja Kumar Bharti,Diagnostic Center,Medical diagnostic imaging center,Medical diagnostic imaging center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",N/A,N/A,,,"Q4C6+QC5, Barhara Kothi, Bihar 854203",854203,25.7718758,87.1111088,ChIJbwl4aQDb7zkRmYHWddzDDH4,https://www.google.com/maps/place/?q=place_id:ChIJbwl4aQDb7zkRmYHWddzDDH4,part_400,2026-09-20 20:23:26
New star clinic,Diagnostic Center,Medical diagnostic imaging center,Medical diagnostic imaging center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",N/A,N/A,,,"R2GQ+9XQ, Dibra, Bihar 854203",854203,25.8259638,87.0399822,ChIJE97IUQDP7zkRNoJ0f3IwU1w,https://www.google.com/maps/place/?q=place_id:ChIJE97IUQDP7zkRNoJ0f3IwU1w,part_400,2026-09-20 20:23:26
Central Janch Ghar,Diagnostic Center,Diagnostic center,Diagnostic center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",+91 95346 70808,N/A,5.0,,"Shop No 01 Ward, 13, Banmankhi - Dhamdaha Rd, near Shiv -Durga Mandir, Nehru Chowk, Damdaha East, Bihar 854205",Nehru Chowk,25.7378535,87.17935279999999,ChIJMbHTjvTd7zkRY4AKtz3c8oo,https://www.google.com/maps/place/?q=place_id:ChIJMbHTjvTd7zkRY4AKtz3c8oo,part_400,2026-09-20 20:23:26
पटेल टोला जयनगरा 🔥,Diagnostic Center,Medical Center,Medical Center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",N/A,N/A,5.0,,"Q4C5+XV8, Block Rd, Barhara Kothi, Bihar 854203",854203,25.7724123,87.1096914,ChIJCZGnKgDb7zkRW_DUJMUS-5M,https://www.google.com/maps/place/?q=place_id:ChIJCZGnKgDb7zkRW_DUJMUS-5M,part_400,2026-09-20 20:23:26
Anshika medical hol,Diagnostic Center,Medical Center,Medical Center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",N/A,N/A,,,"Q37R+JXR, Bitheli dhanpat b kothi purnia bihar pin, Bihar 854203",854203,25.7641153,87.0923906,ChIJx1_LIADb7zkRL2i-eQSsqP0,https://www.google.com/maps/place/?q=place_id:ChIJx1_LIADb7zkRL2i-eQSsqP0,part_400,2026-09-20 20:23:26
Abhimanyu Medical Store,Diagnostic Center,Medical Center,Medical Center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",+91 91533 46164,N/A,1.0,,"Ward No. 04, 05 , Dibra Dhani, Main Road, Dhani B, Kothi, Dibra, Bihar 854203","Dhani B, Kothi",25.8190149,87.0661087,ChIJ0SIxRkDb7zkRZwBcTRh481U,https://www.google.com/maps/place/?q=place_id:ChIJ0SIxRkDb7zkRZwBcTRh481U,part_400,2026-09-20 20:23:26
KOMAL MEDICAL AGENCY DIBRA BAZAR,Diagnostic Center,Medical Center,Medical Center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",N/A,N/A,,,"ललीता कम्पलेक्स, दिवरा बाजार, पूर्णियाँ, Dibra, Bihar 854203",दिवरा बाजार,25.8232973,87.04593899999999,ChIJF7VTiybP7zkRn-ag4KnnCTo,https://www.google.com/maps/place/?q=place_id:ChIJF7VTiybP7zkRn-ag4KnnCTo,part_400,2026-09-20 20:23:26
Golu Medicine Center & Electronics,Diagnostic Center,Medical Center,Medical Center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",N/A,N/A,,,"R37F+QH, Dibra, Bihar 854203",854203,25.813596699999998,87.07324659999999,ChIJHcixAwDb7zkR0JRG5PsuOKM,https://www.google.com/maps/place/?q=place_id:ChIJHcixAwDb7zkR0JRG5PsuOKM,part_400,2026-09-20 20:23:26
Hind Diagnostics,Diagnostic Center,Diagnostic center,Diagnostic center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",+91 90511 63539,http://www.hinddiagnostics.com/,4.3,,"near neelam hospital, Line Bazar, Purnia, Bihar 854301",Line Bazar,25.782141199999998,87.4887701,ChIJhU9YJ1T57zkRrjgO1On3zt4,https://www.google.com/maps/place/?q=place_id:ChIJhU9YJ1T57zkRrjgO1On3zt4,part_400,2026-09-20 20:23:27
National Diagnostic centre,Diagnostic Center,Diagnostic center,Diagnostic center,854203,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Barhara Kothi SO, Bhatottar Chakla BO, Bhatsara BO",N/A,N/A,5.0,,"QFMR+G2R, infront Purnia Medicose, Dharamshala Rd, near Rahman Clinic in Anpurna market, Line Bazar, Purnia, Bihar 854301","Ashiyana Colony, Line Bazar",25.7838522,87.4900286,ChIJE_SuVLL57zkRlpE671oczWc,https://www.google.com/maps/place/?q=place_id:ChIJE_SuVLL57zkRlpE671oczWc,part_400,2026-09-20 20:23:27
