business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Git Space Computer Academy | Computer Institute | Computer Coaching |,Computer Training Institute,Educational institution,Educational institution,854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",+91 74881 74817,N/A,4.9,13,"Aakarsh Plaza, near Mahavir Mandir, Janta Chowk, PWD Colony, Purnia, Bihar 854301","Janta Chowk, PWD Colony",25.7907413,87.4789594,ChIJWRX7jVT57zkRTNhY1tnhZzU,https://www.google.com/maps/place/?q=place_id:ChIJWRX7jVT57zkRTNhY1tnhZzU,part_400,2026-09-20 20:25:36
CBS COMPUTER CLASSES,Computer Training Institute,Education center,Education center,854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",+91 72099 27179,https://www.nsemindia.org/,5.0,12,"SOUMYA COMPLEX, RANGBHUMI CHOWK, Madhubani, Purnia, Bihar 854301",Madhubani,25.786245899999997,87.47032999999999,ChIJf0g_RMH57zkR7s6Ujl1v2lc,https://www.google.com/maps/place/?q=place_id:ChIJf0g_RMH57zkR7s6Ujl1v2lc,part_400,2026-09-20 20:25:36
Raj Computers Academy Rambagh Purnia,Computer Training Institute,Educational institution,"Educational institution, Computer consultant, Computer support and services, Software Training Institute",854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",+91 99733 62484,https://rajcomputersbihar.com/,5.0,73,"Chowk, near V-Mart Mall, Defence Colony, Rambagh, Purnia, Bihar 854301","Defence Colony, Rambagh",25.792303399999998,87.4975335,ChIJrduRHan57zkRG-zzE9CbGmU,https://www.google.com/maps/place/?q=place_id:ChIJrduRHan57zkRG-zzE9CbGmU,part_400,2026-09-20 20:25:36
ACHIEVE SUCCESS COMPUTER INSTITUTE,Computer Training Institute,Education center,Education center,854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",+91 62007 76046,N/A,4.9,57,"87, Hazrat Ganj Main Rd, Hazrat Ganj, VIP Colony, Madhopara, Purnia, Bihar 854301","Hazrat Ganj, VIP Colony, Madhopara",25.7811879,87.4938371,ChIJ7wP4SgD57zkROuKjq59muXM,https://www.google.com/maps/place/?q=place_id:ChIJ7wP4SgD57zkROuKjq59muXM,part_400,2026-09-20 20:25:36
Rainbow Computer Classes,Computer Training Institute,Computer consultant,Computer consultant,854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",N/A,N/A,5.0,15,"Near, Rangbhumi Rd, Chowk, Purnia, Bihar 854301",Chowk,25.7861703,87.4711597,ChIJg11yj6z57zkRrMyjndOznic,https://www.google.com/maps/place/?q=place_id:ChIJg11yj6z57zkRrMyjndOznic,part_400,2026-09-20 20:25:36
Net.xprt,Computer Training Institute,Training center,"Training center, Software Training Institute",854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",+91 94700 90621,http://www.aictindia.com/,4.9,63,"100Mtr. west from, Rangbhumi Rd, Chowk, Purnia, Bihar 854301",Chowk,25.7853094,87.4708308,ChIJS7HjZ3j57zkRLQ_qkVSbYSA,https://www.google.com/maps/place/?q=place_id:ChIJS7HjZ3j57zkRLQ_qkVSbYSA,part_400,2026-09-20 20:25:36
My Digital Guru,Computer Training Institute,Training center,"Training center, Coaching Center, Computer service, Education center, Software Training Institute, Educational institution",854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",+91 85058 50898,https://www.mydigitalguru.org/,4.8,32,"Srivastav Palace, 34/135, Donor Chowk, Prabhat Colony, Purnia, Bihar 854301",Prabhat Colony,25.790367399999997,87.48616349999999,ChIJebmo-R357zkRinOF1Rhlw08,https://www.google.com/maps/place/?q=place_id:ChIJebmo-R357zkRinOF1Rhlw08,part_400,2026-09-20 20:25:36
Success Computer Education Centre,Computer Training Institute,Coaching Center,"Coaching Center, Software Training Institute",854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",+91 90067 24175,N/A,5.0,9,"Dig chowk, Purnea - Srinagar Rd, PWD Colony, Purnia, Bihar 854301",PWD Colony,25.787672,87.4784121,ChIJId-xJp_57zkR3AbBSzceeDA,https://www.google.com/maps/place/?q=place_id:ChIJId-xJp_57zkR3AbBSzceeDA,part_400,2026-09-20 20:25:36
IICE Computer Purnia,Computer Training Institute,Coaching Center,Coaching Center,854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",+91 84090 00658,http://iicecomputer.co.in/,4.8,60,"QF6P+Q55, NH31, Bhatta Bazar, Madhopura, Purnia, Bihar 854301","Bhatta Bazar, Madhopura",25.761892699999997,87.4854933,ChIJ8xK7Hhb57zkRZ550AQcvmyU,https://www.google.com/maps/place/?q=place_id:ChIJ8xK7Hhb57zkRZ550AQcvmyU,part_400,2026-09-20 20:25:36
Sunshine Technology,Computer Training Institute,Education center,"Education center, Computer club, Computer support and services, Software Training Institute",854301,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Purnea HO, Bhatta Bazar SO, Purnea Court SO",N/A,N/A,4.3,11,"in front of Ursuline Convent School, near Rang Bhoomi Maidan, PWD Colony, Purnia, Bihar 854301",PWD Colony,25.7875002,87.47283259999999,ChIJ2bsQ4J757zkRKqecbwa3wF4,https://www.google.com/maps/place/?q=place_id:ChIJ2bsQ4J757zkRKqecbwa3wF4,part_400,2026-09-20 20:25:36
