business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Advance Laptops,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer Hardware Company, Computer security service, Computer support and services, Used computer store",854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 73219 08846,https://laptoprepairingcenterararia.com/,4.8,,"Vikash Market Rd, Rahika Tola, PHED Colony, Araria, Bihar 854311","Rahika Tola, PHED Colony",26.132501899999998,87.467129,ChIJ13Ha4vGJ7zkRG5JSIjzV__0,https://www.google.com/maps/place/?q=place_id:ChIJ13Ha4vGJ7zkRG5JSIjzV__0,part_400,2026-09-20 20:30:16
Laptop World,Computer Sales and Laptop Repair,Computer store,Computer store,854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 79037 99867,N/A,4.7,,"Raniganj Rd, near BIJALI OFFICE, Shivpuri, Araria Mahalla, Araria, Bihar 854311","Shivpuri, Araria Mahalla",26.132742,87.45287259999999,ChIJk9t36IWP7zkRE-Rbf8ILM-U,https://www.google.com/maps/place/?q=place_id:ChIJk9t36IWP7zkRE-Rbf8ILM-U,part_400,2026-09-20 20:30:16
MS IT SERVICES,Computer Sales and Laptop Repair,Computer support and services,"Computer support and services, Computer accessories store, Computer networking service, Computer service, Used computer store",854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 93793 65381,https://www.facebook.com/profile.php?id=100065141677008&mibextid=ZbWKwL,4.9,,"WARD 11, CHOWK, near DTO OFFICE, KHARAYYA BASTI, Eidgah, Araria, Bihar 854311",KHARAYYA BASTI,26.147571,87.456682,ChIJDbjqNIaP7zkRATBGq5FC9rA,https://www.google.com/maps/place/?q=place_id:ChIJDbjqNIaP7zkRATBGq5FC9rA,part_400,2026-09-20 20:30:16
Computer Plaza,Computer Sales and Laptop Repair,Computer store,Computer store,854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 62019 93484,N/A,5.0,,"City Market, Near, Main Rd, Chandni Chowk, PHED Colony, Araria, Bihar 854311","Chandni Chowk, PHED Colony",26.132890999999997,87.4677847,ChIJa4cl-1OJ7zkR3_iyvIh9yjs,https://www.google.com/maps/place/?q=place_id:ChIJa4cl-1OJ7zkR3_iyvIh9yjs,part_400,2026-09-20 20:30:16
Media Computers,Computer Sales and Laptop Repair,Computer store,Computer store,854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 70041 65007,N/A,5.0,,"Araria, PHED Colony, Araria, Bihar 854311",PHED Colony,26.1351235,87.4668856,ChIJJ5CTFteJ7zkRjKg_UHv0_6A,https://www.google.com/maps/place/?q=place_id:ChIJJ5CTFteJ7zkRjKg_UHv0_6A,part_400,2026-09-20 20:30:16
Amazing World,Computer Sales and Laptop Repair,Computer accessories store,"Computer accessories store, Electronics store",854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 79038 42939,N/A,4.2,,"4FM8+2VC, Vikash Market Rd, Chandni Chowk, PHED Colony, Araria, Bihar 854311","Chandni Chowk, PHED Colony",26.132564499999997,87.4671256,ChIJ0bxBO0mJ7zkRmZDAVcNmWPM,https://www.google.com/maps/place/?q=place_id:ChIJ0bxBO0mJ7zkRmZDAVcNmWPM,part_400,2026-09-20 20:30:16
Basuki art,Computer Sales and Laptop Repair,Computer store,Computer store,854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",N/A,N/A,5.0,,"Adb Chowk, PHED Colony, Araria, Bihar 854311",PHED Colony,26.133343999999997,87.46280589999999,ChIJ3yshBwCJ7zkRxcQzUUVlNEQ,https://www.google.com/maps/place/?q=place_id:ChIJ3yshBwCJ7zkRxcQzUUVlNEQ,part_400,2026-09-20 20:30:16
NS COMPUTERS & BSNL FIBER BROADBAND,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Business networking company, Cable company, Computer networking service, Internet service provider, Computer store, Computer support and services, Computer Wholesaler",854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 93347 66760,https://www.nsbnetworks.in/,3.6,,"Vikash Market Rd, near Chandni Chowk, Rahika Tola, PHED Colony, Araria, Bihar 854311","Rahika Tola, PHED Colony",26.132472999999997,87.46732999999999,ChIJgzA0kkiJ7zkRa6y2pFCcs1I,https://www.google.com/maps/place/?q=place_id:ChIJgzA0kkiJ7zkRa6y2pFCcs1I,part_400,2026-09-20 20:30:16
M.G SERVICE CSC CENTER,Computer Sales and Laptop Repair,Computer accessories store,Computer accessories store,854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 91137 75108,N/A,5.0,,"NH327 NEAR MAHARSHI MOTORS HERO SHOWROOM HIGHWAY 🛣 ROAD DHANPURA, Jokihat, Araria, Bihar 854329",854311,26.1403756,87.621884,ChIJVWp-uj9j5TkRYeqDQCVwk0k,https://www.google.com/maps/place/?q=place_id:ChIJVWp-uj9j5TkRYeqDQCVwk0k,part_400,2026-09-20 20:30:16
Ganpati Computer,Computer Sales and Laptop Repair,Computer store,Computer store,854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 97091 75923,N/A,3.6,,"MAHAVIR MARKET, Marwari Patti Road, Rahika Tola, PHED Colony, Araria, Bihar 854311","Rahika Tola, PHED Colony",26.1327012,87.4601038,ChIJyxrKoEuJ7zkRFlmBl0dvFFA,https://www.google.com/maps/place/?q=place_id:ChIJyxrKoEuJ7zkRFlmBl0dvFFA,part_400,2026-09-20 20:30:16
Anwar Mobile Repairing Center,Computer Sales and Laptop Repair,Computer store,Computer store,854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 78923 81637,N/A,5.0,,"Shop 01 Doria Sonapur Murballa, near Nh, Araria, Bihar 854311",854311,26.1771422,87.40511839999999,ChIJwSsiwSqP7zkRhBzNOamTyBU,https://www.google.com/maps/place/?q=place_id:ChIJwSsiwSqP7zkRhBzNOamTyBU,part_400,2026-09-20 20:30:16
WEBFOREST DIGITAL,Computer Sales and Laptop Repair,Software company,"Software company, Land surveying office",854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 79035 54767,https://webforest.in/,4.9,385.0,"No. 20, Rd Number 57, near Model Public School Azad Academy, Azad Nagar, Araria, Bihar 854311",Azad Nagar,26.126558499999998,87.4657237,ChIJE6S5bQaJ7zkRQyCPY7CejUI,https://www.google.com/maps/place/?q=place_id:ChIJE6S5bQaJ7zkRQyCPY7CejUI,part_400,2026-09-20 20:30:17
LINCY,Computer Sales and Laptop Repair,Computer software store,"Computer software store, Electronics store",854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",N/A,N/A,4.3,52.0,"Kankhudia, Bihar 854333",854311,26.283028899999998,87.5833363,ChIJBwrf-qB95TkRLR8teSgZhkw,https://www.google.com/maps/place/?q=place_id:ChIJBwrf-qB95TkRLR8teSgZhkw,part_400,2026-09-20 20:30:17
Hoda Niwas Araria,Computer Sales and Laptop Repair,Home audio store,Home audio store,854311,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Araria SO, Araria Bairgachhi BO, Bagdahara BO",+91 88091 40823,N/A,4.7,29.0,"Kakurwa Basti Ward no- 29 Bhagat Tola Road Kakurrwa Basti, Millat Nagar, Araria, Bihar 854311","Bhagat Tola, Millat Nagar",26.129976499999998,87.476209,ChIJf-6lCkOJ7zkR_i5_4zLPnec,https://www.google.com/maps/place/?q=place_id:ChIJf-6lCkOJ7zkR_i5_4zLPnec,part_400,2026-09-20 20:30:17
