business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PRIDE PHARMA (Pharmaceutical Stockist),24 Hour Pharmacy,Pharmacy,"Pharmacy, Medical Center, Pharmaceutical Products Wholesaler",854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",+91 74630 45380,http://www.pridepharma.co.in/,5.0,3.0,"Janta Haat, Baisi, Bajardih, Bihar 854315",854315,25.9160667,87.7480944,ChIJBelr-Q5F5TkREFVwBtA_RNw,https://www.google.com/maps/place/?q=place_id:ChIJBelr-Q5F5TkREFVwBtA_RNw,part_400,2026-09-20 20:31:14
Mohammd Pharma,24 Hour Pharmacy,Pharmacy,Pharmacy,854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",N/A,N/A,,,"VQ6V+CHC, Charaiya, Baisi, Bangrora Kamat, Bihar 854315",Charaiya,25.8610528,87.79390479999999,ChIJnzPng5lH5TkRDnZ6h926F24,https://www.google.com/maps/place/?q=place_id:ChIJnzPng5lH5TkRDnZ6h926F24,part_400,2026-09-20 20:31:14
Savera nursing home,24 Hour Pharmacy,Pharmacy,"Pharmacy, Hospital",854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",N/A,N/A,5.0,1.0,"NEAR ASHA OFFICE SULTAN COLONY KISHANGANJ BIHAR PIN CODE 855107 KISHANGNAJ, Bihar 855107",854315,26.0982167,87.9450379,ChIJy2RfdlQX5TkRHz102COLKE4,https://www.google.com/maps/place/?q=place_id:ChIJy2RfdlQX5TkRHz102COLKE4,part_400,2026-09-20 20:31:14
Dr Murshid Alam Clinic,24 Hour Pharmacy,Pharmacy,Pharmacy,854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",N/A,N/A,3.3,4.0,"VQGH+28V, govindpur charaiya baisi, Gobindpur, Bihar 854315",854315,25.8751155,87.77828889999999,ChIJXVkY-PVH5TkRgqQQHv8c1Sg,https://www.google.com/maps/place/?q=place_id:ChIJXVkY-PVH5TkRgqQQHv8c1Sg,part_400,2026-09-20 20:31:14
AADIL MEDICAL AND SURGICAL AGENCY,24 Hour Pharmacy,Pharmacy,Pharmacy,854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",N/A,N/A,5.0,1.0,"Kalam chowk, Echalo, Dagarua, Bihar 854330",854315,25.8458805,87.6080834,ChIJW0Gmt1H57zkRbP7z-LXrLLc,https://www.google.com/maps/place/?q=place_id:ChIJW0Gmt1H57zkRbP7z-LXrLLc,part_400,2026-09-20 20:31:14
Rajesh gupta house,24 Hour Pharmacy,Pharmacy,Pharmacy,854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",N/A,N/A,,,"JHV5+PH5, Purnea-Katihar Road, Chanpi, Dalan East, Bihar 854337",854315,25.644271699999997,87.5589749,ChIJq7acaABV5TkRes7-cQMvf44,https://www.google.com/maps/place/?q=place_id:ChIJq7acaABV5TkRes7-cQMvf44,part_400,2026-09-20 20:31:15
"Shagun Medical,Durgaganj",24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store",854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",N/A,N/A,5.0,,"state bank and panchayte road durgaganjBihar Durgaganj, Bihar 855105",854315,25.711825299999997,87.7549854,ChIJ0zknsVpN5TkRNo4d81yunSg,https://www.google.com/maps/place/?q=place_id:ChIJ0zknsVpN5TkRNo4d81yunSg,part_400,2026-09-20 20:31:15
Walima Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",N/A,N/A,,,"QRXR+53M, Telta, Bagdob, Bihar 854317",854315,25.7979727,87.84017519999999,ChIJhenb279J5TkRpxvZ0HZ4gAw,https://www.google.com/maps/place/?q=place_id:ChIJhenb279J5TkRpxvZ0HZ4gAw,part_400,2026-09-20 20:31:15
Sunny Medical Store,24 Hour Pharmacy,Pharmacy,Pharmacy,854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",N/A,N/A,5.0,,"4JR9+XC5, Referral hospital road, Dhanpura, Bihar 854329",854315,26.142394499999998,87.61859659999999,ChIJM-p2fXVk5TkRrolQa0danIw,https://www.google.com/maps/place/?q=place_id:ChIJM-p2fXVk5TkRrolQa0danIw,part_400,2026-09-20 20:31:15
Star Medico Distributors,24 Hour Pharmacy,Pharmacy,Pharmacy,854315,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Baisi SO, Amour BO, Asja Mobaiya BO",N/A,N/A,4.5,,"Imligola Chowk, Insan School Rd, Kishanganj, Bihar 855107",854315,26.108277899999997,87.9397857,ChIJs8erMgUX5TkR4kexHM2la2U,https://www.google.com/maps/place/?q=place_id:ChIJs8erMgUX5TkR4kexHM2la2U,part_400,2026-09-20 20:31:15
