business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NEW MEDIMART,Medical Equipment Supplier,Medical supply store,Medical supply store,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",+91 90971 90704,N/A,5.0,,"Sadar Rd, near Jyoti cinema hall mor, Forbesganj, Bihar 854318",854316,26.3014065,87.2624367,ChIJtcRlIbGf7zkRbsxqYZtcbYc,https://www.google.com/maps/place/?q=place_id:ChIJtcRlIbGf7zkRbsxqYZtcbYc,part_400,2026-09-20 20:31:58
Mandal medical store,Medical Equipment Supplier,Medical supply store,Medical supply store,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",N/A,N/A,5.0,,"Kotihat chowk, Forbesganj, Matiari, Bihar 854316",Kotihat chowk,26.3125057,87.2661586,ChIJxd7pI4Kf7zkRhb8d5hwc1WU,https://www.google.com/maps/place/?q=place_id:ChIJxd7pI4Kf7zkRhb8d5hwc1WU,part_400,2026-09-20 20:31:58
purushottam Medico,Medical Equipment Supplier,Medical supply store,Medical supply store,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",N/A,N/A,5.0,,"8734+JMW, Forbesganj, Bihar 854318",854316,26.3041004,87.2566987,ChIJvXgxBiyf7zkRbndgzp2XC2c,https://www.google.com/maps/place/?q=place_id:ChIJvXgxBiyf7zkRbndgzp2XC2c,part_400,2026-09-20 20:31:58
Shree enterprise,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",N/A,N/A,,,"8732+CPC, Forbesganj, Bihar 854318",854316,26.3035705,87.251779,ChIJ63NZbQCf7zkRO1KEhBspyMs,https://www.google.com/maps/place/?q=place_id:ChIJ63NZbQCf7zkRO1KEhBspyMs,part_400,2026-09-20 20:31:58
nandani medical,Medical Equipment Supplier,Medical supply store,Medical supply store,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",N/A,N/A,,,"87CJ+89P, Dhamadha, Forbesganj, Bihar 854318",Dhamadha,26.3208488,87.2809683,ChIJgYy66kuf7zkRh8HbrvhzaK4,https://www.google.com/maps/place/?q=place_id:ChIJgYy66kuf7zkRh8HbrvhzaK4,part_400,2026-09-20 20:31:58
Shree enterprise,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",N/A,N/A,,,"8732+CPC, Hospital Rd, Ward Number 8, Forbesganj, Bihar 854318",Ward Number 8,26.3035648,87.2517714,ChIJQbK-TwCf7zkRpTfnSsHCAnA,https://www.google.com/maps/place/?q=place_id:ChIJQbK-TwCf7zkRpTfnSsHCAnA,part_400,2026-09-20 20:31:58
B. Kumar distributors & surgicals,Medical Equipment Supplier,Medical supply store,Medical supply store,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",N/A,N/A,5.0,,"Ward no 11, Sadar Rd, Forbesganj, Bihar 854318",854316,26.296665599999997,87.26405539999999,ChIJtfVTewCZ7zkRbRet1C9lWB4,https://www.google.com/maps/place/?q=place_id:ChIJtfVTewCZ7zkRbRet1C9lWB4,part_400,2026-09-20 20:31:58
Shree enterprise Forbesganj,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",N/A,N/A,,,"8732+8RR, Forbesganj, Bihar 854318",854316,26.303371199999997,87.2520222,ChIJNWEPHACf7zkRO3m6beHw-Rs,https://www.google.com/maps/place/?q=place_id:ChIJNWEPHACf7zkRO3m6beHw-Rs,part_400,2026-09-20 20:31:58
Maa drug agency,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",N/A,N/A,,,"8733+68P, Forbesganj, Bihar 854318",854316,26.303079399999998,87.2533325,ChIJzUZ8HACf7zkReAA2YZ7-VZY,https://www.google.com/maps/place/?q=place_id:ChIJzUZ8HACf7zkReAA2YZ7-VZY,part_400,2026-09-20 20:31:58
Vikash Enterprises,Medical Equipment Supplier,Medical supply store,Medical supply store,854316,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Bathnaha SO, Amouna BO, Bhadeshwar BO",N/A,N/A,4.5,,"764J+998, Rewahi, Bihar 854318",854316,26.2559185,87.2309602,ChIJy7x0FIaY7zkRtKv3qusdKvI,https://www.google.com/maps/place/?q=place_id:ChIJy7x0FIaY7zkRtKv3qusdKvI,part_400,2026-09-20 20:31:58
