business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Daya Trading Company,Importers,Food products supplier,"Food products supplier, Farmers' market",854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",+91 99346 15853,N/A,5.0,2.0,"Tarauna Bhojpur, Bihar 854333",854331,26.2691762,87.5167278,ChIJNZjKZw6H7zkRPRC2t8YPFKA,https://www.google.com/maps/place/?q=place_id:ChIJNZjKZw6H7zkRPRC2t8YPFKA,part_400,2026-09-20 20:38:34
PANI TANKI HARIRA,Importers,Drinking water supplier,Drinking water supplier,854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",N/A,N/A,5.0,1.0,"9CC2+PF, Harira, Bihar 854331",854331,26.3717868,87.4011642,ChIJZ-SQPgCD7zkRkOdpwPlE6Pg,https://www.google.com/maps/place/?q=place_id:ChIJZ-SQPgCD7zkRkOdpwPlE6Pg,part_400,2026-09-20 20:38:34
SKR BROTHERS BHAI KISHAN KI DUKAN,Importers,Fertilizer Store,Fertilizer Store,854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",+91 70700 19629,N/A,5.0,1.0,"HATTA CHOWK, Kursa Kanta, Bihar 854331",854331,26.3567757,87.4398046,ChIJ_3WVF82D7zkRiBsXgXYID7Q,https://www.google.com/maps/place/?q=place_id:ChIJ_3WVF82D7zkRiBsXgXYID7Q,part_400,2026-09-20 20:38:34
AHMAD TRADERS,Importers,Fertilizer Store,Fertilizer Store,854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",N/A,N/A,,,"Kamaldaha Rd, Kursa Kanta, Shankar Pur, Bihar 854331",854331,26.3449662,87.4257599,ChIJdYo7VJSD7zkRDjW7oIMYeCc,https://www.google.com/maps/place/?q=place_id:ChIJdYo7VJSD7zkRDjW7oIMYeCc,part_400,2026-09-20 20:38:34
Ñooriē traders and Co,Importers,Supplier,"Supplier, Auto machine shop, Brick Manufacturer",854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",+91 72501 57406,N/A,5.0,2.0,"block ward n 06, panchayat bhavan road, near muararipur, Sikti, Bihar 854333",854331,26.4068696,87.5497925,ChIJxbnRBaR_5TkRheFnb6nzK80,https://www.google.com/maps/place/?q=place_id:ChIJxbnRBaR_5TkRheFnb6nzK80,part_400,2026-09-20 20:38:34
अवेश ट्रेडर्स खाद दुकान,Importers,Fertilizer Store,Fertilizer Store,854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",N/A,N/A,,,"8F7P+MX8, Pothia, Bihar 854331",854331,26.3141625,87.4874531,ChIJJRKuVgCB7zkRQwTE1I28CuY,https://www.google.com/maps/place/?q=place_id:ChIJJRKuVgCB7zkRQwTE1I28CuY,part_400,2026-09-20 20:38:34
Maa Jagdamba Tent House saranpur,Importers,Tent House Supplier,Tent House Supplier,854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",+91 73219 10903,N/A,5.0,1.0,"8C8V+PXW, Saranpur, Bihar 854331",854331,26.316809199999998,87.4447544,ChIJsa9PKQCD7zkRrEoWEe4R_fs,https://www.google.com/maps/place/?q=place_id:ChIJsa9PKQCD7zkRrEoWEe4R_fs,part_400,2026-09-20 20:38:34
Pravin Vastralaya,Importers,Tent House Supplier,Tent House Supplier,854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",N/A,N/A,,,"Pravin Vastralaya, Kursakanta Main Rd, near P3 bazar, Kursa Kanta, Bihar 854331",854331,26.360464699999998,87.4477355,ChIJD3lweQCD7zkRfP2iCmE-r0E,https://www.google.com/maps/place/?q=place_id:ChIJD3lweQCD7zkRfP2iCmE-r0E,part_400,2026-09-20 20:38:34
ADARSH TRADERS,Importers,General store,"General store, Cement Supplier",854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",+91 93048 58579,N/A,,,"Shop No 01 Ward No 01, Tira Chowk, Kuari, Khuthura Magrabi, Bihar 854332",854331,26.3787375,87.4630821,ChIJmf198wOB7zkRwtloHBdNj7M,https://www.google.com/maps/place/?q=place_id:ChIJmf198wOB7zkRwtloHBdNj7M,part_400,2026-09-20 20:38:35
Navin janaral store,Importers,Drinking water supplier,Drinking water supplier,854331,Bihar Circle,"East Region, Bhagalpur",Purnea Division,"Kursakanta SO, Chiknihat BO, Haldharahat BO",N/A,N/A,,,"9G8C+G6C, Bhirbhiri, Bihar 854333",854331,26.366316299999998,87.52052379999999,ChIJo3z4aACB7zkRLW_sGwppawc,https://www.google.com/maps/place/?q=place_id:ChIJo3z4aACB7zkRLW_sGwppawc,part_400,2026-09-20 20:38:35
