business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jahnvi Traders,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,4.0,4.0,"C44J+JJV, Manikpur, Bihar 854336",854336,26.4066218,87.13155239999999,ChIJURs8anAJ7zkRD2EDBghxJ6E,https://www.google.com/maps/place/?q=place_id:ChIJURs8anAJ7zkRD2EDBghxJ6E,part_400,2026-09-20 20:41:38
AK Kumar house,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,5.0,1.0,"C49F+2HJ, Palasi, Manikpur, Bihar 854336",854336,26.417592199999998,87.1238889,ChIJLR-BQgAJ7zkRiG2-ul_uza8,https://www.google.com/maps/place/?q=place_id:ChIJLR-BQgAJ7zkRiG2-ul_uza8,part_400,2026-09-20 20:41:38
Arvind kumar house,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,5.0,1.0,"943Q+6JR Narpat ganj chanda, Dumari, Bihar 854335",854336,26.3531048,87.1390201,ChIJ77TQPwCn7zkRds56oQhKjiE,https://www.google.com/maps/place/?q=place_id:ChIJ77TQPwCn7zkRds56oQhKjiE,part_400,2026-09-20 20:41:38
Ram kumar,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,5.0,1.0,"84WR+C8V, Khaira, Bihar 854335",854336,26.346108599999997,87.14080229999999,ChIJyeUzQACn7zkRJDdnkdQE79Q,https://www.google.com/maps/place/?q=place_id:ChIJyeUzQACn7zkRJDdnkdQE79Q,part_400,2026-09-20 20:41:38
Ramchandra,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,5.0,1.0,"94GJ+JGJ, Tope Nawabganj, Bihar 854336",854336,26.3765809,87.13125319999999,ChIJQ1jhZACn7zkRINTRsrp8P8o,https://www.google.com/maps/place/?q=place_id:ChIJQ1jhZACn7zkRINTRsrp8P8o,part_400,2026-09-20 20:41:38
Deepak Sah,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,1.0,1.0,"94JX+FXG, Nawab Ganj, Bihar 854336",854336,26.381183099999998,87.1499595,ChIJ76ZbVwCh7zkR3YrUBxDo7nY,https://www.google.com/maps/place/?q=place_id:ChIJ76ZbVwCh7zkR3YrUBxDo7nY,part_400,2026-09-20 20:41:38
Mohammad Aslam khan,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,5.0,4.0,"84W7+8G, Madhura West, Bihar 854335",854336,26.345812499999997,87.1138125,ChIJyfrudACn7zkRxLlEmrk_lD0,https://www.google.com/maps/place/?q=place_id:ChIJyfrudACn7zkRxLlEmrk_lD0,part_400,2026-09-20 20:41:38
Lakhan Rajbhar 854336,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,,,"94G5+6WQ, Achara, Bihar 854335",854336,26.3755991,87.1098612,ChIJT-5-AwCn7zkRabQS-ivJSho,https://www.google.com/maps/place/?q=place_id:ChIJT-5-AwCn7zkRabQS-ivJSho,part_400,2026-09-20 20:41:38
Babul Sahni,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,3.0,1.0,"94F3+83, Achara, Bihar 854335",854336,26.3734139,87.1026928,ChIJ7f-UWACn7zkRa7foHbwLVMI,https://www.google.com/maps/place/?q=place_id:ChIJ7f-UWACn7zkRa7foHbwLVMI,part_400,2026-09-20 20:41:38
Jaystar Home,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,5.0,1.0,"9569+8W, Bhangahi, Bihar 854335",854336,26.360825199999997,87.1698411,ChIJW2ZuGLOh7zkRyJqtq3yCAzY,https://www.google.com/maps/place/?q=place_id:ChIJW2ZuGLOh7zkRyJqtq3yCAzY,part_400,2026-09-20 20:41:38
Yaduvanshi shree krishna,Civil Contractor and Builder,Housing society,Housing society,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,5.0,1.0,"84VW+QWQ, Khaira, Bihar 854335",854336,26.3444723,87.14736119999999,ChIJpywKdACh7zkRYM0CV1YmweU,https://www.google.com/maps/place/?q=place_id:ChIJpywKdACh7zkRYM0CV1YmweU,part_400,2026-09-20 20:41:38
Rajkishor Sah,Civil Contractor and Builder,Home builder,Home builder,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",+91 99556 24959,N/A,5.0,1.0,"G2CC+43V, Birpur, Bihar 854340",854336,26.5203599,87.0201644,ChIJT5v6MgAF7zkROZiqetEXTzU,https://www.google.com/maps/place/?q=place_id:ChIJT5v6MgAF7zkROZiqetEXTzU,part_400,2026-09-20 20:41:39
SM PRIME,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,5.0,3.0,"AH2, Inaruwa, Koshi Province 56710, Nepal",Sakuwa Gachhi,26.6167855,87.1601116,ChIJraeRDBET7zkRbg20rRGIflI,https://www.google.com/maps/place/?q=place_id:ChIJraeRDBET7zkRbg20rRGIflI,part_400,2026-09-20 20:41:39
Shree Pabitra Brick and Constructions Industry,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,854336,Bihar circle,"East Region, Bhagalpur",Purnea Division,"Achra BO, Basmatia BO, Bela Basmatia BO",N/A,N/A,3.7,3.0,"M688+F4, Itahari, Koshi Province 56709, Nepal",Pakali,26.6661337,87.2153457,ChIJYxc_TgAT7zkRwsw3-YbB5wI,https://www.google.com/maps/place/?q=place_id:ChIJYxc_TgAT7zkRwsw3-YbB5wI,part_400,2026-09-20 20:41:39
