business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Om Vaishnavi Garments,Saree Showroom,Saree Shop,Saree Shop,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 80846 59219,N/A,5.0,,"11, Bhagwanpur, Bihar 854338",854338,26.4513693,86.9188671,ChIJW7S5YT4B7zkRJGejl-gorEs,https://www.google.com/maps/place/?q=place_id:ChIJW7S5YT4B7zkRJGejl-gorEs,part_400,2026-09-20 20:42:43
Shree Ram Dresses,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 90600 06166,N/A,4.9,,"North hathkola road, near Trends Showroom, Supaul, Bihar 852131",854338,26.1206762,86.6018514,ChIJUTQFhmxD7jkRNtLmMTDQjc0,https://www.google.com/maps/place/?q=place_id:ChIJUTQFhmxD7jkRNtLmMTDQjc0,part_400,2026-09-20 20:42:43
Rupesh Vastryalya,Saree Showroom,Saree Shop,Saree Shop,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 62027 83213,N/A,,,"NH 131, Bhimnagar - Bathnaha Rd, Bhimnagar, Bihar 854338",854338,26.5144453,86.95972139999999,ChIJf-QWA70D7zkRBIc4mtv4YsU,https://www.google.com/maps/place/?q=place_id:ChIJf-QWA70D7zkRBIc4mtv4YsU,part_400,2026-09-20 20:42:43
Gupta Saree Center,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",N/A,N/A,3.6,,"G286+6J7, Birpur, Bihar 854340",854338,26.5155273,87.0115584,ChIJ5Sfdc0UE7zkRepnDtZXF2Ks,https://www.google.com/maps/place/?q=place_id:ChIJ5Sfdc0UE7zkRepnDtZXF2Ks,part_400,2026-09-20 20:42:43
Muskan Saree Center,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 70706 79583,N/A,3.0,,"4VHQ+C22, Triveniganj, Bihar 852139",854338,26.1285059,86.8875114,ChIJOaHHLcdM7jkRMNaqs_1uVM8,https://www.google.com/maps/place/?q=place_id:ChIJOaHHLcdM7jkRMNaqs_1uVM8,part_400,2026-09-20 20:42:43
RIDDHI SIDDHI EMPORIUM,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 79878 70899,N/A,3.7,,"1st floor,singh complex, Bhimnagar, Bihar 854338",854338,26.5149001,86.9597108,ChIJf1i2NhoD7zkRq4gclDcHTJs,https://www.google.com/maps/place/?q=place_id:ChIJf1i2NhoD7zkRq4gclDcHTJs,part_400,2026-09-20 20:42:43
Sonu Dresses,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 75428 70609,N/A,3.9,,"Ward No 10, Station Rd, Supaul, Bihar 852131",854338,26.116883599999998,86.6000761,ChIJg7w2eBVC7jkRljXEqdibzAQ,https://www.google.com/maps/place/?q=place_id:ChIJg7w2eBVC7jkRljXEqdibzAQ,part_400,2026-09-20 20:42:43
Radheshyam Yadav gamer,Saree Showroom,Saree Shop,Saree Shop,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 91225 15271,https://www.instagram.com/radheshyam_yadav_9122?igsh=cDFkcmYyc212MXZl,,,"GXF4 2J9, Bhimnagar, Bihar 854338",854338,26.5179302,86.9581413,ChIJKYUBOVQD7zkRyhB28ILxPOM,https://www.google.com/maps/place/?q=place_id:ChIJKYUBOVQD7zkRyhB28ILxPOM,part_400,2026-09-20 20:42:43
Radhe Radhe Mega Mart,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 86512 08684,https://www.facebook.com/share/1DvkSJU3GP/?mibextid=wwXIfr,4.7,,"Karjain Road, Simrahi Bazar, Raghopur, Bihar 852111",854338,26.3121968,86.846273,ChIJGcDn5blV7jkR5ZY0jsQZ6vY,https://www.google.com/maps/place/?q=place_id:ChIJGcDn5blV7jkR5ZY0jsQZ6vY,part_400,2026-09-20 20:42:43
Lakshmana Singh,Saree Showroom,Saree Shop,Saree Shop,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 99313 87085,N/A,,,"Birpur, Bihar 854338",854338,26.517007099999997,86.95421979999999,ChIJefgYI1UD7zkRWwVkIo2CJak,https://www.google.com/maps/place/?q=place_id:ChIJefgYI1UD7zkRWwVkIo2CJak,part_400,2026-09-20 20:42:43
Rupam Vastralaya,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",N/A,N/A,3.3,,"urvashi market, Birpur, Bihar 854340",854338,26.515596799999997,87.01125499999999,ChIJ7UzB3l0E7zkR7KEJqA-E3YU,https://www.google.com/maps/place/?q=place_id:ChIJ7UzB3l0E7zkR7KEJqA-E3YU,part_400,2026-09-20 20:42:43
Bajrang Dresses,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",+91 97094 33303,N/A,3.5,,"8R5W+RC6, Simrahi Bazar, Bihar 852111",854338,26.309548399999997,86.846002,ChIJBRJNlGtU7jkRV2aKso_fB7k,https://www.google.com/maps/place/?q=place_id:ChIJBRJNlGtU7jkRV2aKso_fB7k,part_400,2026-09-20 20:42:44
Geeta Dresses,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",N/A,N/A,3.9,,"4VHQ+G79, SH 76, Triveniganj, Bihar 852139",854338,26.1287926,86.8882443,ChIJdcmpJcNN7jkROY0y0A8Xl0E,https://www.google.com/maps/place/?q=place_id:ChIJdcmpJcNN7jkROY0y0A8Xl0E,part_400,2026-09-20 20:42:44
PARIDHAN READYMADE,Saree Showroom,Clothing store,Clothing store,854338,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Bhimnagar Bairrage SO, Saheban BO",N/A,N/A,3.6,,"Station Rd, Prem Nagar, Supaul, Bihar 852131",Prem Nagar,26.117607999999997,86.6014424,ChIJ3Sx20D9C7jkR8a1JzHH2HNU,https://www.google.com/maps/place/?q=place_id:ChIJ3Sx20D9C7jkR8a1JzHH2HNU,part_400,2026-09-20 20:42:44
