business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rinku Kirana Store,Kirana Store,Home goods store,Home goods store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",N/A,N/A,4.3,,"Jhula, Bihar 854117",854117,25.386315699999997,87.72959589999999,ChIJ6xtIF0a7-jkRHz6Iw-iEe-w,https://www.google.com/maps/place/?q=place_id:ChIJ6xtIF0a7-jkRHz6Iw-iEe-w,part_400,2026-09-20 20:21:00,8509
Anar kabir kirana store,Kirana Store,Store,Store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",N/A,N/A,4.0,,"CP3F+392, Bhornathi, Bihar 854117",854117,25.4026328,87.723393,ChIJ1cM8bwC7-jkR_klgTgT0vP0,https://www.google.com/maps/place/?q=place_id:ChIJ1cM8bwC7-jkR_klgTgT0vP0,part_400,2026-09-20 20:21:00,8510
Ikramul kirana store,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",N/A,N/A,4.4,,"Roshna Hall, Mahananda dam, Baida, Bihar 854117",854117,25.4095552,87.7362212,ChIJ6WiWfMe7-jkRB2s5EOTiF_0,https://www.google.com/maps/place/?q=place_id:ChIJ6WiWfMe7-jkRB2s5EOTiF_0,part_400,2026-09-20 20:21:00,8511
NIYAJ KIRANA STORE,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 70703 98579,N/A,3.0,,"SHOP NO, 5 A, near DILDAR CHOWK, Singhia, Bihar 854117",854117,25.3791309,87.75080229999999,ChIJYcttF-i7-jkRxAVG-MQ_j7Y,https://www.google.com/maps/place/?q=place_id:ChIJYcttF-i7-jkRxAVG-MQ_j7Y,part_400,2026-09-20 20:21:00,8512
NAITIK GENERAL STORE,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 73658 86337,N/A,4.8,,"Roshna, Bihar 854117",854117,25.4162966,87.7417303,ChIJzRSh58u7-jkRJa1ae1JLTn4,https://www.google.com/maps/place/?q=place_id:ChIJzRSh58u7-jkRJa1ae1JLTn4,part_400,2026-09-20 20:21:00,8513
Mani Kirana Store,Kirana Store,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 97717 12590,N/A,,,"Shop No 07, Roshna Bazar, Lalganj Teghra English, Bihar 854117",854117,25.4165615,87.74164619999999,ChIJZ-xlF5y7-jkRoCKKYHnmr6Q,https://www.google.com/maps/place/?q=place_id:ChIJZ-xlF5y7-jkRoCKKYHnmr6Q,part_400,2026-09-20 20:21:00,8514
NASIMUL GENERAL STORE,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",N/A,N/A,5.0,,"CP3M+3FW, Maltipur, Rosnamal, Bihar 854117",Maltipur,25.402759099999997,87.73369,ChIJH0WaeAC7-jkR7-dzUVssE4I,https://www.google.com/maps/place/?q=place_id:ChIJH0WaeAC7-jkR7-dzUVssE4I,part_400,2026-09-20 20:21:00,8515
DHODI SINGH STORE,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 72504 04728,N/A,5.0,,"SHOP NO 5, A UTRI, LALGANJ ROSHNA ROAD, near DURGA MANDIR, Lalganj Teghra English, Bihar 854117",854117,25.4129662,87.74173019999999,ChIJsVyBZO67-jkRM3qwK8WgByE,https://www.google.com/maps/place/?q=place_id:ChIJsVyBZO67-jkRM3qwK8WgByE,part_400,2026-09-20 20:21:00,8516
Amir Shop,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 96418 50002,N/A,5.0,,"R Building, Bharatkol Roshna, Lalganj Teghra English, Bihar 854117",854117,25.4105599,87.7397749,ChIJb-JaOH27-jkR4HXjv4fWwBI,https://www.google.com/maps/place/?q=place_id:ChIJb-JaOH27-jkR4HXjv4fWwBI,part_400,2026-09-20 20:21:00,8517
DEEPIKA STORE,Kirana Store,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 92047 28805,N/A,,,"Shop No.02, near by Dakra English, Bind Tola, Dakra English, Bihar 854117",Bind Tola,25.3784504,87.7606179,ChIJ_VPbqXu7-jkRFAvTtHrQ7nQ,https://www.google.com/maps/place/?q=place_id:ChIJ_VPbqXu7-jkRFAvTtHrQ7nQ,part_400,2026-09-20 20:21:00,8518
NURUL GENERAL STORE,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 96610 87897,N/A,4.0,,"SHOP NO 5, A GHASIYA GHAAT, near of SARKARI SCHOOL, Belgachhi, Bihar 854117",854117,25.3633666,87.7605146,ChIJeeHELl67-jkRD1Wtvtp-SLY,https://www.google.com/maps/place/?q=place_id:ChIJeeHELl67-jkRD1Wtvtp-SLY,part_400,2026-09-20 20:21:00,8519
L.M KIRANA,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 95760 47261,N/A,,,"Shop no 85 ward no 14, roshna, Lalganj Teghra English, Bihar 854117",roshna,25.410267599999997,87.7401069,ChIJX1BN4OO7-jkRAJfa7LPWLNM,https://www.google.com/maps/place/?q=place_id:ChIJX1BN4OO7-jkRAJfa7LPWLNM,part_400,2026-09-20 20:21:00,8520
PIYUSH KIRANA STORE,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 73679 35179,N/A,,,"Shop No.01, near by Raghunath Chowk, Lakhanpur, Bihar 854117",854117,25.3682733,87.7566738,ChIJuTzVZ3G7-jkRZw7H73_7w9w,https://www.google.com/maps/place/?q=place_id:ChIJuTzVZ3G7-jkRZw7H73_7w9w,part_400,2026-09-20 20:21:00,8521
Jiyaul Kirana stores,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 81145 47294,N/A,1.0,,"Shop No 85 Ward No 11, Baida, Bihar 854117",854117,25.408705899999998,87.72892499999999,ChIJC092G_G7-jkRshELGahmj2s,https://www.google.com/maps/place/?q=place_id:ChIJC092G_G7-jkRshELGahmj2s,part_400,2026-09-20 20:21:00,8522
Sagir General Store,Kirana Store,General store,General store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 74808 56062,N/A,5.0,,"AT JHOLA PO ROSHNA, PS, Ahmadabad, Bihar 854117",PS,25.3847657,87.7294222,ChIJ___3x4S7-jkRc4mCmdOQot4,https://www.google.com/maps/place/?q=place_id:ChIJ___3x4S7-jkRc4mCmdOQot4,part_400,2026-09-20 20:21:00,8523
PRITAM MANDAL,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 76968 37124,N/A,,,"shop no.08, near by gauripur, Katihar, Jamra, Bihar 854117",854117,25.357195899999997,87.7576461,ChIJGyc4BVe9-jkR2bCT3zFDNlY,https://www.google.com/maps/place/?q=place_id:ChIJGyc4BVe9-jkR2bCT3zFDNlY,part_400,2026-09-20 20:21:00,8524
BHARAT KUMAR CHOUDHARY,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 91425 70883,N/A,1.0,1.0,"Shop No.01, near by Dakra, Dakra, Dakra English, Bihar 854117",854117,25.3784827,87.76065659999999,ChIJvximbVW7-jkRMu3mISbvC3M,https://www.google.com/maps/place/?q=place_id:ChIJvximbVW7-jkRMu3mISbvC3M,part_400,2026-09-20 20:21:00,8525
Mr AKASH RAJESH BHAGAT,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 95825 97670,N/A,,,"Shop No.05, near by R Dhala Chowk, Lakhanpur, Bihar 854117",854117,25.3714399,87.75846179999999,ChIJ_d0Bn-i7-jkRgRiH7Hgl9RA,https://www.google.com/maps/place/?q=place_id:ChIJ_d0Bn-i7-jkRgRiH7Hgl9RA,part_400,2026-09-20 20:21:00,8526
VISHAYJEET MAHALDAR,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 93410 10649,N/A,,,"SHOP NO. 01, near by Dilli Ghat, Dilli Diwanganj, Bihar 854117",854117,25.3850496,87.7604856,ChIJr13S34e7-jkR-MgDm4yyj8Q,https://www.google.com/maps/place/?q=place_id:ChIJr13S34e7-jkR-MgDm4yyj8Q,part_400,2026-09-20 20:21:00,8527
MAFIJUL MALLIK,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 88172 54130,N/A,,,"Shop No.02, near by Raghunath Dhala, Lakhanpur, Bihar 854117",854117,25.3713287,87.75826699999999,ChIJf9KNfT-7-jkRMToLfIixDGg,https://www.google.com/maps/place/?q=place_id:ChIJf9KNfT-7-jkRMToLfIixDGg,part_400,2026-09-20 20:21:00,8528
VIJAY PRATAP,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 82943 07919,N/A,,,"Shop No.02, near by Boglagar, Dakra, Bihar 854117",854117,25.3958116,87.73267919999999,ChIJpUTVBBO7-jkRap4JsSxK1nc,https://www.google.com/maps/place/?q=place_id:ChIJpUTVBBO7-jkRap4JsSxK1nc,part_400,2026-09-20 20:21:00,8529
Iskot Kirana Store,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 96933 89924,N/A,3.7,3.0,"Shop No. 01, Iskot Kirana Store, near by Chama Tola, Jamra, Bihar 854112",854117,25.351028,87.7571127,ChIJ1ajwFVW9-jkRzD-oJnSvtwg,https://www.google.com/maps/place/?q=place_id:ChIJ1ajwFVW9-jkRzD-oJnSvtwg,part_400,2026-09-20 20:21:00,8530
Asif Kirana Store,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 70795 14611,N/A,5.0,2.0,"Ward No.04, near by Chama Tola Tawar Ke Pas, Jamra, Bihar 854112",854117,25.3511395,87.7648019,ChIJZ9X5q9S9-jkRsXzPGRgl3gA,https://www.google.com/maps/place/?q=place_id:ChIJZ9X5q9S9-jkRsXzPGRgl3gA,part_400,2026-09-20 20:21:00,8531
Sabir Kirana Store,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 62009 91294,N/A,5.0,1.0,"Shop No. 01, Sabir Kirana Store, near by Jamay Para Chowk, Jamra, Bihar 854112",854117,25.350267799999997,87.7660592,ChIJ0QiVOl-9-jkR6nK-b47dV0c,https://www.google.com/maps/place/?q=place_id:ChIJ0QiVOl-9-jkR6nK-b47dV0c,part_400,2026-09-20 20:21:00,8532
ALAMGIR MODIKHANA,Supermarket,Grocery store,Grocery store,854117,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Rosna SO, Dilli Diwanganj BO, Neema BO",+91 98876 25838,N/A,,,"Shop khoopkati Near Of Khopakati Mosjid, Bihar 732125",854117,25.3849944,87.77465079999999,ChIJMzHXaLy7-jkRhWl-9uNKAaE,https://www.google.com/maps/place/?q=place_id:ChIJMzHXaLy7-jkRhWl-9uNKAaE,part_400,2026-09-20 20:21:00,8533
